Gene,gamma,beta,offset,a,t,h,intercept
1500009L16Rik,18.267403,186.209,-0.14502649,1.7400708,-0.38529542,1.5306104,0.0011879286
1700020L24Rik,0.008728961,46.789726,0.0,1.0,0.5,3.8197944,0.0
1700097N02Rik,24.220291,474.50552,-0.6273681,4.3217726,0.52801204,1.2825599,0.022658516
1810013L24Rik,1.0412184,1.1172128,0.0,1.0,0.5,0.7301521,0.0
1810062O18Rik,1.8380138,0.4972417,0.0,1.0,0.5,0.39961687,0.0
2310001H17Rik,8.89854,5.2558565,0.033021897,1.0706992,-0.9179332,0.92650986,0.0050451807
2610035D17Rik,31.50895,49.0301,-0.3827921,1.4453162,-0.31687796,2.343271,0.23416911
2810474O19Rik,3.9513528,88.48341,-0.44675857,2.2923746,0.1338687,2.3927488,0.047116414
2900026A02Rik,13.647474,29.590113,-0.22819752,0.5547857,-0.9035307,1.3670295,0.009679006
3110062M04Rik,0.16126144,4.421095,0.0,1.0,0.5,1.3025731,0.0
4930447C04Rik,1.2169842,0.40019575,0.0,1.0,0.5,0.20210811,0.0
4930481A15Rik,0.24311313,3.2075758,0.0,1.0,0.5,1.1032228,0.0
4930503L19Rik,0.6837392,1.2105625,0.0,1.0,0.5,0.61490506,0.0
4930519L02Rik,0.15141177,4.4600587,-0.15097487,0.1260908,2.4171584,1.5619816,0.40654463
4930523C07Rik,9.496088,41.7872,0.27793807,1.397655,1.7207215,2.1386712,-0.06324125
4931406C07Rik,6.761965,26.38337,0.03545192,1.5153399,-0.48169172,1.3596715,-0.0065911952
4931406P16Rik,1.156027,0.8857587,0.0,1.0,0.5,0.87820697,0.0
4931414P19Rik,0.48720258,1.5579176,0.0,1.0,0.5,0.6614728,0.0
4932438A13Rik,1.0861807,1.2758658,0.0,1.0,0.5,1.2903543,0.0
5730455P16Rik,0.1334137,3.533428,0.0,1.0,0.5,1.3141907,0.0
A230050P20Rik,0.026660874,10.494648,0.0,1.0,0.5,1.5195881,0.0
AI504432,77.57132,217.79573,0.102718934,69.581116,0.46027425,0.4485774,-0.0057266154
Aak1,2.077348,0.7119055,0.0,1.0,0.5,0.7793777,0.0
Abca1,8.7592745,6.188987,-0.10830193,0.51591176,-1.1510868,0.79410887,0.034696285
Abcb4,23.07913,11.723266,-0.33079177,20.815876,0.56837016,0.7447541,0.08124066
Abcc1,1.3736712,0.85932654,0.0,1.0,0.5,0.97481596,0.0
Abcc5,1.2526715,0.71168005,0.0,1.0,0.5,0.5208951,0.0
Abcg1,33.12008,196.20898,-0.028268185,10.495758,0.30722126,1.3448892,0.018165654
Abcg2,13.792475,12.413035,0.30712402,6.7028947,-0.12554763,3.4639742,-0.1814008
Abcg3,35.641563,15.793505,-0.009824472,16.511414,0.034778025,1.1747448,0.020200744
Abhd15,12.791592,0.07227753,0.0,1.0,0.5,0.2117144,0.0
Abhd18,2.011141,0.4606652,0.0,1.0,0.5,0.3489585,0.0
Abi2,1.318806,0.82185364,0.0,1.0,0.5,0.8174148,0.0
Abi3,11.611875,50.1249,-0.15567856,0.5639355,-0.8944697,1.0338471,0.0026972496
Abl1,0.77865654,1.410279,0.0,1.0,0.5,1.3085617,0.0
Abl2,2.4766533,0.7132294,0.0,1.0,0.5,1.0163558,0.0
Ablim1,6.85695,5.5716476,-0.022636201,0.35041958,-1.4110985,0.6759684,-0.029862506
Acap1,8.260413,87.59037,-0.6605677,3.6955156,0.42337286,1.7814462,0.13398497
Ache,22.853588,84.25277,-0.5718287,1.707792,0.48766345,0.648449,0.006578924
Acot1,0.009869819,145.58684,0.16483545,0.55468756,-1.1412005,1.4257356,0.009760672
Acox1,20.626223,35.503464,-0.02497109,1.5502079,-0.5576189,1.5645119,0.066136315
Acp5,0.004973432,100.09445,-0.018911405,0.5991424,2.245985,0.7745145,0.0033556658
Acsl3,0.20368412,3.8097203,0.0,1.0,0.5,1.4142072,0.0
Actb,0.09695815,4.971583,0.0,1.0,0.5,133.99536,0.0
Acvr1b,0.48100987,1.5974417,0.0,1.0,0.5,0.5581925,0.0
Acyp1,0.024310319,200.3762,-0.12921408,0.26797807,-0.91321933,3.0857131,0.044978797
Adam10,32.053047,47.512493,-0.46873838,4.684146,0.4157083,2.5702326,0.114947036
Adamts10,1.3479358,0.881524,0.0,1.0,0.5,0.76664245,0.0
Adamts3,9.258814,0.09203082,0.0,1.0,0.5,0.296937,0.0
Adamts6,6.40135,0.13787365,0.0,1.0,0.5,0.27889535,0.0
Adcy6,24.8319,65.34387,-0.42657942,2.2575738,0.3529288,0.60963947,0.015914178
Add1,22.007866,67.45942,-0.684077,1.1442102,0.07936844,1.9141469,0.14382975
Add3,0.30884013,2.9827886,0.0,1.0,0.5,1.8139709,0.0
Adgre5,0.5089439,1.7729303,0.0,1.0,0.5,1.0663202,0.0
Adgrg1,5.056625,60.62493,-4.7931767,1.4059708,-0.26355156,22.458632,0.3380702
