Genes	E14tg2a 0h 2A	E14tg2a 0h 2B	E14tg2a 0h 2C	E14tg2a 0h 2D	E14tg2a 0h 2E	E14tg2a 0h 2F	E14tg2a 0h 2G	E14tg2a 0h 2H	E14tg2a 0h 3A	E14tg2a 0h 3B	E14tg2a 0h 3C	E14tg2a 0h 3D	E14tg2a 0h 3E	E14tg2a 0h 3F	E14tg2a 0h 3G	E14tg2a 0h 3H	E14tg2a 0h 4A	E14tg2a 0h 4B	E14tg2a 0h 4C	E14tg2a 0h 4D	E14tg2a 0h 4E	E14tg2a 0h 4F	E14tg2a 0h 4G	E14tg2a 0h 4H	E14tg2a 0h 5A	E14tg2a 0h 5B	E14tg2a 0h 5C	E14tg2a 0h 5D	E14tg2a 0h 5E	E14tg2a 0h 5F	E14tg2a 0h 5G	E14tg2a 0h 5H	E14tg2a 0h 6A	E14tg2a 0h 6B	E14tg2a 0h 6C	E14tg2a 0h 6D	E14tg2a 0h 6E	E14tg2a 0h 6F	E14tg2a 0h 6G	E14tg2a 0h 6H	E14tg2a-0h 1A	E14tg2a-0h 1B	E14tg2a-0h 1C	E14tg2a-0h 1D	E14tg2a-0h 1E	E14tg2a-0h 1F	E14tg2a-0h 1G	E14tg2a-0h 1H	R1-0h 1A	R1-0h 1B	R1-0h 1C	R1-0h 1D	R1-0h 1E	R1-0h 1F	R1-0h 1G	R1-0h 1H	R1-0h 2A	R1-0h 2B	R1-0h 2C	R1-0h 2D	R1-0h 2E	R1-0h 2F	R1-0h 2G	R1-0h 2H	R1-0h 3A	R1-0h 3B	R1-0h 3C	R1-0h 3D	R1-0h 3E	R1-0h 3F	R1-0h 3G	R1-0h 3H	R1-0h 4A	R1-0h 4B	R1-0h 4C	R1-0h 4D	R1-0h 4E	R1-0h 4F	R1-0h 4G	R1-0h 4H	R1-0h 5A	R1-0h 5B	R1-0h 5C	R1-0h 5D	R1-0h 5E	R1-0h 5F	R1-0h 5G	R1-0h 5H	R1-0h 6A	R1-0h 6B	R1-0h 6C	R1-0h 6D	R1-0h 6E	R1-0h 6F	R1-0h 6G	R1-0h 6H	
Actb	16.50222833	11.07175506	10.84214638	17.88214249	11.20704926	10.47895237	10.05715458	10.43932197	10.368147	10.99903695	9.911515357	999	10.9757374	11.20916503	16.59027466	10.58626567	10.54392353	999	10.40344166	10.2670647	11.06331037	11.03247658	16.70003506	12.35673298	10.8983201	11.90591736	10.76514192	10.75286199	10.53646699	11.07779827	10.96123696	16.82902699	10.89376328	10.43106567	23.92325834	10.80079282	18.2799723	10.04587204	10.39161021	10.28342359	16.71675901	11.28376303	11.35626427	10.92300973	10.33477931	10.5367681	10.29898639	10.93642842	11.51205928	999	10.3000474	11.80669043	22.08030948	18.58859066	999	10.44431509	16.7479535	27.14266967	11.68357212	11.05093339	10.86828542	11.1173058	18.54057399	11.84034583	10.44872837	16.44196985	17.4535253	16.07487239	999	10.82093963	11.58238092	11.38319146	11.80922166	9.757678579	10.25347492	11.73701165	11.20809839	10.96683355	10.40231822	9.972053013	9.941116217	11.09984387	10.00469242	17.90810298	10.77277281	11.7331553	10.8272985	16.68924625	25.96222391	10.30286172	999	11.01448238	10.20841045	10.93215085	11.80930506	10.4093787	
Bmi1	999	17.24018743	19.97307485	999	999	17.69804686	20.79929126	17.88408601	18.74581546	18.28695877	24.65055295	999	16.33073602	18.37327392	999	18.79596811	18.26285818	999	19.69330573	17.91447863	999	17.62054128	999	17.60068659	18.96714051	18.87161978	20.35315592	999	19.29471585	17.61280521	19.1011383	999	22.22109105	19.00672106	999	999	999	18.97554242	19.0472613	17.7134699	999	999	999	18.05053028	18.60765983	22.22749711	17.75019767	999	16.58961615	999	999	19.13331657	999	999	999	17.41509386	999	999	17.42501473	18.3061238	999	999	999	19.24240294	18.04691092	999	999	999	999	19.12281994	17.52738308	24.48804102	999	999	18.89023037	18.33904956	999	18.00934767	16.06357271	19.28705585	17.61647801	18.78282281	18.74929217	999	18.91698347	19.28179595	18.70714178	999	999	20.48889571	999	17.82743486	19.11940393	19.84773822	17.95351695	19.06425313	
Bmp4	999	16.65544536	14.97915932	999	15.32539254	15.02231734	14.30190074	15.15597602	14.33012049	17.18257679	14.15424488	999	999	16.11994035	999	13.93237348	15.1399064	999	14.27197441	13.61421922	16.84534931	14.78156876	999	18.34589594	14.83360675	14.31856186	17.21451339	18.78800108	16.76112798	15.96659748	13.9974373	999	13.57020365	14.07850227	999	14.37630677	999	14.40253926	14.29164133	14.2566571	26.18344826	15.37956225	15.30581021	16.74403165	16.69323649	15.89820228	17.01685118	16.70489161	14.85671172	999	13.25488217	15.2132727	999	24.92403612	999	16.0330427	999	999	12.49617	14.37168154	13.1496769	15.75618494	999	14.41318759	13.57525322	999	999	999	999	13.59474888	17.17410286	14.23168073	13.18475662	14.74110729	15.53708637	999	15.42821818	15.89682139	14.49726059	13.90996682	13.70358815	22.89758975	14.45812583	999	14.10005972	16.28064077	14.56224201	18.54313581	999	14.89413224	999	15.72739584	14.21485874	15.81705526	999	15.76242438	
Bmp7	999	999	19.14758731	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.26653435	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Bmpr1a	999	17.11121888	17.82069285	999	17.07602805	16.98030875	16.23387738	16.01211699	18.15499857	17.27578974	16.33234412	999	16.04801418	17.67094651	999	17.87986889	16.6037938	999	17.94552306	19.78156155	18.04609783	999	999	15.9219096	999	17.53918842	17.90638352	999	17.96284124	17.98251715	999	999	17.63779109	16.31417516	999	17.83704301	999	16.98432939	15.55790368	17.62220062	25.49352778	18.53550741	999	17.10032297	17.36445224	16.44572748	18.94483973	17.18388076	999	999	17.63547938	17.53385319	999	999	999	18.13855059	999	999	18.93274731	17.03455714	16.51659592	21.88004134	999	16.74070731	999	999	999	999	999	999	23.08228024	19.13121289	999	16.17356569	16.85141343	999	16.85806915	999	17.49841164	17.35374761	17.65913605	17.92406871	999	999	17.34121129	17.71584971	999	999	999	16.77401695	999	16.53238773	17.90743839	17.64082688	999	24.33885293	
Cd34	999	999	999	999	999	999	19.01570965	999	999	999	999	999	18.76834979	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.65709838	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.39588454	999	999	999	999	999	999	999	999	999	999	999	999	999	18.49433625	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Cdh1	999	999	22.61030682	999	999	999	999	20.59766981	26.76794288	999	999	999	999	17.75967308	999	999	999	999	21.65463339	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	25.75439378	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	21.95319065	999	999	999	999	999	999	999	999	18.71463103	999	999	999	999	999	999	17.88948348	999	999	999	999	999	19.99394438	999	30.67694376	999	999	999	999	999	999	999	18.91707343	
Cdh2	999	19.66080243	19.42460736	999	999	999	19.69611792	19.67939582	999	999	999	999	999	19.32310607	999	999	19.38654882	999	999	20.53280447	999	19.31151678	999	17.76131821	999	999	999	999	999	999	999	999	17.84917498	999	999	999	999	19.2404961	999	19.62762788	999	999	999	999	999	19.38401626	999	999	19.56147944	999	999	21.75965178	999	999	999	18.98738017	999	999	999	18.60117885	999	999	999	999	999	999	999	999	999	999	19.45782957	18.63837079	999	999	999	999	18.33819429	999	19.51627938	17.46009018	26.88221038	999	999	999	21.19178803	999	999	999	999	18.39406888	999	999	999	999	999	999	
Cdk2	999	14.69134358	14.01710461	999	14.07055154	14.80054825	14.0473058	14.21989188	14.42835052	13.4186284	13.60286042	18.32057737	14.54408426	13.34094371	999	14.83434174	13.82894701	999	15.03137706	13.88815766	15.48226542	13.90643112	999	14.47060563	13.64074188	14.36412734	14.42036053	14.53654073	15.507912	14.72013114	14.65142747	999	13.88349009	13.72954665	23.70014748	13.86081971	25.87761995	14.31512851	14.68147957	13.76725014	22.56677155	14.5474578	15.40454956	15.30884979	13.87663147	14.52093635	13.38332084	13.72897771	15.76908763	999	14.10502423	14.90530925	24.925479	999	999	14.05176795	999	999	14.76402846	15.37986299	15.24365034	14.89680403	999	15.38901407	13.78928603	999	999	999	999	13.71727912	14.03147523	14.95742545	14.37565273	13.85870303	12.9122719	26.02126579	14.74020295	15.27912074	13.28895865	14.24928637	13.42906466	16.62042811	14.34507788	22.49075295	13.62861662	15.21401215	14.38109028	25.48163551	999	14.68486306	999	15.52064515	14.73986172	15.75510072	14.39762733	14.54302665	
Cdx2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.35914948	999	999	999	999	999	999	999	999	999	999	999	999	999	18.63669539	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	25.87188832	999	999	999	999	19.01323347	999	999	999	999	999	999	999	999	999	
