Genes	E14tg2a-72h 1A	E14tg2a-72h 1B	E14tg2a-72h 1C	E14tg2a-72h 1D	E14tg2a-72h 1E	E14tg2a-72h 1F	E14tg2a-72h 1G	E14tg2a-72h 1H	E14tg2a-72h 2A	E14tg2a-72h 2B	E14tg2a-72h 2C	E14tg2a-72h 2D	E14tg2a-72h 2E	E14tg2a-72h 2F	E14tg2a-72h 2G	E14tg2a-72h 2H	E14tg2a-72h 3A	E14tg2a-72h 3B	E14tg2a-72h 3C	E14tg2a-72h 3D	E14tg2a-72h 3E	E14tg2a-72h 3F	E14tg2a-72h 3G	E14tg2a-72h 3H	E14tg2a-72h 4A	E14tg2a-72h 4B	E14tg2a-72h 4C	E14tg2a-72h 4D	E14tg2a-72h 4E	E14tg2a-72h 4F	E14tg2a-72h 4G	E14tg2a-72h 4H	E14tg2a-72h 5A	E14tg2a-72h 5B	E14tg2a-72h 5C	E14tg2a-72h 5D	E14tg2a-72h 5E	E14tg2a-72h 5F	E14tg2a-72h 5G	E14tg2a-72h 5H	E14tg2a-72h 6A	E14tg2a-72h 6B	E14tg2a-72h 6C	E14tg2a-72h 6D	E14tg2a-72h 6E	E14tg2a-72h 6F	E14tg2a-72h 6G	E14tg2a-72h 6H	R1-72h 1A	R1-72h 1B	R1-72h 1C	R1-72h 1D	R1-72h 1E	R1-72h 1F	R1-72h 1G	R1-72h 1H	R1-72h 2A	R1-72h 2B	R1-72h 2C	R1-72h 2D	R1-72h 2E	R1-72h 2F	R1-72h 2G	R1-72h 2H	R1-72h 3A	R1-72h 3B	R1-72h 3C	R1-72h 3D	R1-72h 3E	R1-72h 3F	R1-72h 3G	R1-72h 3H	R1-72h 4A	R1-72h 4B	R1-72h 4C	R1-72h 4D	R1-72h 4E	R1-72h 4F	R1-72h 4G	R1-72h 4H	R1-72h 5A	R1-72h 5B	R1-72h 5C	R1-72h 5D	R1-72h 5E	R1-72h 5F	R1-72h 5G	R1-72h 5H	R1-72h 6A	R1-72h 6B	R1-72h 6C	R1-72h 6D	R1-72h 6E	R1-72h 6F	R1-72h 6G	R1-72h 6H
Actb	11.42999886	12.33579313	10.85545743	11.58034393	10.44911992	11.09758394	11.96157038	11.96468972	11.36735629	11.81130826	11.72203419	10.26461433	11.37644082	10.61284893	11.64412878	11.33018763	10.60514702	11.48382449	12.57276335	12.82522558	10.62710456	10.4237792	12.57163088	9.948993101	12.3167373	11.44677234	11.12376631	11.05181929	12.85141415	11.35396385	9.876353948	10.98857691	11.61759532	11.37885819	10.61620034	10.79532988	11.15928415	12.84278265	9.682984912	10.64806375	999	12.81998106	11.08731975	18.32618201	11.65749649	11.70375614	10.54243053	11.09980024	13.20248029	11.58370177	11.30064162	11.55102409	10.7154397	12.80710963	11.7394098	9.736935254	12.40179219	10.60489313	12.20749659	12.75131052	13.34120981	11.90178264	12.16536979	11.8040767	11.70957161	11.65302214	13.53673121	12.35229644	11.37108518	12.87526197	11.53783887	11.61440869	15.07554841	11.48350764	11.99831609	11.76128097	12.95358637	12.30510796	13.02093469	12.73072875	12.17642289	12.03445025	11.90773693	11.46958636	11.86414678	12.26245986	11.05647082	11.77153313	10.62188856	11.17367296	11.21645034	11.47287502	11.35476862	12.26326332	11.17167837	12.45664259
Bmi1	17.72413462	19.44792332	999	20.81081636	999	18.29467976	19.91414291	17.63473015	999	16.74356495	16.934155	21.30076139	17.30207526	999	21.03386889	17.89220933	999	18.93819381	18.76798146	17.68449713	18.02205169	16.3356273	19.1124411	18.47130234	20.73317432	18.73880292	21.23531023	16.98465429	999	18.95604472	25.80536793	18.51113592	16.97070164	25.94795291	18.47808651	999	18.6377949	999	999	19.09951228	999	19.57333684	999	999	18.60986294	18.70417429	16.81897196	18.91538614	999	999	999	999	999	17.85628386	18.75607554	999	18.24297732	999	999	999	999	999	999	19.34461448	19.62511754	999	999	999	17.63468758	999	999	18.97679907	999	999	18.29327434	999	999	999	999	18.9054806	999	999	999	19.95168053	999	22.04537254	19.13585082	999	999	999	999	18.8986037	999	999	999	19.20969596
Bmp4	999	999	999	999	999	999	999	999	999	999	18.14547771	999	999	999	999	999	999	21.76713415	999	999	999	999	999	999	999	18.69744072	999	999	18.51753038	999	999	999	18.60412023	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.26604563	999	999	999	999	17.62734356	999	999	999	999	20.87255485	18.81663534	17.50873633	999	999	23.27719156	999	999	999	999	999	999	17.67003082	999	999	22.15018282	18.58315832	999	19.03441394	999	999	18.5221844	17.43670625	23.6515807	18.98341023	999	999	999	999	999	999	18.03262622	999	18.44866163	18.52563875
Bmp7	16.18963374	19.02974925	999	999	18.1739162	999	18.33430672	999	17.96444563	999	17.26665859	999	999	18.11321872	18.14783263	999	999	17.48906117	999	19.32849101	19.00395915	18.35958229	18.94654429	18.07676175	999	999	999	19.64222456	999	19.2013237	999	19.2114755	17.95767487	999	18.85777281	999	18.93043206	18.43415096	999	999	999	999	19.83156386	999	999	999	999	999	999	18.60136252	999	18.6733002	19.00996057	17.53337157	999	999	18.99047426	19.01132082	999	999	19.07940617	999	18.8116985	999	999	999	999	999	999	20.13532418	999	999	999	999	999	999	18.39850616	18.50146482	999	18.97003531	999	18.75994558	999	17.31923151	18.61029682	17.76726128	999	999	17.94307351	18.69357607	19.49149027	999	999	19.5092648	19.13018295	18.7613553
Bmpr1a	16.81819259	17.92780917	16.41757368	17.16560509	16.41085041	15.31357379	17.15238419	17.61234175	15.77522855	16.4598863	15.86291041	25.61156874	18.26350584	16.45855276	18.36094426	16.81714856	17.73017228	16.66139014	16.11717455	16.86307956	16.41250155	15.4905594	17.17754686	17.49175804	16.96504042	16.91915389	17.90046163	17.28247552	19.92818801	16.33092854	16.49675815	16.48795853	19.67393023	16.30259266	16.46521247	16.08962825	17.72731761	17.9895292	16.87587613	16.74343207	999	16.85138801	16.56046659	999	16.67231572	999	16.33762187	18.89624366	999	16.39434655	17.02346891	17.01414086	16.02262383	16.86037248	999	16.90588262	16.13114356	16.92619202	16.12911455	17.74144229	999	18.44398658	16.13622186	17.99856499	18.27729152	15.54484402	999	999	18.32176312	18.09045436	18.04925194	18.15405092	999	999	999	17.37355049	16.79959737	16.46297688	22.05354591	16.99103721	16.66094685	18.13684157	16.71379515	15.05122553	16.0466904	17.1948713	18.22666637	17.64860518	16.83959415	15.76797435	15.95035192	16.24314753	16.83958627	23.45012833	15.93906295	18.22770934
Cd34	999	19.1753149	18.45241098	18.03085985	18.90880364	999	999	999	999	18.55771374	17.87886632	999	999	999	18.87019873	18.96150064	18.68950979	18.65902576	999	999	999	17.93707221	999	17.68113205	999	16.8185634	17.82872395	999	18.92974325	18.70295033	999	999	999	999	999	19.19111911	18.69705821	999	17.93176841	17.76564309	999	999	999	999	999	999	999	17.30371334	17.91963565	999	17.37724312	999	17.76646389	999	999	999	999	16.93149809	999	18.62616657	999	999	16.84954829	999	999	999	999	999	18.95138135	999	999	999	999	999	999	999	999	18.86734744	999	999	18.43328664	18.55693245	19.86259528	999	999	999	999	18.61767324	999	999	999	999	18.61013819	19.13027244	18.79901026	19.05110685
Cdh1	15.37972731	17.76642391	999	999	999	999	999	999	999	999	999	999	999	999	999	18.68495761	20.63996067	18.80936409	19.24213337	20.3074069	999	999	999	999	999	999	999	999	999	999	21.43637362	999	999	999	999	18.91183823	18.28739003	999	999	999	999	999	999	999	999	999	999	19.1396977	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.2683984	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.75862427	999	999	20.50017994	999	999	999	999	999	999	999
Cdh2	18.02658309	15.70768519	16.74789351	14.45684831	14.35787896	14.39567708	16.01297408	19.8273135	16.2628721	16.42859239	18.41940486	16.5831129	19.74276588	15.41442656	19.9787375	16.83926613	14.87412131	15.88888049	14.50442183	16.82773882	16.60145692	15.21552414	999	15.84268719	15.68699461	16.62779199	16.32598364	14.21231612	16.7854307	15.4770291	15.07359092	16.55773083	16.87743059	16.63575376	14.07362396	16.72178627	18.63868197	15.15431554	14.84716732	14.26722609	27.48113127	17.54955988	999	999	16.09420451	999	13.29742214	17.72416356	17.49491822	999	999	999	999	999	999	999	999	23.90493823	18.02389997	19.68315957	22.80167825	19.88648022	999	18.31539469	999	999	999	20.25466169	15.86490615	999	20.05724601	999	999	999	999	17.12450612	999	999	999	999	999	999	999	999	18.87340715	19.88481378	999	16.64129888	16.83517767	999	18.38894635	18.89298142	999	999	999	999
Cdk2	15.49222917	15.29494217	14.68523437	15.12984362	15.9837785	14.91441673	15.49923443	16.61452355	15.13213435	15.30233228	15.03490715	14.98493932	16.31834321	15.29822226	16.42686878	16.29513782	14.59980654	15.69725135	15.70722256	15.43534517	14.2177116	14.91330909	15.96735804	14.35717552	14.08875014	16.04661067	14.93872153	14.6780506	14.61601125	16.23911231	15.09068663	15.89529352	14.5343006	16.66726079	15.23292095	15.16081354	15.10578362	16.5258233	15.76373223	15.12839843	999	14.63865408	16.83209823	999	14.84880861	15.34979429	15.96068128	14.97413368	16.20005628	14.92914877	14.51905012	16.64332439	15.71423214	14.66135597	16.61173637	14.89933581	16.78585573	14.58978967	16.13496752	14.64481435	16.80992714	14.79367721	15.88046412	15.26117986	14.59077513	15.560177	15.82427362	17.78205398	14.48350974	16.25985725	16.13112538	15.72947	17.21750911	15.68817343	15.79260022	15.31198877	14.71551546	15.71794313	15.72355581	15.92772271	14.94954152	15.28640428	16.68321135	14.04855774	14.72827141	15.00022191	15.48604162	15.88029586	15.64287775	15.24620961	14.72557284	15.61057404	14.78257647	14.59660643	14.37284857	15.5056911
Cdx2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.48263181	999	999	18.23803942	999	999	999	999	999	999	999	999	18.686867	999	999	999	999	999	19.25240158	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
