Genes	E14tg2a-96h 1A	E14tg2a-96h 1B	E14tg2a-96h 1C	E14tg2a-96h 1D	E14tg2a-96h 1E	E14tg2a-96h 1F	E14tg2a-96h 1G	E14tg2a-96h 1H	E14tg2a-96h 2A	E14tg2a-96h 2B	E14tg2a-96h 2C	E14tg2a-96h 2D	E14tg2a-96h 2E	E14tg2a-96h 2F	E14tg2a-96h 2G	E14tg2a-96h 2H	E14tg2a-96h 3A	E14tg2a-96h 3B	E14tg2a-96h 3C	E14tg2a-96h 3D	E14tg2a-96h 3E	E14tg2a-96h 3F	E14tg2a-96h 3G	E14tg2a-96h 3H	E14tg2a-96h 4A	E14tg2a-96h 4B	E14tg2a-96h 4C	E14tg2a-96h 4D	E14tg2a-96h 4E	E14tg2a-96h 4F	E14tg2a-96h 4G	E14tg2a-96h 4H	E14tg2a-96h 5A	E14tg2a-96h 5B	E14tg2a-96h 5C	E14tg2a-96h 5D	E14tg2a-96h 5E	E14tg2a-96h 5F	E14tg2a-96h 5G	E14tg2a-96h 5H	E14tg2a-96h 6A	E14tg2a-96h 6B	E14tg2a-96h 6C	E14tg2a-96h 6D	E14tg2a-96h 6E	E14tg2a-96h 6F	E14tg2a-96h 6G	E14tg2a-96h 6H	R1-96h 1A	R1-96h 1B	R1-96h 1C	R1-96h 1D	R1-96h 1E	R1-96h 1F	R1-96h 1G	R1-96h 1H	R1-96h 2A	R1-96h 2B	R1-96h 2C	R1-96h 2D	R1-96h 2E	R1-96h 2F	R1-96h 2G	R1-96h 2H	R1-96h 3A	R1-96h 3B	R1-96h 3C	R1-96h 3D	R1-96h 3E	R1-96h 3F	R1-96h 3G	R1-96h 3H	R1-96h 4A	R1-96h 4B	R1-96h 4C	R1-96h 4D	R1-96h 4E	R1-96h 4F	R1-96h 4G	R1-96h 4H	R1-96h 5A	R1-96h 5B	R1-96h 5C	R1-96h 5D	R1-96h 5E	R1-96h 5F	R1-96h 5G	R1-96h 5H	R1-96h 6A	R1-96h 6B	R1-96h 6C	R1-96h 6D	R1-96h 6E	R1-96h 6F	R1-96h 6G	R1-96h 6H	
Actb	12.96662334	12.72894818	14.79033726	13.03661283	999	14.37391645	18.95115483	13.5329498	12.90582015	999	11.93956406	11.68615542	999	999	14.80474649	17.21641381	19.21668144	12.99157132	17.84918865	18.64250688	999	999	14.19532633	14.15936692	12.63134231	13.14820047	11.24025216	17.37663097	13.00180747	12.74592851	17.75664519	13.99054143	13.7689715	14.0030546	18.4561536	14.19817298	18.70099675	12.05029247	18.81136228	999	13.91082242	18.61758618	17.72764429	17.46767508	16.90747587	19.21961771	999	999	15.2078093	12.69307941	15.40047804	16.72228503	15.43961435	13.98253586	16.36546897	11.93720676	17.91004163	15.47326012	18.18823843	14.53820514	10.9766393	13.32429038	16.64526868	15.55660187	13.21324728	10.64283186	14.19108278	13.46744121	18.90614747	17.11580528	13.96806709	12.79189486	13.50245778	12.03055518	13.66360805	15.56234962	10.94760518	12.82634219	13.7498659	16.37651189	14.53533096	17.55068809	16.4248155	10.13049082	15.55555738	13.08020136	12.39099002	16.5645868	16.45129645	12.89504961	14.52764213	13.73770663	18.62269048	13.45541002	12.55538515	17.6240167	
Bmi1	18.68072088	16.79466241	16.87552396	18.33522791	999	19.52777147	999	18.20264521	16.67731666	999	18.51752355	18.13969242	999	999	999	999	999	16.78064757	999	999	999	999	17.39011407	17.37201485	17.39238258	18.67758337	17.55409493	999	19.99505988	17.98752795	20.18087823	16.6995349	18.57090858	17.79942095	999	17.86698372	999	17.96714387	999	999	17.75001991	999	999	999	999	999	999	999	999	18.58493344	999	999	19.94083607	999	999	999	999	999	999	19.45679201	20.65029321	18.70828684	999	999	999	19.5782708	999	999	999	999	999	19.80090436	999	999	999	999	999	18.86737896	999	999	999	999	999	999	999	19.62646906	999	999	999	20.3251383	999	999	999	999	19.77934731	19.71362627	
Bmp4	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.91699539	999	999	999	999	999	999	999	999	999	999	19.23521546	999	999	999	999	999	999	999	999	19.17262846	999	999	999	16.38290413	999	17.99207029	999	999	999	999	16.49833844	18.35570216	999	999	17.83953186	16.84871371	18.81877322	19.0576941	18.97173812	999	999	999	999	16.79925373	18.89038519	999	18.63046571	999	18.20470705	18.73592867	999	999	999	999	999	999	999	999	999	18.57656798	999	18.81287607	999	999	18.38169844	999	
Bmp7	999	999	999	999	999	999	999	999	18.76521077	999	19.18517905	19.99743511	999	999	999	999	999	999	999	999	999	999	999	999	18.82813075	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.70094381	999	999	999	999	999	999	999	999	19.30950631	999	999	999	18.33576696	999	18.26188678	999	999	999	18.09430189	17.39303998	999	19.95792182	999	999	18.61209781	18.68431181	19.06709142	999	999	17.9096035	999	20.57143664	999	999	999	16.95727868	17.60103141	999	999	999	999	999	17.37092253	19.26116554	19.27449923	999	999	999	18.51187362	19.29097332	19.76160803	999	999	19.87966187	999	
Bmpr1a	999	18.05761862	17.22559435	17.16629186	999	17.50346734	999	17.258328	17.24217847	999	16.83991861	15.67317556	999	999	999	999	999	16.05596724	999	999	999	999	18.11823441	999	16.91133993	18.04513707	999	999	16.296314	16.32423975	999	18.98503454	18.18138711	16.97949421	999	999	999	16.90159582	999	999	16.38731284	999	999	999	18.5707892	999	999	999	18.18604524	18.14443262	999	999	999	18.50547441	999	19.08232214	999	999	999	999	15.35702383	999	999	999	19.39220537	14.90465431	18.98223425	16.36256318	999	999	999	999	21.81855971	17.1090794	18.42250425	999	17.33123121	17.30471327	999	999	999	999	999	17.20205167	999	17.41455335	18.56637219	999	999	999	999	999	999	999	16.81925858	999	
Cd34	999	999	999	999	999	999	999	999	999	999	999	20.91173249	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.87078414	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.88524572	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.72921046	999	999	999	999	999	
Cdh1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	20.43157478	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.2133098	999	999	999	999	999	999	
Cdh2	13.24612029	13.12558528	13.20621347	13.72825723	999	14.85365738	999	14.71984956	13.8616948	999	12.2948847	12.74019383	999	999	20.1079744	999	27.92561209	12.07142341	19.49254114	19.54409853	999	999	14.43279535	15.63707443	13.65214948	14.96024563	12.75372333	999	12.79703812	20.49072852	19.44676423	14.37718278	13.08750619	12.66293876	999	13.65911917	999	12.38441781	19.49985443	999	13.37420125	999	999	999	17.81391284	999	999	999	999	999	999	999	17.94127775	999	999	999	999	999	999	999	999	999	999	999	999	999	19.33972941	999	999	999	999	999	999	999	999	999	999	999	19.87559221	999	999	999	999	20.39630349	999	999	20.11130732	20.12550305	999	999	999	999	999	999	999	999	
Cdk2	16.32002776	18.65709944	15.47186519	15.59594561	999	17.17169011	999	999	16.90118541	999	14.72806904	14.55264083	999	999	18.73819289	999	18.14977491	16.39453541	999	999	999	999	16.00007024	17.6123186	14.95674682	16.56210475	16.36668723	999	15.61101191	16.34901898	999	16.05961693	15.56595259	15.44381056	999	17.50491536	999	15.10801848	999	999	18.48674459	999	999	999	999	999	999	999	999	16.18048073	999	999	20.40429064	19.13749855	999	16.97897862	999	999	999	16.89011149	15.49010814	17.2359752	18.5402176	999	17.13935115	14.41877838	18.24276204	17.84352936	999	999	18.7284004	13.81768608	17.51875455	17.51245319	16.83155188	999	16.79006947	15.84643068	18.46245966	999	17.11165652	999	19.12210849	16.44271948	16.81200812	18.20567589	999	999	18.75121399	17.89296093	17.55177174	18.89226801	999	18.49839258	15.98961263	999	
Cdx2	999	999	999	999	999	999	999	999	999	999	999	17.70641272	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
