,PseudoTime1,PseudoTime2
E906_121,0.14969,NA
E531_379,0.47421,NA
E746_230,0.28679,NA
E253_748,NA,0.93836
E131_587,NA,0.73585
E3_644,NA,0.80755
E750_584,0.73208,NA
E896_249,NA,0.31069
E367_635,NA,0.79623
E220_577,0.72327,NA
E282_32,NA,0.03774
E575_516,0.64654,NA
E726_350,0.43774,NA
E644_417,0.52201,NA
E81_708,0.88805,NA
E406_167,NA,0.20755
E80_509,NA,0.63774
E731_87,0.10692,NA
E887_618,NA,0.77484
E33_458,NA,0.57358
E526_370,NA,0.46289
E799_200,0.24906,NA
E801_429,NA,0.53711
E484_692,NA,0.86792
E707_288,NA,0.35975
E399_223,NA,0.27799
E380_716,0.89811,NA
E588_618,0.77484,NA
E303_361,0.45157,NA
E43_365,NA,0.4566
E260_688,NA,0.86289
E684_214,NA,0.26667
E734_318,NA,0.39748
E988_588,0.73711,NA
E758_111,NA,0.13711
E116_61,NA,0.07421
E709_284,NA,0.35472
E247_57,NA,0.06918
E552_119,NA,0.14717
E100_663,NA,0.83145
E517_635,NA,0.79623
E686_521,0.65283,NA
E463_768,0.96352,NA
E366_72,0.08805,NA
E905_391,NA,0.48931
E786_787,NA,0.98742
E179_650,0.81509,NA
E144_104,NA,0.1283
E689_277,0.34591,NA
E2_360,NA,0.45031
E894_787,NA,0.98742
E781_27,NA,0.03145
E308_187,NA,0.2327
E68_213,0.26541,NA
E911_460,0.5761,NA
E264_730,0.91572,NA
E188_380,NA,0.47547
E937_672,0.84277,NA
E473_567,NA,0.71069
E322_645,NA,0.80881
E939_272,NA,0.33962
E864_581,0.7283,NA
E155_619,0.7761,NA
E219_486,0.60881,NA
E625_338,0.42264,NA
E186_269,NA,0.33585
E171_538,NA,0.67421
E554_508,NA,0.63648
E832_789,NA,0.98994
E492_430,NA,0.53836
E208_219,0.27296,NA
E176_160,NA,0.19874
E164_450,0.56352,NA
E121_480,NA,0.60126
E751_127,0.15723,NA
E749_350,NA,0.43774
E835_28,NA,0.0327
E98_132,0.16352,NA
E461_226,0.28176,NA
E891_313,0.39119,NA
E696_614,0.76981,NA
E665_210,NA,0.26164
E843_359,0.44906,NA
E489_520,NA,0.65157
E82_490,NA,0.61384
E725_548,NA,0.68679
E876_227,0.28302,NA
E416_13,NA,0.01384
E899_384,NA,0.4805
E982_193,NA,0.24025
E723_68,NA,0.08302
E214_289,0.36101,NA
E621_177,NA,0.22013
E280_18,0.02013,NA
E272_256,NA,0.3195
E595_429,0.53711,NA
E533_564,0.70692,NA
E827_733,0.9195,NA
E564_307,0.38365,NA
E965_647,0.81132,NA
E173_659,0.82642,NA
E772_210,NA,0.26164
E732_730,0.91572,NA
E28_528,NA,0.66164
E779_342,NA,0.42767
E328_568,NA,0.71195
E992_435,NA,0.54465
E979_200,0.24906,NA
E558_134,NA,0.16604
E318_691,NA,0.86667
E447_307,NA,0.38365
E392_654,0.82013,NA
E940_23,NA,0.02642
E556_74,NA,0.09057
E607_610,NA,0.76478
E819_207,NA,0.25786
E634_134,NA,0.16604
E841_767,0.96226,NA
E242_539,NA,0.67547
E177_263,NA,0.3283
E0_89,0.10943,NA
E287_628,0.78742,NA
E423_570,NA,0.71447
E976_277,0.34591,NA
E442_304,NA,0.37987
E41_179,NA,0.22264
E57_653,0.81887,NA
E874_31,0.03648,NA
E670_65,0.07925,NA
E565_407,0.50943,NA
E108_77,NA,0.09434
E227_732,NA,0.91824
E258_797,1.0,NA
E993_255,0.31824,NA
E102_81,NA,0.09937
E137_297,NA,0.37107
E320_42,NA,0.05031
E331_741,NA,0.92956
E299_787,NA,0.98742
E636_706,0.88553,NA
E344_421,NA,0.52704
E654_134,0.16604,NA
E624_277,NA,0.34591
E377_161,NA,0.2
E97_464,0.58113,NA
E641_571,0.71572,NA
E488_652,0.81761,NA
E457_727,0.91195,NA
E193_705,0.88428,NA
E302_618,NA,0.77484
E342_491,NA,0.61509
E948_345,0.43145,NA
E969_629,0.78868,NA
E964_313,0.39119,NA
E45_118,0.14591,NA
E602_52,NA,0.06289
E439_230,NA,0.28679
E685_53,0.06415,NA
E736_559,0.70063,NA
E175_581,0.7283,NA
E753_352,0.44025,NA
E329_773,NA,0.96981
E459_559,NA,0.70063
E788_555,0.6956,NA
E35_56,NA,0.06792
E946_421,NA,0.52704
E495_279,0.34843,NA
E763_310,0.38742,NA
E345_328,NA,0.41006
E523_415,NA,0.5195
E325_573,0.71824,NA
E217_604,NA,0.75723
E747_416,0.52075,NA
E362_48,0.05786,NA
E487_766,NA,0.96101
E210_80,NA,0.09811
E4_450,NA,0.56352
E502_766,NA,0.96101
E785_181,0.22516,NA
E557_446,NA,0.55849
E730_340,NA,0.42516
E807_508,0.63648,NA
E538_381,0.47673,NA
E53_478,0.59874,NA
E757_193,NA,0.24025
E991_615,NA,0.77107
E775_245,0.30566,NA
E944_493,NA,0.61761
E831_476,0.59623,NA
E183_645,0.80881,NA
E386_225,0.2805,NA
E411_650,0.81509,NA
E455_525,0.65786,NA
E449_765,NA,0.95975
E90_133,0.16478,NA
E499_458,NA,0.57358
E357_755,NA,0.94717
E34_436,0.54591,NA
E500_82,NA,0.10063
E321_88,0.10818,NA
E934_775,0.97233,NA
E140_471,0.58994,NA
E898_121,NA,0.14969
E741_796,NA,0.99874
E184_670,0.84025,NA
E266_565,0.70818,NA
E515_359,NA,0.44906
E928_158,0.19623,NA
E306_272,0.33962,NA
E317_401,NA,0.50189
E375_587,NA,0.73585
E848_776,NA,0.97358
E511_754,NA,0.94591
E855_89,NA,0.10943
E735_411,0.51447,NA
E809_148,NA,0.18365
E323_572,0.71698,NA
E879_271,0.33836,NA
E190_662,NA,0.83019
E85_656,NA,0.82264
E829_677,NA,0.84906
E52_596,NA,0.74717
E507_591,0.74088,NA
E664_322,NA,0.40252
E866_144,0.17862,NA
E710_559,0.70063,NA
E475_748,NA,0.93836
E228_265,NA,0.33082
E372_776,0.97358,NA
E646_228,0.28428,NA
E547_441,NA,0.5522
E412_12,0.01258,NA
E383_46,0.05535,NA
E578_348,NA,0.43522
E296_330,0.41258,NA
E990_665,0.83396,NA
E663_721,0.9044,NA
E221_446,NA,0.55849
E105_737,0.92453,NA
E960_511,NA,0.64025
E566_448,0.56101,NA
E702_781,NA,0.97987
E532_335,NA,0.41887
E675_732,0.91824,NA
E213_273,0.34088,NA
E86_254,NA,0.31698
E932_493,NA,0.61761
E19_737,NA,0.92453
E165_599,NA,0.75094
E310_780,0.97862,NA
E466_679,0.85157,NA
E745_243,NA,0.30314
E479_393,0.49182,NA
E953_215,0.26792,NA
E961_528,0.66164,NA
E674_78,NA,0.0956
E818_114,0.14088,NA
E553_606,NA,0.75975
E742_288,0.35975,NA
E128_398,NA,0.49811
E504_294,0.3673,NA
E379_150,NA,0.18616
E405_482,NA,0.60377
E446_372,NA,0.46541
E583_529,0.66289,NA
E152_311,0.38868,NA
E769_572,0.71698,NA
E777_96,0.11824,NA
E402_631,0.79119,NA
E361_616,0.77233,NA
E352_657,0.8239,NA
E903_700,NA,0.87799
E984_687,NA,0.86164
E847_249,0.31069,NA
E609_292,NA,0.36478
E740_788,0.98868,NA
E838_290,NA,0.36226
E407_456,NA,0.57107
E156_197,0.24528,NA
E326_309,NA,0.38616
E773_432,0.54088,NA
E626_255,0.31824,NA
E803_388,NA,0.48553
E956_724,NA,0.90818
E633_218,0.2717,NA
E239_5,0.00377,NA
E269_129,0.15975,NA
E16_632,0.79245,NA
E275_22,NA,0.02516
E613_523,0.65535,NA
E943_440,0.55094,NA
E66_120,0.14843,NA
E21_394,NA,0.49308
E537_678,0.85031,NA
E259_143,0.17736,NA
E608_51,NA,0.06164
E451_679,NA,0.85157
E816_523,NA,0.65535
E162_528,NA,0.66164
E75_208,0.25912,NA
E764_656,NA,0.82264
E87_231,NA,0.28805
E136_507,NA,0.63522
E205_677,NA,0.84906
E683_555,0.6956,NA
E617_465,0.58239,NA
E882_209,0.26038,NA
E572_91,NA,0.11195
E250_513,0.64277,NA
E647_722,0.90566,NA
E912_592,NA,0.74214
E225_112,NA,0.13836
E822_428,NA,0.53585
E252_143,NA,0.17736
E584_666,NA,0.83522
E196_577,NA,0.72327
E339_455,0.56981,NA
