	dim1	dim2	pt
E691_463	17.501965	-9.360743	0.57915
E510_281	-3.334503	-4.1642823	0.3505
E363_762	14.3179455	-8.949166	0.95477
E934_404	-9.286335	-6.0028434	0.50503
E991_61	0.82572925	22.277884	0.07412
E187_361	-6.2539296	-4.701007	0.45101
E297_381	-5.60816	-4.5901785	0.47613
E181_466	7.4540157	-5.449011	0.58291
E755_597	15.975874	-8.093583	0.74749
E996_604	-17.501373	-5.884151	0.75628
E761_410	16.80398	-12.642984	0.51256
E331_492	16.272854	-9.730777	0.61558
E555_298	1.4094203	-3.0156012	0.37186
E657_293	0.019035524	1.7689383	0.36558
E714_541	-18.884413	-9.419596	0.67714
E151_270	-5.1470065	-3.068199	0.33668
E499_741	18.54541	-9.457156	0.92839
E677_55	1.5234346	20.582264	0.06658
E280_370	-6.9391274	-4.1962996	0.46231
E607_343	0.576454	-3.2443469	0.42839
E608_574	18.88954	-10.272321	0.71859
E220_259	0.09082416	6.01735	0.32286
E128_411	6.7907767	-4.61723	0.51382
E792_149	-0.9805792	15.890956	0.18467
E139_253	-0.6045586	5.4449525	0.31533
E809_271	0.10048585	3.8360023	0.33794
E692_59	0.22264355	21.940237	0.07161
E982_183	1.8194977	4.831187	0.22739
E338_216	2.1503882	4.317884	0.26884
E395_759	15.068231	-7.3854957	0.95101
E319_491	18.960451	-9.250796	0.61432
E826_80	-0.21768022	20.483416	0.09799
E488_208	-1.4493364	3.8190422	0.25879
E603_546	14.377531	-7.4647045	0.68342
E278_141	0.4178026	15.417114	0.17462
E520_759	16.708263	-6.034645	0.95101
E503_345	2.0468578	-2.5653028	0.4309
E724_391	-7.1450353	-4.8368845	0.48869
E101_435	-8.927442	-6.1984377	0.54397
E924_177	-1.1798196	12.752562	0.21985
E584_554	6.8598084	-4.970719	0.69347
E294_443	16.00687	-10.352874	0.55402
E457_760	-20.225515	-8.665053	0.95226
E871_566	-7.459471	-4.986677	0.70854
E513_668	14.796848	-6.5360827	0.83668
E250_733	-17.191416	-9.081835	0.91834
E478_501	-14.5022545	-9.173563	0.62688
E683_550	-20.071566	-5.6586194	0.68844
E172_554	-16.280558	-7.883104	0.69347
E839_762	17.51618	-7.364829	0.95477
E958_726	0.48950157	19.780443	0.90955
E390_14	3.0315967	22.805014	0.01508
E245_319	1.8864224	-0.519601	0.39824
E589_737	-17.944868	-6.777443	0.92337
E346_369	2.5591288	-3.1081672	0.46106
E387_41	2.3276622	23.013535	0.04899
E709_205	-1.17615	4.5267863	0.25503
E73_713	-17.105906	-6.898457	0.89322
E322_540	15.999279	-11.232084	0.67588
E27_699	-19.740993	-7.2555075	0.87563
E874_441	-19.29823	-10.532569	0.55151
E123_681	-17.577297	-10.899014	0.85302
E927_410	3.323232	-2.240783	0.51256
E512_472	18.762508	-7.3464947	0.59045
E933_519	-15.918868	-6.013243	0.6495
E26_377	-6.0661125	-4.13708	0.47111
E120_647	19.936703	-9.6569805	0.8103
E111_646	-18.487923	-6.5579166	0.80905
E629_535	19.18987	-11.546281	0.6696
E701_562	-15.357856	-11.055106	0.70352
E734_568	16.489923	-6.4855466	0.71106
E438_406	-17.764463	-11.246059	0.50754
E791_491	17.128193	-10.911377	0.61432
E956_282	0.3119702	3.1775942	0.35176
E460_159	1.8851506	17.782862	0.19724
E188_553	16.588974	-5.513351	0.69221
E165_768	13.463423	-9.071504	0.96231
E30_490	-16.204756	-9.659241	0.61307
E893_298	0.5197615	1.992204	0.37186
E532_247	1.4223424	-2.50315	0.30779
E653_453	4.8312364	-3.09804	0.56658
E173_465	-20.147413	-9.873665	0.58166
E529_517	-21.152187	-8.782406	0.64698
E209_541	13.625982	-10.453564	0.67714
E109_14	1.8353388	22.910105	0.01508
E2_299	2.8740392	-2.654485	0.37312
E231_685	-15.537148	-7.3456526	0.85804
E415_471	-10.001665	-6.25401	0.5892
E977_289	0.74320936	3.605377	0.36055
E570_393	5.8702726	-4.4724603	0.49121
E291_87	0.13804477	19.7065	0.10678
E117_142	0.70329845	13.428296	0.17588
E876_524	-21.222063	-8.221644	0.65578
E905_402	5.130513	-3.8316388	0.50251
E789_473	15.209218	-8.969021	0.59171
E163_31	1.4389489	21.122759	0.03643
E578_712	16.33272	-11.372426	0.89196
E147_372	2.7217562	-3.1774979	0.46482
E405_543	18.713327	-7.799757	0.67965
E397_594	17.26816	-8.580032	0.74372
E367_127	0.31399393	14.9785795	0.15704
E974_686	-17.213593	-5.9877257	0.8593
E808_793	-17.223171	-11.666997	0.99372
E867_421	6.0387917	-4.16173	0.52638
E851_65	0.32453495	20.439404	0.07915
E386_650	-19.250443	-11.896094	0.81407
E222_219	0.08577405	2.7332373	0.27261
E162_171	-0.39821085	14.019216	0.21231
E628_698	17.705032	-6.658962	0.87437
E775_429	-9.173011	-5.7203116	0.53643
E364_786	15.02728	-9.770448	0.98492
E433_738	-14.836231	-10.057292	0.92462
E439_250	1.3092413	-0.91650736	0.31156
E921_66	0.7724495	22.177328	0.0804
E835_713	14.614463	-6.4909625	0.89322
E99_156	2.2188542	16.253504	0.19347
E720_376	5.449867	-4.6813164	0.46985
E45_570	-20.021156	-8.73673	0.71357
E859_262	1.6904991	3.3163495	0.32663
E403_285	1.8456182	-0.29381138	0.35553
E164_690	-17.002262	-11.496107	0.86432
E685_139	0.25158414	17.025602	0.17211
E959_213	1.4991717	3.4005508	0.26508
E753_409	-9.34786	-5.236846	0.51131
E452_725	17.512629	-10.160206	0.90829
E320_34	2.226114	21.684002	0.0402
E509_669	15.9561615	-8.5379505	0.83794
E739_298	3.1218996	-2.6717296	0.37186
E379_577	14.765113	-7.8646674	0.72236
E25_473	2.7196732	-1.1055831	0.59171
E341_345	-9.167367	-4.4275584	0.4309
E964_203	1.211431	4.340959	0.25251
E301_506	16.398312	-8.725337	0.63317
E224_65	-0.17207794	20.45664	0.07915
E14_305	-1.0626559	3.6138365	0.38065
E878_212	-5.319841	-3.082189	0.26382
E817_508	-17.906534	-8.497669	0.63568
E344_110	0.56512105	14.5741	0.13568
E591_221	0.0007651317	3.3916602	0.27513
E880_140	1.3724616	15.519015	0.17337
E256_349	5.4866548	-4.453621	0.43593
E133_538	-9.030061	-5.7938986	0.67337
E679_770	15.536091	-9.777951	0.96482
E483_109	2.6174076	14.351374	0.13442
E866_672	-16.39633	-10.025619	0.84171
E31_632	-16.480846	-10.427702	0.79146
E907_658	-20.833185	-6.88914	0.82412
E865_163	1.5198345	13.266428	0.20226
E961_357	-5.8592534	-5.2255883	0.44598
E925_343	0.21139327	3.167916	0.42839
E290_154	1.7461663	16.675482	0.19095
E214_122	1.898628	17.365288	0.15075
E161_141	1.5518097	16.55093	0.17462
E898_244	0.52435225	3.3354461	0.30402
E620_399	5.540569	-5.3058004	0.49874
E864_219	1.2029846	12.063437	0.27261
E619_218	1.1708728	4.3664618	0.27136
E223_635	-17.39141	-6.8190145	0.79523
E494_584	14.434011	-7.460533	0.73116
E896_159	0.51040626	20.296183	0.19724
E402_217	0.40917185	10.840423	0.2701
E219_474	-19.016575	-9.3041315	0.59296
E401_390	13.394968	-9.026093	0.48744
E821_9	2.8915906	24.024887	0.00879
E820_65	0.7839954	20.086523	0.07915
E728_516	17.36997	-11.198045	0.64573
E227_625	17.184935	-12.180372	0.78266
E670_694	-19.426756	-8.866189	0.86935
E169_301	-4.853426	-4.6154785	0.37563
E579_490	-16.273674	-7.35232	0.61307
E442_79	3.211545	20.232807	0.09673
E186_508	11.843795	-6.457723	0.63568
E759_25	0.033866208	22.310507	0.02889
E129_266	0.9716389	0.78511983	0.33166
E71_301	1.7909905	-1.8220586	0.37563
E868_246	-3.0483685	-2.0492592	0.30653
E745_205	1.042302	6.0000124	0.25503
E419_151	0.33431762	14.108322	0.18719
E630_603	-15.02314	-7.014031	0.75503
E525_287	1.9618442	-0.8285087	0.35804
E632_498	-17.478243	-7.241198	0.62312
E962_763	15.184024	-7.3492723	0.95603
E625_726	-16.104225	-10.96127	0.90955
E750_736	-19.024725	-5.366284	0.92211
E349_2	3.1682596	24.644663	0.0
E542_312	2.7885964	-2.6170125	0.38945
E975_619	15.430154	-8.617172	0.77513
E770_150	1.803088	11.67427	0.18593
E593_599	-14.969634	-10.288247	0.75
E195_264	-5.500614	-4.3305335	0.32915
E89_434	-8.939824	-5.9267716	0.54271
E813_798	18.782793	-6.7771664	1.0
E142_156	-0.5900573	14.955984	0.19347
E116_518	17.621979	-9.172382	0.64824
E451_189	0.11345564	11.534833	0.23492
E371_152	1.163114	12.320197	0.18844
E656_494	5.760607	-4.9137187	0.61809
E954_75	2.5468729	20.614237	0.09171
E53_635	-19.362574	-11.593879	0.79523
E624_179	0.73977095	13.117042	0.22236
E199_517	-20.178253	-7.2729793	0.64698
E779_624	16.867718	-8.418951	0.78141
E838_305	1.7855371	-1.1997344	0.38065
E847_785	-20.98658	-6.9191523	0.98367
E16_616	-19.208982	-6.272414	0.77136
E153_665	-16.413834	-8.227413	0.83291
E423_690	13.105636	-9.740327	0.86432
E29_185	1.229677	2.563821	0.2299
E255_148	-0.15232462	13.055497	0.18342
E517_607	16.61152	-6.157144	0.76005
E39_238	1.725448	4.0732603	0.29648
E487_654	18.77337	-7.990119	0.8191
E179_84	2.4466424	20.727768	0.10302
E763_382	-5.031489	-3.9752336	0.47739
E704_447	-17.865938	-5.722971	0.55905
E370_364	4.8867774	-4.8791018	0.45477
E176_517	17.791014	-8.914184	0.64698
E392_278	-1.8281897	-0.30812702	0.34673
E286_740	-16.97822	-10.505518	0.92714
E107_198	0.6470267	2.7298253	0.24623
E175_700	-19.130316	-11.2334795	0.87688
E831_445	-10.284875	-6.4162893	0.55653
E816_60	1.7357616	19.985107	0.07286
E618_338	2.4705722	-1.9379066	0.42211
E160_343	2.3336408	-2.435462	0.42839
E98_369	-10.370462	-6.2205105	0.46106
E938_227	-1.4429706	5.0534	0.28266
E218_784	15.012915	-9.040036	0.98241
E434_552	18.267935	-10.573225	0.69095
E664_786	17.515276	-7.9153295	0.98492
E274_273	0.3055942	4.2454185	0.34045
E361_448	-18.76744	-8.259012	0.5603
E659_612	-15.614705	-11.346505	0.76633
E727_372	-2.9482431	-3.4702592	0.46482
E411_337	-6.010192	-4.6610556	0.42085
E732_91	2.543629	19.591118	0.11181
E882_493	-9.302994	-5.8867273	0.61683
E870_548	18.339785	-10.181905	0.68593
E427_211	0.038758025	4.0005937	0.26256
E892_689	16.985735	-11.588982	0.86307
E234_787	-19.78898	-6.9473753	0.98618
E377_161	-0.29048023	13.682592	0.19975
E68_774	-17.271837	-12.019969	0.96985
E368_370	-6.6038175	-4.8975806	0.46231
E663_730	-16.959959	-10.246818	0.91457
E261_298	0.51066333	2.098275	0.37186
E417_301	0.3926966	-1.0134401	0.37563
E814_358	-7.0597086	-4.911829	0.44724
E467_320	-6.1048503	-4.3754077	0.3995
E717_428	-9.72889	-6.480496	0.53518
E365_161	2.002595	11.762568	0.19975
E141_50	1.693042	20.304039	0.0603
E106_14	1.5972968	23.273298	0.01508
E614_282	-4.6151996	-1.9861344	0.35176
E815_307	1.3209366	3.1642158	0.38317
E917_15	2.9685988	23.9167	0.01633
E226_146	0.04689026	18.731117	0.1809
E918_215	-0.011703053	6.0322785	0.26759
E590_6	2.9747274	24.20666	0.00503
E235_326	-5.665029	-3.9091094	0.40704
E660_495	-10.270424	-6.1494575	0.61935
E243_34	0.92807764	21.889055	0.0402
E561_25	1.6603274	23.21232	0.02889
E909_535	-11.6118	-6.780531	0.6696
E58_722	-17.067379	-6.6206307	0.90452
E102_335	0.6619285	-2.535826	0.41834
E463_288	0.7549889	2.3378386	0.3593
E604_532	-20.449978	-11.008453	0.66583
E644_771	-15.327893	-8.731056	0.96608
E148_267	-2.167486	-3.4309223	0.33291
E580_616	-18.5755	-8.829105	0.77136
E565_558	-14.4334755	-11.129282	0.69849
E230_722	17.729143	-10.2800865	0.90452
E666_156	1.268326	12.416875	0.19347
E238_624	-15.932053	-6.455405	0.78141
E366_709	-17.188824	-5.919049	0.88819
E83_475	-16.000519	-7.6208653	0.59422
E312_229	-0.9721967	2.7711256	0.28518
E321_43	2.5461936	20.286674	0.05151
E730_789	16.484028	-10.214783	0.98869
E741_282	2.2950113	-2.6849594	0.35176
E999_400	5.7266674	-4.620991	0.5
E986_208	1.2506601	4.210086	0.25879
E502_462	18.331282	-11.965914	0.57789
E435_274	-4.0086403	-2.8858175	0.34171
E700_173	0.5851495	13.843946	0.21482
E899_669	13.668592	-9.156652	0.83794
E316_100	-0.3565157	21.23899	0.12312
E212_122	0.24097729	19.919516	0.15075
E735_180	1.7069066	15.0600605	0.22362
E830_26	1.5830938	21.891958	0.03015
E489_662	14.0804825	-8.853365	0.82915
E595_155	1.7856317	12.712706	0.19221
E244_581	-16.662933	-6.0017533	0.72739
E536_313	1.3164948	-2.7338521	0.3907
E491_546	19.217419	-10.248498	0.68342
E850_637	16.342154	-10.016923	0.79774
