	dim1	dim2	pt
E268_165	13.243463	8.128589	0.20577
E814_288	-0.9226041	5.389378	0.3601
E507_591	-16.175577	-9.688526	0.74028
E767_151	15.723726	9.115584	0.18821
E130_556	-6.374078	0.26387456	0.69636
E653_114	21.63412	9.68593	0.14178
E407_758	-20.035334	-13.355976	0.94981
E489_18	23.86667	9.52425	0.02133
E714_386	0.62835777	-4.9184256	0.48306
E70_325	-0.22796193	4.749373	0.40652
E107_236	5.64745	3.9176354	0.29486
E361_39	22.49244	10.51665	0.04768
E419_727	-19.629362	-12.585212	0.91092
E183_251	5.3325334	3.6518073	0.31368
E366_780	-17.378168	-10.101743	0.97742
E329_229	0.035123527	4.521258	0.28607
E398_427	-5.408882	-4.6427655	0.5345
E435_99	20.771276	10.053304	0.12296
E663_127	15.065392	6.38674	0.15809
E497_446	-3.5206547	-4.9626474	0.55834
E781_563	-4.499865	-4.814929	0.70514
E677_644	-11.213994	-4.7796154	0.80678
E825_242	4.6802974	4.4898505	0.30238
E56_347	2.354413	-3.2253468	0.43413
E774_379	0.8525753	-5.582396	0.47428
E532_483	-6.654554	0.22517155	0.60477
E919_425	-4.5879626	5.014066	0.53199
E718_28	24.325916	9.873025	0.03388
E111_181	8.808985	5.0767703	0.22585
E933_151	14.515762	7.0715237	0.18821
E969_20	24.052008	9.515089	0.02384
E888_495	-6.6395116	0.47235504	0.61982
E206_485	-1.2199203	-5.474874	0.60728
E42_730	-19.98876	-12.32303	0.91468
E233_336	2.1197722	-3.015688	0.42033
E0_650	-11.4838	-5.3349833	0.8143
E704_242	5.669227	5.103681	0.30238
E823_662	-12.117387	-6.164199	0.82936
E954_400	0.90056896	-4.819058	0.50063
E838_386	-5.1545863	4.82975	0.48306
E138_600	-10.392783	-6.2451468	0.75157
E18_107	20.22123	8.888773	0.133
E926_283	3.0695865	-3.7512999	0.35383
E615_239	5.864308	4.746889	0.29862
E121_114	21.512957	9.33721	0.14178
E639_69	21.194366	10.154236	0.08532
E553_295	5.959711	5.188037	0.36888
E120_717	-9.742487	-5.2706485	0.89837
E99_395	-0.28072825	-4.862635	0.49435
E556_477	-0.57883185	-5.1141353	0.59724
E548_37	22.029095	8.991959	0.04517
E495_169	9.366173	5.365943	0.21079
E512_17	24.156843	10.198093	0.02008
E164_612	-8.118532	-6.341006	0.76662
E728_565	-11.816812	-5.508609	0.70765
E965_84	19.732315	10.411745	0.10414
E786_264	5.5615783	2.6654193	0.32999
E739_784	-19.29379	-11.582841	0.98243
E712_569	-11.1103	-5.385288	0.71267
E24_260	5.7264347	4.75796	0.32497
E526_669	-15.876553	-9.107144	0.83814
E449_133	13.747914	7.4477735	0.16562
E254_312	2.7281206	-2.436522	0.39021
E98_493	-6.370513	1.2212521	0.61731
E834_39	22.068998	9.429077	0.04768
E369_331	-1.1789255	4.955711	0.41405
E336_273	5.701971	4.7802687	0.34128
E915_553	-16.550255	-11.523529	0.6926
E397_643	-12.104009	-6.880705	0.80552
E669_389	0.56952655	-5.822469	0.48683
E472_399	1.626696	-4.664585	0.49937
E479_335	3.6221366	-3.8531952	0.41907
E162_167	8.643605	5.189025	0.20828
E660_337	3.0353181	-2.9389324	0.42158
E444_233	5.6694736	4.9084787	0.29109
E828_66	19.386522	10.447963	0.08156
E904_160	12.912247	6.555402	0.1995
E65_668	-17.055492	-10.329079	0.83689
E465_561	-6.1049194	-4.107983	0.70263
E131_190	6.617248	4.1687713	0.23714
E785_675	-21.486753	-12.794692	0.84567
E241_767	-20.67221	-12.764955	0.9611
E996_393	-1.7574569	4.6449904	0.49184
E68_21	22.476622	9.196286	0.02509
E527_334	2.9140425	-2.2400515	0.41782
E122_159	14.835687	7.128532	0.19824
E950_231	6.370156	4.54504	0.28858
E952_423	-0.56916213	-5.8651786	0.52949
E801_42	22.94258	9.717525	0.05144
E953_784	-20.088903	-12.79815	0.98243
E757_463	-4.615012	4.9759445	0.57967
E41_440	0.16321117	-4.919731	0.55082
E313_441	-3.9425087	4.38968	0.55207
E986_786	-20.767025	-13.923753	0.98494
E821_329	-1.841611	6.0424066	0.41154
E616_668	-7.384836	-0.62865573	0.83689
E415_363	2.305046	-3.3054647	0.4542
E392_180	14.544997	6.073053	0.22459
E92_252	6.480497	3.874203	0.31493
E319_630	-11.513331	-6.1695466	0.78921
E637_377	-0.3948581	5.5681725	0.47177
E201_49	19.94555	10.429247	0.06023
E784_512	-7.5439544	-0.81522566	0.64115
E283_309	-1.8344011	5.3467317	0.38645
E1_769	-20.263042	-12.832137	0.96361
E509_666	-15.532026	-9.051593	0.83438
E883_163	17.239893	7.7991147	0.20326
E176_119	15.748374	7.6497426	0.14806
E405_581	-5.3643875	-4.989148	0.72773
E496_759	-15.814257	-9.655526	0.95107
E688_309	-0.24575302	4.9025593	0.38645
E15_209	5.0046124	5.781413	0.26098
E628_370	-4.4344254	3.8313322	0.46299
E34_239	5.74883	4.5543294	0.29862
E188_670	-1.2917619	7.5498915	0.8394
E874_599	-9.709992	-4.8546886	0.75031
E858_525	-2.6260319	5.310383	0.65747
E644_686	-16.526197	-8.766815	0.85947
E43_236	9.202803	5.1510806	0.29486
E473_273	4.048988	-1.6709765	0.34128
E134_699	-16.933271	-10.100373	0.87578
E485_31	22.034927	10.374711	0.03764
E865_573	-11.933377	-7.4681134	0.71769
E344_371	0.16630897	-4.7273803	0.46424
E223_176	12.827743	6.4446507	0.21957
E83_716	-16.385487	-11.3606205	0.89711
E181_597	-7.7720904	-6.155492	0.7478
E706_19	23.551851	9.15823	0.02258
E790_731	-11.276433	-5.580174	0.91593
E617_40	22.57709	10.940539	0.04893
E311_178	14.556344	7.8500576	0.22208
E970_181	8.55499	5.76026	0.22585
E765_452	-2.3308074	5.3004527	0.56587
E900_353	-2.5823798	4.777451	0.44166
E849_112	16.542973	9.061109	0.13927
E541_430	-1.9549172	5.6540704	0.53827
E260_557	-2.9073958	-5.123247	0.69762
E585_775	-21.121151	-12.537476	0.97114
E310_621	-20.559177	-12.415477	0.77792
E905_767	-19.711943	-13.337948	0.9611
E691_23	22.58298	9.083425	0.0276
E235_533	-4.3531785	-5.403069	0.6675
E229_372	-4.1986585	4.0357985	0.4655
E207_228	6.112203	4.1627913	0.28482
E500_496	-5.1510715	4.386418	0.62108
E430_186	5.6445518	3.6755629	0.23212
E163_323	2.8320773	-4.2308297	0.40402
E665_253	-0.018024651	5.2805805	0.31619
E870_448	-0.366476	-5.398382	0.56085
E193_214	5.3294983	4.3671803	0.26725
E464_618	-11.744366	-4.8868713	0.77415
E102_170	14.650688	7.468708	0.21205
E47_589	-9.920148	-5.1589093	0.73777
E574_599	-10.700238	-5.662908	0.75031
E852_699	-17.151869	-8.502807	0.87578
E141_114	20.485193	11.76171	0.14178
E963_246	4.872599	3.9300187	0.3074
E831_158	14.324896	5.9755244	0.19699
E597_13	23.709179	9.366033	0.01506
E394_325	3.0724027	-3.7395353	0.40652
E293_684	-14.871613	-9.839092	0.85696
E182_384	2.245179	-3.8917677	0.48055
E610_627	-16.615988	-10.676407	0.78545
E662_563	-9.744178	-5.776107	0.70514
E205_26	22.325401	9.491375	0.03137
E586_558	-11.382894	-5.915655	0.69887
E218_23	23.08355	10.659476	0.0276
E772_363	1.8965539	-3.8748176	0.4542
E620_128	14.6890135	7.181847	0.15935
E86_223	6.5316224	3.0918303	0.27854
E902_375	-0.35623252	-5.170311	0.46926
E697_481	-0.24703197	-5.475453	0.60226
E261_227	4.411933	4.0544453	0.28356
E941_699	-7.806427	-0.87362933	0.87578
E466_361	0.93219644	-4.369997	0.45169
E977_28	22.217728	10.122423	0.03388
E538_165	23.259346	10.43645	0.20577
E55_629	-11.9125	-6.6283364	0.78795
E598_603	-11.30236	-6.2911735	0.75533
E357_537	-1.3478901	-5.280493	0.67252
E307_399	-4.6512275	5.4000354	0.49937
E308_66	22.569815	11.2968855	0.08156
E382_197	14.402959	9.375644	0.24592
E139_177	14.370932	7.4365087	0.22083
E492_366	0.93939006	-4.8721657	0.45797
E626_23	22.272852	10.528694	0.0276
E364_535	-5.6044474	-4.7415648	0.67001
E199_466	-2.217747	-5.210684	0.58344
E651_544	-12.301214	-4.883053	0.6813
E322_509	-7.359979	-4.0356703	0.63739
E684_362	5.718451	2.7779377	0.45295
E861_712	-15.134219	-9.118271	0.8921
E300_785	-20.425848	-12.802729	0.98369
E635_593	-11.966537	-6.4553394	0.74279
E103_361	-4.903206	4.5172896	0.45169
E871_256	4.25635	-1.0270381	0.31995
E304_784	-20.787819	-13.144106	0.98243
E959_66	20.643572	10.173468	0.08156
E303_780	-15.610156	-9.8593025	0.97742
E301_247	6.2394767	5.0701914	0.30866
E327_263	5.3494864	5.1760144	0.32873
E506_199	11.882224	7.0451026	0.24843
E33_562	-11.726205	-6.323443	0.70389
E756_349	0.19124508	5.310611	0.43664
E232_188	15.942983	7.005522	0.23463
E792_177	15.011736	6.036972	0.22083
E333_710	-15.53469	-9.042344	0.88959
E762_677	-20.30141	-13.069503	0.84818
E981_451	-1.1259519	5.4239707	0.56462
E547_100	18.617157	9.567281	0.12422
E349_147	13.373776	7.9453726	0.18319
E771_143	14.344992	7.594937	0.17817
E898_240	3.3527524	-2.4461915	0.29987
E510_357	-2.8812318	6.348681	0.44668
E549_588	-13.128725	-6.9167647	0.73651
E719_299	-2.3078647	5.524454	0.3739
E39_344	2.3034139	-0.08638889	0.43036
E51_31	21.822733	10.761837	0.03764
E962_342	-3.88783	4.531678	0.42785
E580_605	-11.157099	-6.0080595	0.75784
E535_636	-14.173501	-9.726261	0.79674
E149_595	-12.847306	-7.3292055	0.74529
E90_345	-0.15444063	5.3188114	0.43162
E674_52	21.32191	10.451823	0.06399
E979_62	22.398035	9.954608	0.07654
E140_340	2.8152099	-3.0823412	0.42535
E58_74	22.164598	10.62152	0.09159
E892_466	-4.1940904	4.783721	0.58344
E280_368	-1.6276226	5.555661	0.46048
E766_334	-2.3234777	5.9456215	0.41782
E8_611	-17.694725	-10.743978	0.76537
E84_486	-6.9453793	0.7716078	0.60853
E101_166	14.3572445	7.204382	0.20703
E173_166	13.545993	9.310383	0.20703
E423_492	-0.71793574	-5.5129404	0.61606
E848_229	6.226753	3.6516569	0.28607
E518_208	8.748203	5.011715	0.25972
E396_269	5.4447694	5.0254364	0.33626
E716_608	-11.899007	-7.996198	0.76161
E803_451	1.9406973	-3.615703	0.56462
E563_146	13.514574	6.4277287	0.18193
E602_408	-2.8235137	4.5057745	0.51066
E67_768	-19.139992	-13.337093	0.96236
E477_755	-21.03802	-12.842476	0.94605
E893_594	-17.46548	-11.221834	0.74404
E925_798	-19.71623	-14.085682	1.0
E927_489	-6.436937	0.5633081	0.6123
E6_108	20.252796	9.94432	0.13425
E236_792	-20.411528	-12.8711605	0.99247
E49_231	6.7715025	4.2726355	0.28858
E696_161	15.803606	6.9478154	0.20075
E567_19	23.311264	10.428229	0.02258
E385_419	-4.1523395	4.7565775	0.52447
E595_764	-19.932837	-13.190222	0.95734
E528_649	-17.511936	-9.708027	0.81305
E380_714	-20.998693	-13.49085	0.8946
E836_16	23.41211	10.494081	0.01882
E514_189	5.168437	3.816101	0.23588
E721_292	6.231384	4.4510674	0.36512
E438_275	5.379483	5.060839	0.34379
E135_585	-13.261452	-7.967484	0.73275
E609_489	-7.165607	0.445508	0.6123
E81_6	24.540855	9.203879	0.00627
E452_230	3.454482	-3.1237695	0.28733
E44_687	-16.165081	-9.945378	0.86073
E581_331	6.1272926	4.0338073	0.41405
E230_595	-12.405738	-6.4671936	0.74529
E384_29	22.54368	9.339342	0.03513
E317_569	-4.0184064	-4.935621	0.71267
E782_438	-7.906679	-6.0685205	0.54831
E137_320	-1.4074471	5.49546	0.40025
E224_269	8.121235	4.6286554	0.33626
E622_252	5.1666584	4.897316	0.31493
E458_778	-20.1593	-13.620899	0.97491
E859_443	0.048233673	-6.2029405	0.55458
E365_296	-0.8127859	5.065266	0.37014
E484_62	21.31842	9.63331	0.07654
E72_754	-20.604822	-14.086474	0.94479
E271_156	15.268951	8.72101	0.19448
E600_739	-20.572622	-13.315514	0.92597
E211_510	-3.9098344	4.606923	0.63864
E889_235	0.45123315	5.2854	0.2936
E69_87	20.559198	10.971737	0.1079
E353_279	2.9395688	-2.6071286	0.34881
E128_93	19.957722	9.96559	0.11543
E351_110	20.705284	9.747721	0.13676
E146_201	5.4138355	5.188393	0.25094
E252_255	0.9959166	5.0245075	0.3187
E413_567	-11.067707	-6.605237	0.71016
E76_441	-3.4167829	-5.317261	0.55207
E763_314	5.0423746	5.839402	0.39272
E266_49	21.769218	9.751183	0.06023
E844_176	14.92814	7.570868	0.21957
E424_354	-3.4655569	4.62937	0.44291
E221_635	-6.757059	0.6303229	0.79548
E565_151	13.803252	6.72577	0.18821
E629_436	-0.10519273	-5.9415135	0.5458
E96_281	3.7431395	-2.2886968	0.35132
E826_685	-17.15458	-10.674482	0.85822
E367_525	-6.000644	1.6751689	0.65747
E666_692	-16.032064	-10.805473	0.867
E789_46	20.902542	10.57591	0.05646
E482_460	-6.5816636	0.9438332	0.57591
E374_705	-17.40733	-10.552114	0.88331
E10_459	-1.2965624	-5.267086	0.57465
E274_284	5.3763595	3.5616992	0.35508
E910_732	-20.82303	-12.466338	0.91719
E741_765	-21.655493	-11.855684	0.95859
E179_102	19.42534	9.176653	0.12673
E806_631	-10.078846	-6.72703	0.79046
E559_371	-2.042846	5.0459347	0.46424
E355_220	4.1661315	-2.616534	0.27478
E399_151	15.260661	7.346671	0.18821
E278_315	3.2394505	-3.6785934	0.39398
E74_198	13.329156	5.906113	0.24718
E916_316	-2.829066	6.3493795	0.39523
E633_247	7.0965996	4.5779514	0.30866
E678_647	-15.945564	-10.733027	0.81054
E339_653	-11.280006	-7.387084	0.81807
E109_246	5.9458866	5.019115	0.3074
E410_356	1.3885546	-5.660806	0.44542
E783_443	0.26962373	-5.1253266	0.55458
E312_301	1.7674739	4.946412	0.37641
E582_318	1.1562468	5.1424184	0.39774
E143_253	5.669151	4.160361	0.31619
E929_495	-4.8907557	4.177912	0.61982
E983_768	-20.185055	-13.948547	0.96236
E758_667	-19.421677	-12.140535	0.83563
E769_515	-2.7236288	-5.2478647	0.64492
E273_626	-12.582818	-6.950966	0.78419
E231_350	-2.0290117	5.6436334	0.43789
E680_680	-16.604921	-10.9817705	0.85194
E340_665	-17.08846	-10.305252	0.83312
E717_624	-4.3700504	-4.9286523	0.78168
E811_195	13.333681	6.3358326	0.24341
E796_718	-16.493786	-9.949469	0.89962
E350_359	3.8500109	-2.8888688	0.44918
E174_402	-0.29626453	-4.665109	0.50314
E93_511	-6.0857906	-3.8764653	0.6399
E305_492	-3.3902938	-5.092306	0.61606
E591_336	3.3337412	-3.3033583	0.42033
