SourceGENES,TargetGENES,Interaction,Edges
g1,g9,1,activation/repression
g10,g9,0.95466818103003,activation/repression
g3,g1,0.939051350545956,activation/repression
g2,g10,0.897725010439883,activation/repression
g3,g2,0.806835352266712,activation/repression
g2,g1,0.789131712832203,activation/repression
g2,g7,0.646792009759404,activation/repression
g2,g6,0.629838532313012,activation/repression
g2,g9,0.43149827144563,activation/repression
g3,g10,0.354185340094146,activation/repression
g10,g8,0.342612687141209,activation/repression
g1,g8,0.334620849390709,activation/repression
g1,g10,0.238946255307618,activation/repression
g2,g5,0.202581246976145,activation/repression
g1,g2,0.177935158381385,activation/repression
g5,g3,0.159850255757323,activation/repression
g2,g8,0.144324156550454,activation/repression
g6,g5,0.128049834458945,activation/repression
g6,g4,0.0884074076421694,activation/repression
g2,g4,0.0439983308697684,activation/repression
g5,g8,0.0133873566867002,activation/repression
g6,g9,7.6309216729752e-06,activation/repression
g9,g8,7.27184824153234e-36,activation/repression
g8,g6,4.91726843653169e-36,activation/repression
g4,g3,3.57800202919444e-36,activation/repression
g8,g7,3.5408495090225e-36,activation/repression
g7,g4,3.32085528936055e-36,activation/repression
g7,g5,2.99450391798459e-36,activation/repression
g8,g4,2.65535057573157e-36,activation/repression
g4,g5,2.14367933162925e-36,activation/repression
g9,g7,1.39443951861144e-36,activation/repression
g7,g6,3.63289680401744e-37,activation/repression
g1,g1,0,no regulation
g1,g3,0,no regulation
g1,g4,0,no regulation
g1,g5,0,no regulation
g1,g6,0,no regulation
g1,g7,0,no regulation
g10,g1,0,no regulation
g10,g10,0,no regulation
g10,g2,0,no regulation
g10,g3,0,no regulation
g10,g4,0,no regulation
g10,g5,0,no regulation
g10,g6,0,no regulation
g10,g7,0,no regulation
g2,g2,0,no regulation
g2,g3,0,no regulation
g3,g3,0,no regulation
g3,g4,0,no regulation
g3,g5,0,no regulation
g3,g6,0,no regulation
g3,g7,0,no regulation
g3,g8,0,no regulation
g3,g9,0,no regulation
g4,g1,0,no regulation
g4,g10,0,no regulation
g4,g2,0,no regulation
g4,g4,0,no regulation
g4,g6,0,no regulation
g4,g7,0,no regulation
g4,g8,0,no regulation
g4,g9,0,no regulation
g5,g1,0,no regulation
g5,g10,0,no regulation
g5,g2,0,no regulation
g5,g4,0,no regulation
g5,g5,0,no regulation
g5,g6,0,no regulation
g5,g7,0,no regulation
g5,g9,0,no regulation
g6,g1,0,no regulation
g6,g10,0,no regulation
g6,g2,0,no regulation
g6,g3,0,no regulation
g6,g6,0,no regulation
g6,g7,0,no regulation
g6,g8,0,no regulation
g7,g1,0,no regulation
g7,g10,0,no regulation
g7,g2,0,no regulation
g7,g3,0,no regulation
g7,g7,0,no regulation
g7,g8,0,no regulation
g7,g9,0,no regulation
g8,g1,0,no regulation
g8,g10,0,no regulation
g8,g2,0,no regulation
g8,g3,0,no regulation
g8,g5,0,no regulation
g8,g8,0,no regulation
g8,g9,0,no regulation
g9,g1,0,no regulation
g9,g10,0,no regulation
g9,g2,0,no regulation
g9,g3,0,no regulation
g9,g4,0,no regulation
g9,g5,0,no regulation
g9,g6,0,no regulation
g9,g9,0,no regulation
