TE	0	1	2	3	4	5	6	7	8	9
0	0	0.0068557964340123165	0.02289172135177278	0.015292224745138285	0.0450874175166969	0.07454059074578936	0.08578508414432601	0.1034433244623028	0.029284553320640297	0.0095055519692199
1	0.014727814836553669	0	0.024502804051559704	0.022585103039527453	0.007504883786685492	0.0171725456596598	0.021795096283380867	0.050707110117516455	0.025386605787201484	0.009945973420827198
2	0.03245675535624348	0.022650841409069256	0	0.01666618590279484	0.04725695263036256	0.05661446825319993	0.06687358932378586	0.08237265236337438	0.01624624155948062	0.014770590982642925
3	0.039676480512951307	0.025790647076815165	0.023803488730579945	0	0.04793350158418008	0.06017300066173272	0.06880962669907086	0.08015370715734323	0.015127816270986236	0.01673922639320233
4	0.019294144677723245	0.0037247574006411296	0.04676356931349264	0.02765697036864199	0	0.1333273153663236	0.10824494645278164	0.11337091145424583	0.05504038525363423	0.008518979574023275
5	0.033528395218828624	0.0028581277941499322	0.03243824237667346	0.019575250816065197	0.1369927350774377	0	0.07506373873326783	0.12830535570141458	0.03783493328222833	0.009304124428213309
6	0.01971384794507959	0.010416900555931587	0.01890198051900701	0.019965110361412443	0.08587229427002925	0.0991838029014958	0	0.13107247298492058	0.03540419135613725	0.020066516634421182
7	0.025852310639828204	0.015480873516772055	0.026145331012954146	0.017105548433883074	0.053705933173020554	0.10336994141123265	0.10105890731513409	0	0.0402974097760148	0.018765900045473582
8	0.01742895025207693	0.014286725813896613	0.027401962945267897	0.025586520054390962	0.05902563062226894	0.08931429328188138	0.11148929528569451	0.1325767569821975	0	0.02383686959515835
9	0.023437830488932755	0.020506025479041224	0.03117688057124924	0.02534405045119456	0.028404527361488494	0.03723707559133536	0.08273949992485377	0.1166645057603047	0.041207302026576374	0
