,PseudoTime1,PseudoTime2
E260_521,0.65365,NA
E866_591,NA,0.74181
E719_412,NA,0.51637
E861_409,0.51259,NA
E478_30,NA,0.03526
E63_759,0.9534,NA
E442_487,NA,0.61083
E447_17,0.01889,NA
E98_66,NA,0.0806
E277_162,0.20151,NA
E938_639,0.80227,NA
E181_179,0.22292,NA
E853_86,NA,0.10579
E311_428,0.53652,NA
E480_612,NA,0.76826
E593_760,0.95466,NA
E506_441,NA,0.5529
E373_361,0.45214,NA
E425_323,NA,0.40428
E347_436,0.5466,NA
E950_574,NA,0.7204
E61_267,0.33375,NA
E351_614,NA,0.77078
E576_122,0.15113,NA
E989_194,NA,0.24181
E51_510,NA,0.6398
E370_224,NA,0.2796
E625_661,0.82997,NA
E166_136,0.16877,NA
E671_702,NA,0.88161
E326_768,0.96474,NA
E862_274,NA,0.34257
E908_58,NA,0.07053
E454_324,NA,0.40554
E958_769,NA,0.96599
E932_397,NA,0.49748
E794_431,NA,0.5403
E323_14,NA,0.01511
E940_443,NA,0.55542
E289_387,0.48489,NA
E88_91,0.11209,NA
E301_170,0.21159,NA
E743_395,NA,0.49496
E449_736,NA,0.92443
E898_550,0.69018,NA
E339_397,0.49748,NA
E807_294,NA,0.36776
E867_689,0.86524,NA
E315_498,NA,0.62469
E724_657,0.82494,NA
E262_279,NA,0.34887
E967_293,0.3665,NA
E226_437,NA,0.54786
E803_69,0.08438,NA
E782_751,0.94332,NA
E261_71,NA,0.0869
E423_317,0.39673,NA
E292_606,0.76071,NA
E378_678,NA,0.85139
E33_231,0.28841,NA
E196_438,NA,0.54912
E994_165,0.20529,NA
E545_323,NA,0.40428
E658_478,0.5995,NA
E452_706,0.88665,NA
E413_646,NA,0.81108
E586_458,NA,0.57431
E525_792,0.99496,NA
E844_280,0.35013,NA
E431_643,0.8073,NA
E430_455,0.57053,NA
E752_770,0.96725,NA
E820_193,NA,0.24055
E398_520,0.65239,NA
E469_523,0.65617,NA
E252_667,0.83753,NA
E380_774,NA,0.97229
E698_699,0.87783,NA
E691_15,NA,0.01637
E776_244,0.30479,NA
E13_37,0.04408,NA
E633_209,0.26071,NA
E77_694,0.87154,NA
E523_265,NA,0.33123
E690_789,NA,0.99118
E973_549,NA,0.68892
E439_674,0.84635,NA
E274_362,NA,0.4534
E483_434,NA,0.54408
E540_514,NA,0.64484
E281_427,0.53526,NA
E569_419,NA,0.52519
E899_185,0.23048,NA
E453_225,0.28086,NA
E714_402,0.50378,NA
E747_69,NA,0.08438
E96_773,0.97103,NA
E304_101,NA,0.12469
E953_521,0.65365,NA
E762_461,0.57809,NA
E703_711,NA,0.89295
E1_771,NA,0.96851
E755_113,NA,0.1398
E865_794,NA,0.99748
E902_472,0.59194,NA
E27_590,NA,0.74055
E322_553,0.69395,NA
E948_403,NA,0.50504
E0_590,NA,0.74055
E928_685,NA,0.8602
E628_769,NA,0.96599
E972_693,NA,0.87028
E429_209,0.26071,NA
E239_301,0.37657,NA
E851_311,NA,0.38917
E561_540,0.67758,NA
E81_294,NA,0.36776
E510_643,NA,0.8073
E438_728,NA,0.91436
E160_341,0.42695,NA
E530_381,NA,0.47733
E874_16,0.01763,NA
E618_306,0.38287,NA
