,g1,g10,g2,g3,g4,g5,g6,g7,g8,g9
g1,0.0,0.4717161436945895,0.32360443195240723,0.06077980359440068,0.039676566284606495,0.036193809531434605,0.05035518974787554,0.044693361458546785,0.09617790196138234,0.21865930098313915
g10,0.4613553767630695,0.0,0.186236393819712,0.061626562804598724,0.057333526788967776,0.05153432681208839,0.06349062567873837,0.05124260047283836,0.15097348231318838,0.30812144163127625
g2,0.13093055956807176,0.12844902708310035,0.0,0.2488345837240462,0.02242459952314222,0.01982191180093324,0.025640397665925005,0.03764500655646161,0.036300012049701125,0.049692551961922654
g3,0.014602892329211898,0.008307056046192252,0.16488975526488728,0.0,0.0766908559282718,0.08054200277635819,0.0451802592066789,0.06203226901730667,0.03633719191425557,0.013433400120089435
g4,0.029311365391376763,0.02561048548770709,0.041656851849892165,0.1317442170126226,0.0,0.15742123588451423,0.3148903656130937,0.21307073923130337,0.05910674829204722,0.06313340771048961
g5,0.025475887869626665,0.017687899568454707,0.04219424838086152,0.12629019917692624,0.14980606114454495,0.0,0.21664322282494755,0.3506529339074692,0.052272614923333856,0.06783940799302642
g6,0.031133258165757304,0.02888493919735996,0.043355722398518405,0.0813298677507432,0.2900001710743286,0.12175434162560132,0.0,0.07547533852821424,0.07690782499864784,0.024282766330118156
g7,0.022664615447197882,0.020799471891683664,0.05456406407533288,0.092823553535086,0.13943225896868594,0.30685047310121066,0.08683747851329182,0.0,0.0684273009056857,0.019389049959951245
g8,0.06344270812333629,0.07057637322435281,0.04529645624630768,0.11310586486702343,0.07441000385555978,0.08110406628012182,0.14084549364122978,0.11385810660146364,0.0,0.2346223430299115
g9,0.21976224463038932,0.22728905651176712,0.09784715447715182,0.08267721355688322,0.1493531586242919,0.14209759255053675,0.0548334840768867,0.047741830893804384,0.42269892865175596,0.0
