,cl
E0,1
E1,1
E2,1
E3,1
E4,0
E5,0
E6,1
E7,1
E8,0
E9,0
E10,0
E11,1
E12,1
E13,1
E14,1
E15,1
E16,1
E17,1
E18,1
E19,0
E20,0
E21,1
E22,1
E23,1
E24,0
E25,1
E26,1
E27,1
E28,1
E29,0
E30,0
E31,0
E32,1
E33,1
E34,1
E35,0
E36,0
E37,1
E38,0
E39,1
E40,0
E41,0
E42,1
E43,1
E44,1
E45,0
E46,1
E47,1
E48,0
E49,1
E50,0
E51,1
E52,1
E53,1
E54,0
E55,0
E56,0
E57,1
E58,1
E59,1
E60,0
E61,0
E62,1
E63,1
E64,0
E65,1
E66,1
E67,1
E68,0
E69,0
E70,1
E71,0
E72,1
E73,0
E74,1
E75,0
E76,1
E77,1
E78,0
E79,0
E80,1
E81,0
E82,1
E83,0
E84,0
E85,1
E86,1
E87,0
E88,0
E89,1
E90,1
E91,1
E92,1
E93,1
E94,0
E95,1
E96,1
E97,1
E98,0
E99,0
E100,1
E101,0
E102,0
E103,1
E104,1
E105,0
E106,0
E107,1
E108,0
E109,1
E110,1
E111,0
E112,1
E113,0
E114,1
E115,1
E116,1
E117,0
E118,1
E119,1
E120,0
E121,0
E122,1
E123,0
E124,0
E125,0
E126,1
E127,0
E128,1
E129,1
E130,0
E131,0
E132,0
E133,1
E134,0
E135,1
E136,1
E137,0
E138,1
E139,0
E140,0
E141,1
E142,0
E143,1
E144,1
E145,0
E146,0
E147,1
E148,1
E149,1
E150,1
E151,1
E152,1
E153,0
E154,0
E155,1
E156,0
E157,0
E158,1
E159,1
E160,1
E161,1
E162,1
E163,1
E164,1
E165,1
E166,0
E167,1
E168,0
E169,0
E170,0
E171,1
E172,0
E173,0
E174,0
E175,1
E176,1
E177,1
E178,1
E179,0
E180,0
E181,0
E182,1
E183,0
E184,1
E185,1
E186,0
E187,0
E188,1
E189,1
E190,0
E191,1
E192,0
E193,0
E194,1
E195,1
E196,1
E197,1
E198,0
E199,1
E200,0
E201,1
E202,0
E203,0
E204,1
E205,1
E206,0
E207,1
E208,0
E209,0
E210,0
E211,1
E212,1
E213,1
E214,0
E215,0
E216,1
E217,1
E218,1
E219,0
E220,1
E221,0
E222,1
E223,0
E224,1
E225,0
E226,1
E227,0
E228,1
E229,1
E230,1
E231,0
E232,0
E233,0
E234,1
E235,0
E236,1
E237,0
E238,0
E239,1
E240,1
E241,1
E242,1
E243,0
E244,1
E245,1
E246,0
E247,0
E248,0
E249,1
E250,0
E251,0
E252,0
E253,1
E254,1
E255,1
E256,0
E257,1
E258,0
E259,1
E260,1
E261,0
E262,1
E263,0
E264,1
E265,1
E266,0
E267,0
