	dim1	dim2	pt
E949_585	8.928533	-11.314801	0.58576
E6_167	-14.35342	-5.1266246	0.1665
E400_287	-8.084264	-1.3448596	0.28686
E211_688	7.9601083	16.847887	0.68907
E281_378	-3.7752554	4.216783	0.37813
E909_825	13.906103	-12.352567	0.82648
E86_949	10.714642	18.513807	0.95085
E881_958	14.900459	-11.92463	0.95988
E14_931	9.336043	19.46691	0.9328
E615_461	3.7089567	-8.412978	0.46138
E869_445	1.7869709	-7.0310464	0.44534
E632_643	10.293972	-11.176858	0.64393
E906_619	1.2601198	12.812853	0.61986
E942_980	7.5622764	16.329855	0.98195
E646_744	4.5488186	13.811474	0.74524
E710_174	-9.798605	-2.4156644	0.17352
E469_664	5.554479	-9.160042	0.66499
E628_370	-2.5330446	-4.96262	0.37011
E76_756	5.3175073	14.10884	0.75727
E549_502	-0.120624565	10.191148	0.50251
E362_604	7.3396497	-10.232988	0.60481
E253_586	2.4457827	12.710942	0.58676
E637_558	-0.80948305	9.479628	0.55868
E492_535	-6.6598973	-0.47040528	0.53561
E450_549	0.77879566	11.124844	0.54965
E121_407	-1.1370614	-5.1952276	0.40722
E582_787	7.553535	15.723626	0.78837
E587_24	-19.577349	-5.466722	0.02307
E755_865	10.859849	18.501303	0.8666
E98_5	-20.42782	-7.1528893	0.00401
E112_925	8.7576885	17.59801	0.92678
E555_34	-17.156912	-6.213119	0.0331
E884_456	-1.511496	6.764367	0.45637
E671_234	-8.411952	-0.7938712	0.2337
E65_497	-0.9257142	9.793036	0.49749
E380_768	5.7402444	15.322624	0.76931
E679_844	9.58395	-10.861459	0.84554
E533_247	-7.918893	-1.1981473	0.24674
E913_659	7.711166	-10.387072	0.65998
E134_519	6.3253503	-9.928865	0.51956
E644_367	-5.13543	-0.4967671	0.3671
E899_59	-20.577595	-6.486483	0.05817
E108_289	-4.0001383	-3.4510236	0.28887
E649_599	-0.5802515	9.73282	0.5998
E507_728	3.81526	13.063165	0.72919
E873_73	-18.88772	-4.947892	0.07222
E588_338	-3.1754887	4.815897	0.33801
E132_950	15.023157	-13.482959	0.95186
E855_520	3.4153655	-9.054075	0.52056
E451_832	7.5766053	15.998693	0.8335
E350_675	6.7294865	-9.438726	0.67603
E816_146	-15.007153	-5.1791706	0.14544
E595_613	4.669393	-8.515228	0.61384
E312_973	10.142753	18.570404	0.97492
E840_870	15.184632	-12.93791	0.87161
E149_642	1.007999	11.6054	0.64293
E721_102	-13.788568	-4.648233	0.1013
E145_959	15.810385	-12.515469	0.96088
E894_470	-1.7231315	-4.434805	0.47041
E952_618	-0.5787845	9.391158	0.61886
E638_617	0.61859	11.269797	0.61785
E52_574	1.8800881	13.066787	0.57472
E764_612	2.1534936	11.916962	0.61284
E662_875	8.782526	17.844416	0.87663
E985_832	11.830585	-11.993475	0.8335
E730_395	-3.5126162	4.7304773	0.39519
E427_872	7.7815948	16.338894	0.87362
E842_733	6.5912523	-10.258163	0.7342
E605_363	-4.216083	-3.9711509	0.36309
E661_169	-14.578824	-3.773588	0.16851
E274_532	4.229383	-7.290861	0.5326
E60_367	-2.664352	-4.583739	0.3671
E965_69	-17.939629	-4.791486	0.0682
E440_919	14.31232	-13.223821	0.92076
E747_204	-8.152708	-0.92532814	0.20361
E508_257	-7.9241323	-0.06481531	0.25677
E716_353	-4.6569657	2.0451634	0.35306
E158_730	5.7361827	15.365829	0.73119
E328_217	-14.615713	-4.1703944	0.21665
E223_917	15.153558	-12.759236	0.91876
E975_70	-18.099768	-6.445581	0.06921
E452_256	-6.7976775	-1.8374152	0.25577
E827_971	9.948612	18.888088	0.97292
E331_454	-2.8954728	8.112633	0.45436
E660_37	-18.74303	-5.4412236	0.03611
E863_349	-1.9266741	-4.2680397	0.34905
E650_567	7.036457	-9.882435	0.5677
E122_416	-3.4429898	3.6004028	0.41625
E645_695	-0.28869876	10.50154	0.69609
E12_201	-9.365728	-1.0074873	0.2006
E395_583	1.7915925	11.402937	0.58375
E967_510	-1.1087358	-5.237992	0.51053
E744_363	-4.2201467	-3.5465207	0.36309
E465_78	-17.81568	-4.8171926	0.07723
E955_597	4.819382	14.585428	0.59779
E674_518	-3.4699802	6.2103643	0.51856
E859_54	-19.002653	-5.6291733	0.05316
E565_876	6.8621354	16.043266	0.87763
E900_475	1.8388302	-6.7375536	0.47543
E167_586	-0.23463337	10.2304325	0.58676
E878_130	-14.756577	-2.8265412	0.12939
E144_756	9.534635	18.364658	0.75727
E786_177	-13.792757	-4.6004477	0.17653
E961_770	6.935588	-10.191815	0.77131
E475_878	9.641927	17.827484	0.87964
E234_834	8.286612	16.591824	0.83551
E135_528	1.1017433	-6.0841827	0.52859
E91_1	-20.637354	-7.0853114	0.0
E201_841	9.871158	19.562143	0.84253
E49_887	9.440812	19.130566	0.88867
E232_243	-7.5753145	-1.1626734	0.24273
E571_14	-20.215845	-5.8495193	0.01304
E956_461	-0.31994227	10.167429	0.46138
E860_453	-3.1925817	4.8964834	0.45336
E907_199	-13.066771	-3.568883	0.1986
E20_436	3.2909184	-8.89537	0.43631
E504_480	2.9470606	-9.660176	0.48044
E803_932	14.1817665	-13.466375	0.9338
E651_948	10.093598	18.687588	0.94985
E271_338	-4.729221	-1.9348003	0.33801
E763_272	-6.856555	-1.8220527	0.27182
E564_774	11.79676	-11.760021	0.77533
E987_835	7.8481445	17.106562	0.83651
E629_59	-18.088324	-5.146854	0.05817
E724_994	11.384603	-11.891281	0.99599
E266_720	11.533745	-11.755778	0.72116
E655_868	14.926218	-12.015411	0.86961
E770_917	11.096787	18.935774	0.91876
E570_649	4.158699	-8.765387	0.64995
E810_895	10.740401	18.826435	0.89669
E937_310	-4.7641134	-2.6526618	0.30993
E479_52	-18.554123	-5.8327117	0.05115
E303_830	5.9235473	15.359085	0.83149
E398_248	-11.967195	-3.2548673	0.24774
E928_285	-7.570213	-0.6891539	0.28485
E247_945	15.812176	-12.227979	0.94684
E155_87	-16.636639	-4.988891	0.08626
E275_377	-3.4134173	5.2736	0.37713
E968_858	14.902091	-12.558995	0.85958
E215_49	-19.342152	-6.439111	0.04814
E127_188	-13.730411	-3.7433033	0.18756
E84_713	7.5501623	-9.658175	0.71414
E875_642	7.974793	16.319473	0.64293
E787_809	9.336926	18.628044	0.81043
E143_281	-7.2458305	-1.4187102	0.28084
E72_234	-7.961278	-0.59320414	0.2337
E314_220	-9.088771	-0.46330968	0.21966
E576_89	-18.16326	-4.4816394	0.08826
E611_743	6.0684185	-9.407088	0.74423
E754_927	15.147063	-12.198005	0.92879
E705_689	6.1079736	-10.231904	0.69007
E477_406	-1.6990232	-4.640539	0.40622
E200_388	-3.2856627	-3.8268547	0.38816
E7_556	-0.63791955	9.244593	0.55667
E947_242	-8.827694	-1.5200647	0.24173
E953_638	1.4326016	11.647698	0.63892
E103_142	-17.297506	-6.4077077	0.14142
E572_800	9.153039	-10.9925585	0.8014
E154_544	3.8148854	-9.208187	0.54463
E591_881	10.286636	18.87447	0.88265
E531_606	6.8232408	-9.75216	0.60682
E912_577	1.476487	12.654263	0.57773
E254_421	-4.1743093	5.6433864	0.42126
E807_462	0.40019715	10.212607	0.46239
E0_273	-9.041155	-1.2067573	0.27282
E871_561	-0.076893516	10.772505	0.56169
E416_174	-13.563386	-2.8211985	0.17352
E493_386	-4.997563	2.9225388	0.38616
E762_538	4.0889487	-8.805369	0.53862
E718_12	-20.204882	-6.637672	0.01103
E865_618	4.715774	-8.872397	0.61886
E681_958	15.016984	-12.897223	0.95988
E352_953	10.657535	18.960342	0.95486
E529_341	-7.384022	-1.87165	0.34102
E879_272	-3.6677296	-3.51133	0.27182
E429_743	9.484417	17.48016	0.74423
E713_649	6.4481244	14.957405	0.64995
E521_239	-8.749972	-1.5349605	0.23872
E210_779	5.3014655	-9.576013	0.78034
E239_506	-1.3564658	6.9624906	0.50652
E22_848	10.469881	19.200953	0.84955
E34_943	10.692644	18.85733	0.94483
E627_424	-3.3945208	6.924934	0.42427
E43_19	-19.836742	-6.1086245	0.01805
E691_659	4.8144126	14.5404005	0.65998
E156_688	7.126097	-9.808972	0.68907
E560_973	10.030437	19.749012	0.97492
E857_635	4.152921	-7.9662194	0.63591
E586_600	2.1764407	13.02371	0.6008
E184_951	9.586773	19.058798	0.95286
E634_547	5.9929304	-9.403992	0.54764
E809_182	-13.760661	-4.3185525	0.18154
E921_902	14.884632	-11.850324	0.90371
E185_569	4.031775	14.004388	0.56971
E784_6	-20.40644	-6.9084873	0.00502
E696_442	2.0919936	-6.928406	0.44233
E672_34	-17.92933	-5.567776	0.0331
E815_14	-20.184351	-6.2294927	0.01304
E485_901	10.321378	19.374624	0.90271
E460_149	-13.169877	-4.467948	0.14845
E329_813	11.23609	-11.670651	0.81444
E584_554	6.465022	-9.014411	0.55466
E916_196	-8.371264	-1.480654	0.19559
E222_503	-1.2410839	8.316222	0.50351
E204_481	-0.06706415	9.984662	0.48144
E613_357	-4.33482	4.084434	0.35707
E893_211	-8.966881	-1.219855	0.21063
E372_556	4.672304	-8.569986	0.55667
E332_199	-9.1774235	-0.49207488	0.1986
E510_439	2.1962693	-7.2498	0.43932
E633_163	-14.041167	-3.5514536	0.16249
E444_630	5.961775	-9.744774	0.63089
E319_806	6.4347095	15.718615	0.80742
E419_154	-13.652528	-2.8188138	0.15346
E410_658	4.781846	14.385055	0.65898
E434_86	-17.887123	-6.688101	0.08526
E771_287	-7.748636	-1.0893316	0.28686
E392_311	-4.671596	3.1548443	0.31093
E367_337	-4.5686255	3.19394	0.33701
E502_922	9.5236635	19.717155	0.92377
E503_121	-15.34366	-4.6796594	0.12036
E365_41	-18.812397	-6.5563693	0.04012
E851_813	14.708098	-12.189567	0.81444
E285_122	-13.382217	-4.0029335	0.12136
E480_61	-19.146965	-6.5569005	0.06018
E287_596	0.39933506	10.195543	0.59679
E449_288	-6.898948	-1.7247862	0.28786
E355_437	-4.1883907	5.2155724	0.43731
E652_828	6.461244	16.083742	0.82949
E790_971	10.8977585	19.379951	0.97292
E47_205	-9.509895	-0.44329944	0.20461
E667_800	11.841661	-11.205097	0.8014
E238_372	-3.3384898	-4.728769	0.37212
E976_761	8.066264	-10.559529	0.76229
E933_637	1.5749241	13.051163	0.63791
E36_138	-14.319037	-3.8119361	0.13741
E457_724	8.695205	17.906916	0.72518
E641_330	-3.4482245	-4.0025697	0.32999
E929_660	4.3075314	14.168803	0.66098
E797_510	0.53877777	10.530559	0.51053
E313_78	-18.35357	-5.6049495	0.07723
E220_641	5.7414145	15.781876	0.64193
E537_650	5.7973633	-9.285784	0.65095
