SourceGENES,TargetGENES,Interaction,Edges
g2,g1,1,activation/repression
g5,g3,0.352726215861197,activation/repression
g2,g6,0.288848670984456,activation/repression
g2,g8,0.248852392800239,activation/repression
g3,g2,0.210566502678152,activation/repression
g3,g1,0.112183351896262,activation/repression
g2,g5,0.10538037922903,activation/repression
g2,g7,0.0525571313277702,activation/repression
g9,g4,6.03448627880776e-37,activation/repression
g1,g3,5.74683636622144e-37,activation/repression
g1,g5,5.52413890156309e-37,activation/repression
g7,g9,5.37936610669254e-37,activation/repression
g1,g6,5.16377542832445e-37,activation/repression
g7,g6,5.11387622738874e-37,activation/repression
g8,g6,4.55152351930663e-37,activation/repression
g4,g3,4.27809118538103e-37,activation/repression
g7,g8,4.16557882028723e-37,activation/repression
g9,g5,4.01632215337508e-37,activation/repression
g1,g4,3.82472335523294e-37,activation/repression
g6,g4,3.28607782860995e-37,activation/repression
g6,g9,2.46973562921519e-37,activation/repression
g1,g9,2.39698174068877e-37,activation/repression
g8,g9,2.28437883818226e-37,activation/repression
g9,g8,2.08820816776993e-37,activation/repression
g6,g5,1.51240624721112e-37,activation/repression
g1,g2,1.05411781551067e-37,activation/repression
g8,g7,9.90176034851356e-38,activation/repression
g1,g1,0,no regulation
g1,g7,0,no regulation
g1,g8,0,no regulation
g2,g2,0,no regulation
g2,g3,0,no regulation
g2,g4,0,no regulation
g2,g9,0,no regulation
g3,g3,0,no regulation
g3,g4,0,no regulation
g3,g5,0,no regulation
g3,g6,0,no regulation
g3,g7,0,no regulation
g3,g8,0,no regulation
g3,g9,0,no regulation
g4,g1,0,no regulation
g4,g2,0,no regulation
g4,g4,0,no regulation
g4,g5,0,no regulation
g4,g6,0,no regulation
g4,g7,0,no regulation
g4,g8,0,no regulation
g4,g9,0,no regulation
g5,g1,0,no regulation
g5,g2,0,no regulation
g5,g4,0,no regulation
g5,g5,0,no regulation
g5,g6,0,no regulation
g5,g7,0,no regulation
g5,g8,0,no regulation
g5,g9,0,no regulation
g6,g1,0,no regulation
g6,g2,0,no regulation
g6,g3,0,no regulation
g6,g6,0,no regulation
g6,g7,0,no regulation
g6,g8,0,no regulation
g7,g1,0,no regulation
g7,g2,0,no regulation
g7,g3,0,no regulation
g7,g4,0,no regulation
g7,g5,0,no regulation
g7,g7,0,no regulation
g8,g1,0,no regulation
g8,g2,0,no regulation
g8,g3,0,no regulation
g8,g4,0,no regulation
g8,g5,0,no regulation
g8,g8,0,no regulation
g9,g1,0,no regulation
g9,g2,0,no regulation
g9,g3,0,no regulation
g9,g6,0,no regulation
g9,g7,0,no regulation
g9,g9,0,no regulation
