,PseudoTime1,PseudoTime2
E862_290,NA,0.28873
E653_49,0.04628,NA
E307_730,NA,0.73139
E293_879,NA,0.88129
E361_838,NA,0.84004
E227_313,0.31187,NA
E518_22,0.01911,NA
E598_323,NA,0.32193
E833_642,0.64286,NA
E60_961,0.96378,NA
E922_741,0.74245,NA
E474_212,NA,0.21026
E482_829,0.83099,NA
E602_853,NA,0.85513
E43_760,NA,0.76157
E877_976,0.97887,NA
E248_665,0.666,NA
E734_709,NA,0.71026
E817_530,0.53018,NA
E929_879,NA,0.88129
E998_475,NA,0.47485
E71_618,0.61871,NA
E783_840,NA,0.84205
E205_639,NA,0.63984
E954_457,NA,0.45674
E859_988,0.99095,NA
E566_184,NA,0.18209
E569_388,0.38732,NA
E332_220,0.21831,NA
E212_663,NA,0.66398
E115_672,NA,0.67304
E299_173,0.17103,NA
E806_441,0.44064,NA
E296_648,NA,0.64889
E562_544,NA,0.54427
E187_20,0.0171,NA
E836_584,0.58451,NA
E444_935,0.93763,NA
E761_478,NA,0.47787
E981_246,NA,0.24447
E957_703,0.70423,NA
E15_217,NA,0.21529
E692_65,NA,0.06237
E154_289,0.28773,NA
E780_420,NA,0.41952
E471_749,NA,0.7505
E133_479,NA,0.47887
E30_532,0.53219,NA
E888_216,NA,0.21429
E454_327,0.32596,NA
E153_501,0.50101,NA
E645_78,NA,0.07545
E186_690,0.69115,NA
E453_65,NA,0.06237
E381_155,NA,0.15292
E872_166,NA,0.16398
E193_3,0.0,NA
E591_789,NA,0.79074
E818_36,NA,0.0332
E254_577,NA,0.57746
E131_991,0.99396,NA
E997_547,NA,0.54728
E478_577,0.57746,NA
E283_983,NA,0.98592
E764_930,NA,0.9326
E989_204,NA,0.20221
E118_714,NA,0.71529
E405_310,NA,0.30885
E646_375,NA,0.37425
E240_662,NA,0.66298
E447_975,NA,0.97787
E423_858,NA,0.86016
E496_447,0.44668,NA
E607_897,0.8994,NA
E768_925,0.92757,NA
E856_792,NA,0.79376
E875_16,NA,0.01308
E823_374,NA,0.37324
E428_646,0.64688,NA
E894_60,0.05734,NA
E446_639,0.63984,NA
E445_546,0.54628,NA
E42_323,NA,0.32193
E559_939,NA,0.94165
E796_555,NA,0.55533
E715_217,NA,0.21529
E613_374,NA,0.37324
E536_844,0.84608,NA
E917_130,0.12777,NA
E147_400,NA,0.3994
E526_882,0.88431,NA
E116_753,NA,0.75453
E389_443,0.44266,NA
E511_542,NA,0.54225
E737_664,0.66499,NA
E662_207,NA,0.20523
E691_513,NA,0.51308
E979_284,NA,0.2827
E364_824,NA,0.82596
E515_814,NA,0.8159
E338_261,NA,0.25956
E808_269,NA,0.26761
E190_720,0.72133,NA
E315_410,0.40946,NA
E462_36,NA,0.0332
E714_146,NA,0.14386
E424_641,0.64185,NA
E398_584,NA,0.58451
E950_505,NA,0.50503
E666_127,NA,0.12475
E353_835,NA,0.83702
E832_434,0.4336,NA
E712_492,0.49195,NA
E455_314,NA,0.31288
E436_349,0.34809,NA
E775_278,0.27666,NA
E604_540,0.54024,NA
E708_410,NA,0.40946
E970_290,0.28873,NA
E247_52,0.0493,NA
E837_128,0.12575,NA
E799_562,NA,0.56237
E223_537,0.53722,NA
E376_385,NA,0.38431
E959_791,NA,0.79276
E237_500,0.5,NA
E623_587,NA,0.58753
E468_387,0.38632,NA
E249_600,NA,0.6006
E355_687,NA,0.68813
E425_240,0.23843,NA
E487_771,NA,0.77264
E347_342,0.34105,NA
E535_735,NA,0.73642
E322_978,NA,0.98089
E510_313,0.31187,NA
E961_649,0.6499,NA
E421_736,0.73742,NA
E864_489,0.48893,NA
E790_915,NA,0.91751
E735_974,NA,0.97686
E373_374,NA,0.37324
E757_495,0.49497,NA
E341_341,NA,0.34004
E557_889,0.89135,NA
E840_265,0.26358,NA
E46_818,NA,0.81992
E396_438,0.43763,NA
E834_710,NA,0.71127
E466_347,NA,0.34608
E352_156,NA,0.15392
E100_595,NA,0.59557
E152_96,NA,0.09356
E461_872,0.87425,NA
E986_245,NA,0.24346
E224_868,NA,0.87022
E50_766,0.76761,NA
E429_260,NA,0.25855
E417_961,NA,0.96378
E388_14,0.01107,NA
E885_329,NA,0.32797
E940_929,0.93159,NA
E87_903,0.90543,NA
E88_372,0.37123,NA
E391_46,0.04326,NA
E639_39,NA,0.03622
E475_226,NA,0.22435
E677_234,NA,0.23239
E918_102,NA,0.0996
E926_305,0.30382,NA
E229_213,NA,0.21127
E378_744,NA,0.74547
E882_476,NA,0.47586
E385_250,0.24849,NA
E661_686,0.68712,NA
E129_447,NA,0.44668
E756_541,NA,0.54125
E688_936,NA,0.93863
E570_190,0.18813,NA
E415_797,NA,0.79879
E264_971,NA,0.97384
E456_950,0.95272,NA
E261_884,0.88632,NA
E674_739,NA,0.74044
E937_248,0.24648,NA
E4_856,0.85815,NA
E489_686,0.68712,NA
E79_296,0.29477,NA
E643_656,NA,0.65694
E310_600,NA,0.6006
E848_376,NA,0.37525
E59_609,NA,0.60966
E370_967,0.96982,NA
E20_652,0.65292,NA
E301_640,NA,0.64085
E175_388,NA,0.38732
E696_222,0.22032,NA
E104_424,NA,0.42354
E810_951,NA,0.95372
E202_558,0.55835,NA
E784_753,NA,0.75453
E377_939,NA,0.94165
E382_633,NA,0.6338
E246_393,0.39235,NA
E304_47,NA,0.04427
E519_682,NA,0.6831
E465_254,NA,0.25252
E494_872,0.87425,NA
E880_432,0.43159,NA
E610_104,0.10161,NA
E17_925,NA,0.92757
E245_214,NA,0.21227
E916_284,0.2827,NA
E250_481,0.48089,NA
E136_951,NA,0.95372
E973_79,NA,0.07646
E968_532,0.53219,NA
E432_448,0.44769,NA
E788_795,NA,0.79678
E148_709,NA,0.71026
E887_504,0.50402,NA
E771_275,NA,0.27364
E897_655,NA,0.65594
E703_543,0.54326,NA
E811_997,1.0,NA
E685_647,NA,0.64789
E776_121,0.11871,NA
E77_170,NA,0.16801
E991_124,NA,0.12173
E782_307,0.30584,NA
E987_116,NA,0.11368
E915_84,0.08149,NA
E95_653,NA,0.65392
E291_179,0.17706,NA
E111_320,0.31891,NA
E794_413,NA,0.41247
E969_625,0.62575,NA
E657_729,0.73038,NA
E75_644,0.64487,NA
E219_377,0.37626,NA
E551_345,0.34406,NA
E866_803,NA,0.80483
E252_804,0.80584,NA
E420_488,0.48793,NA
E963_607,NA,0.60765
E501_414,NA,0.41348
E984_26,0.02314,NA
E671_68,NA,0.06539
E344_314,NA,0.31288
E327_465,NA,0.46479
E298_718,0.71932,NA
E593_689,NA,0.69014
E218_719,NA,0.72032
E698_419,0.41851,NA
E996_957,NA,0.95976
E393_74,0.07143,NA
E73_265,0.26358,NA
E356_784,NA,0.78571
E900_368,0.3672,NA
E914_331,NA,0.32998
E992_431,NA,0.43058
E684_872,NA,0.87425
E486_787,NA,0.78873
E550_389,NA,0.38833
E577_700,0.70121,NA
E576_772,0.77364,NA
E163_974,NA,0.97686
E622_230,NA,0.22837
E522_495,0.49497,NA
E257_856,NA,0.85815
E802_839,NA,0.84105
E188_208,NA,0.20624
E178_904,NA,0.90644
E180_511,0.51107,NA
E599_833,0.83501,NA
E835_587,NA,0.58753
E221_985,0.98793,NA
E583_996,NA,0.99899
E868_151,0.14889,NA
E112_564,NA,0.56439
E74_271,NA,0.26962
E521_403,0.40241,NA
E722_13,NA,0.01006
E251_47,0.04427,NA
E69_325,0.32394,NA
E531_596,0.59658,NA
E564_189,0.18712,NA
E600_262,0.26056,NA
E81_933,0.93561,NA
E0_139,NA,0.13682
E579_590,NA,0.59054
E76_547,NA,0.54728
E904_33,0.03018,NA
E546_833,NA,0.83501
