SourceGENES,TargetGENES,Interaction,Edges
g1,g5,1,activation/repression
g3,g2,0.194692847575406,activation/repression
g6,g1,0.138812479004055,activation/repression
g3,g6,0.129654801849407,activation/repression
g4,g3,0.0986453197955582,activation/repression
g4,g2,0.0639860257216344,activation/repression
g6,g2,0.055994827495763,activation/repression
g4,g6,0.0486785511801666,activation/repression
g2,g1,0.0055225690104377,activation/repression
g2,g6,0.00236010550050035,activation/repression
g5,g4,2.68872962844201e-37,activation/repression
g5,g3,1.01842585016932e-37,activation/repression
g1,g1,0,no regulation
g1,g2,0,no regulation
g1,g3,0,no regulation
g1,g4,0,no regulation
g1,g6,0,no regulation
g2,g2,0,no regulation
g2,g3,0,no regulation
g2,g4,0,no regulation
g2,g5,0,no regulation
g3,g1,0,no regulation
g3,g3,0,no regulation
g3,g4,0,no regulation
g3,g5,0,no regulation
g4,g1,0,no regulation
g4,g4,0,no regulation
g4,g5,0,no regulation
g5,g1,0,no regulation
g5,g2,0,no regulation
g5,g5,0,no regulation
g5,g6,0,no regulation
g6,g3,0,no regulation
g6,g4,0,no regulation
g6,g5,0,no regulation
g6,g6,0,no regulation
