	dim1	dim2	pt
E846_441	10.003859	-6.3197474	0.5534591194968553
E787_498	14.38649	0.42715457	0.6251572327044025
E702_115	-10.040202	-0.2644797	0.1433962264150943
E517_789	-10.34804	7.68189	0.9911949685534592
E440_783	-10.02309	8.244978	0.9836477987421384
E145_765	-9.703767	7.039053	0.961006289308176
E642_251	11.43442	-7.382976	0.3144654088050314
E292_510	13.776182	-1.4204824	0.640251572327044
E773_607	-10.683226	4.527386	0.7622641509433963
E304_230	-8.338165	-9.185419	0.2880503144654088
E462_578	5.3057065	9.160064	0.7257861635220125
E442_542	12.287486	5.7252545	0.680503144654088
E114_711	3.012797	8.928584	0.8930817610062893
E68_429	12.320562	-4.278588	0.5383647798742138
E101_722	-10.653403	5.4855323	0.9069182389937108
E340_235	-2.2011437	-12.299872	0.2943396226415094
E757_256	-0.70700246	-11.320984	0.320754716981132
E373_420	9.111781	-8.547223	0.5270440251572327
E967_780	3.2141445	9.520905	0.979874213836478
E113_85	-9.389273	-0.5358758	0.1056603773584905
E126_593	1.4368311	9.268675	0.7446540880503144
E749_220	-8.731567	-8.24006	0.2754716981132075
E579_82	-11.764571	0.6734382	0.1018867924528302
E358_547	2.6920135	8.872266	0.6867924528301886
E81_629	0.621152	9.337526	0.789937106918239
E161_361	-1.7866623	-12.037255	0.4528301886792453
E875_786	5.4234705	8.91415	0.9874213836477987
E356_414	13.2575865	-4.4007134	0.519496855345912
E805_574	10.16796	5.282758	0.720754716981132
E59_565	11.9258585	4.0404377	0.7094339622641509
E403_553	12.235815	-4.3553867	0.6943396226415094
E806_419	-1.6538506	-12.872751	0.5257861635220126
E564_778	5.413403	8.582805	0.9773584905660376
E493_791	-10.243044	8.43362	0.9937106918238994
E154_687	-7.6199193	8.231456	0.8628930817610063
E259_673	-1.9238713	10.593632	0.8452830188679246
E701_777	-9.972736	8.572456	0.9761006289308176
E532_314	14.366878	-1.9013617	0.3937106918238994
E645_490	9.44037	-7.203701	0.6150943396226415
E727_326	10.014504	-8.120403	0.4088050314465409
E803_5	-5.3275776	5.285912	0.0050314465408805
E453_127	-8.328671	-6.8494368	0.1584905660377358
E52_75	-10.457033	-0.66076297	0.0930817610062893
E379_682	-1.1755593	9.948688	0.8566037735849057
E90_65	-11.424938	-1.7027265	0.080503144654088
E506_395	13.00153	-5.7570243	0.4955974842767295
E181_763	10.312677	5.086726	0.958490566037736
E735_726	-0.62150466	9.22909	0.9119496855345912
E93_434	13.054835	-3.1914542	0.5446540880503145
E633_14	-4.954079	5.19043	0.0163522012578616
E521_106	-11.379104	4.291297	0.1320754716981132
