	dim1	dim2	pt
E488_15	20.83345	14.360588	0.0262096774193548
E480_142	18.744865	13.460877	0.282258064516129
E201_357	-7.145408	-7.511409	0.7157258064516129
E190_445	-15.4923	-14.2764845	0.8931451612903226
E903_365	-8.830548	-7.1635475	0.7318548387096774
E761_475	-15.773165	-20.095343	0.9536290322580644
E787_242	-0.95055467	1.1804681	0.4838709677419355
E706_265	-5.6670046	-3.394158	0.530241935483871
E595_344	-8.80887	-6.388753	0.6895161290322581
E789_349	-9.184773	-4.8950224	0.6995967741935484
E926_378	-14.193848	-15.925059	0.7580645161290323
E452_139	6.355303	9.291048	0.2762096774193548
E524_452	-15.6287155	-20.709263	0.907258064516129
E59_426	-5.876057	-6.343492	0.8548387096774194
E368_191	4.2584753	10.642188	0.3810483870967742
E869_87	19.079023	15.052349	0.1713709677419354
E416_476	-13.960239	-16.255524	0.9556451612903226
E385_455	-12.264053	-17.216164	0.9133064516129032
E740_94	5.9071593	8.3088	0.1854838709677419
E546_308	-5.8092275	-3.027116	0.6169354838709677
E915_481	-1.0657853	-2.2537985	0.9657258064516128
E644_189	5.7716136	8.261257	0.377016129032258
E820_127	7.3142242	8.914611	0.252016129032258
E839_136	7.9661226	9.331774	0.2701612903225806
E149_445	-14.009257	-15.293991	0.8931451612903226
E186_157	4.8617992	9.506062	0.3125
E81_131	6.155116	9.585013	0.2600806451612903
E798_40	19.43804	13.454663	0.0766129032258064
E519_474	-14.974166	-10.887624	0.9516129032258064
E702_489	-15.59886	-20.970304	0.9818548387096774
E776_324	-9.308116	-6.7759414	0.6491935483870968
E280_473	-14.494299	-14.483318	0.9495967741935484
E632_144	7.3842697	10.933119	0.2862903225806452
E123_5	22.446964	14.770158	0.0060483870967741
E205_245	-0.8341467	3.4399254	0.4899193548387097
E366_164	2.0933008	7.3255367	0.3266129032258064
E823_132	4.1509204	10.326932	0.2620967741935484
E733_142	8.845768	9.861318	0.282258064516129
E317_198	-3.1002064	3.2483478	0.3951612903225806
E263_227	-0.57255363	4.6769867	0.4536290322580645
E137_286	-6.921206	-7.877006	0.5725806451612904
E196_378	-7.7464833	-8.477395	0.7580645161290323
E769_341	-6.3413835	-4.8574944	0.6834677419354839
E790_23	20.730663	15.19529	0.0423387096774193
E515_262	-5.7353096	-7.3223686	0.5241935483870968
E144_84	14.141909	14.117704	0.1653225806451612
E236_270	-5.992253	-1.7283347	0.5403225806451613
E777_128	5.9865494	8.203713	0.2540322580645161
E16_105	17.72006	13.748335	0.2076612903225806
E507_216	-2.0423555	4.264275	0.4314516129032258
E87_211	7.5970683	7.3755817	0.4213709677419355
E569_473	-16.89792	-19.387077	0.9495967741935484
E477_452	-12.91413	-13.907804	0.907258064516129
E394_174	3.1033287	6.4019527	0.3467741935483871
E673_137	11.303838	10.229936	0.2721774193548387
E907_215	1.1955885	4.40991	0.4294354838709677
E896_482	-12.240003	-15.253808	0.967741935483871
E973_469	-15.073435	-17.473078	0.941532258064516
E333_196	2.6079104	5.678572	0.3911290322580645
E641_70	15.350725	11.552707	0.1370967741935483
E639_477	-15.438859	-12.531297	0.9576612903225806
E247_217	3.3794227	9.607747	0.4334677419354839
E924_278	-7.7692256	-4.0112	0.5564516129032258
E453_342	-8.985196	-5.691565	0.6854838709677419
E682_151	1.6958488	4.8459535	0.3004032258064516
E419_55	15.830199	12.813974	0.1068548387096774
E48_84	14.90577	12.6944275	0.1653225806451612
E647_348	-8.110694	-7.5985255	0.6975806451612904
E117_247	-8.177685	-5.6193676	0.4939516129032258
E118_93	13.66647	13.160682	0.1834677419354838
E295_164	4.2620835	9.638203	0.3266129032258064
E712_472	-14.795344	-10.606546	0.9475806451612904
E826_438	-14.662017	-14.586077	0.8790322580645161
E638_463	-15.138685	-12.681405	0.9294354838709676
E985_488	-15.817618	-18.484413	0.9798387096774194
E198_276	1.2615409	4.568563	0.5524193548387096
E615_408	-13.84971	-15.68995	0.8185483870967742
E819_370	-7.863407	-3.6228733	0.7419354838709677
