SourceGENES,TargetGENES,Interaction,Edges
g1,g7,1,activation/repression
g2,g7,0.978809774801084,activation/repression
g5,g4,0.849078197314673,activation/repression
g2,g1,0.693362923592831,activation/repression
g6,g5,0.686404805813152,activation/repression
g2,g6,0.545399183833339,activation/repression
g1,g4,0.304901668704811,activation/repression
g1,g2,0.279425043106879,activation/repression
g1,g3,0.212437885917408,activation/repression
g1,g6,0.173683991159594,activation/repression
g7,g6,0.0638138584078964,activation/repression
g7,g5,0.0330798635002131,activation/repression
g2,g5,0.0173201147797445,activation/repression
g3,g2,6.80305618093346e-37,activation/repression
g4,g3,5.64377420934429e-37,activation/repression
g1,g1,0,no regulation
g1,g5,0,no regulation
g2,g2,0,no regulation
g2,g3,0,no regulation
g2,g4,0,no regulation
g3,g1,0,no regulation
g3,g3,0,no regulation
g3,g4,0,no regulation
g3,g5,0,no regulation
g3,g6,0,no regulation
g3,g7,0,no regulation
g4,g1,0,no regulation
g4,g2,0,no regulation
g4,g4,0,no regulation
g4,g5,0,no regulation
g4,g6,0,no regulation
g4,g7,0,no regulation
g5,g1,0,no regulation
g5,g2,0,no regulation
g5,g3,0,no regulation
g5,g5,0,no regulation
g5,g6,0,no regulation
g5,g7,0,no regulation
g6,g1,0,no regulation
g6,g2,0,no regulation
g6,g3,0,no regulation
g6,g4,0,no regulation
g6,g6,0,no regulation
g6,g7,0,no regulation
g7,g1,0,no regulation
g7,g2,0,no regulation
g7,g3,0,no regulation
g7,g4,0,no regulation
g7,g7,0,no regulation
