,g1,g10,g11,g12,g13,g14,g15,g16,g17,g18,g2,g3,g4,g5,g6,g7,g8,g9
g1,0.0,0.00815727977188589,0.006659720930278446,0.006802361105810011,0.00801133496481647,0.008864074907678677,0.009868675473603688,0.014647785467607533,0.026204071247691807,0.147857768688638,0.0801955861381027,0.031906564086113226,0.018906916687209844,0.01396140144200827,0.012203310977754234,0.0112003971961082,0.009183376485641026,0.008431543846602246
g10,0.05503172956027307,0.0,0.2289388588943402,0.1087680843737006,0.06003405946855143,0.034274831330415444,0.026950965798130864,0.016101594882129644,0.016485209329844937,0.02737350674027918,0.04975396250430802,0.0316341779582413,0.03088070455624299,0.02849313472338802,0.040655604710250516,0.07648357682961028,0.14154543100362366,0.30022408000568457
g11,0.050247913125997204,0.2787744092325423,0.0,0.26071560742406474,0.10587820264649787,0.06069292286874808,0.03277905610868483,0.020006370930546663,0.030817549788363145,0.029773951286102694,0.056247914378542936,0.028640848440228923,0.02655668759239863,0.023084933375879375,0.03120512987222007,0.044994236310042464,0.06025931737462132,0.12831577279232315
g12,0.05655444680742494,0.15386907626125126,0.3059931788621932,0.0,0.23889594983054352,0.13444469022860492,0.05157884468982405,0.03625208673223654,0.030140734743037113,0.022854325156262352,0.04649532278113169,0.033189376655562895,0.019866268837791475,0.018935414065784317,0.018757701180426047,0.027846788263202037,0.03882708387125255,0.06229941860300587
g13,0.05589048010441691,0.06601426601043676,0.11560949183477005,0.27207501893399477,0.0,0.23817981342208133,0.1254601552744033,0.06347739751663023,0.03703538528538921,0.030425169825533668,0.045937159962991955,0.02749718196403045,0.017772460496997086,0.017194290815113703,0.01712320237864086,0.017773486662313882,0.021400306190905227,0.02939585317762801
g14,0.0544433003300104,0.029606763416805675,0.06236079966044808,0.10466093359262513,0.30844329805235415,0.0,0.28252762680952803,0.10921305162591587,0.06151519115032805,0.04648594410689811,0.04509897391999036,0.026493531053206395,0.019763453598020026,0.015145518089705155,0.013134270117469113,0.011161773876150707,0.01321547427523782,0.0202222605075872
g15,0.057306836050732404,0.013204997018403749,0.02332447364213281,0.04646398081385718,0.10806341041832519,0.2994845189959503,0.0,0.2685637779795233,0.10289425945426424,0.07001704219592658,0.04964778296156149,0.026434790692229242,0.016896422963916847,0.014122600420307345,0.01187728924731797,0.011242253898022084,0.009781710865883444,0.009301228729803003
g16,0.05929957787503731,0.009201936778121695,0.013626673257503637,0.019075831456082586,0.034145116485973286,0.10034722484714752,0.28542748108337107,0.0,0.28756661557513924,0.10461818665414707,0.05151759886058786,0.02627574350670222,0.016555034374818818,0.013721147875857776,0.014787542119635438,0.011084870160559817,0.011021936034843346,0.009415911007715343
g17,0.06590185282605532,0.007960188218024062,0.007565258541514553,0.009313636044409563,0.013583562112580454,0.02310159972280211,0.07943028266939033,0.3110295080409712,0.0,0.3221010182148945,0.05030249939659432,0.02950445914051382,0.01879166375511081,0.01316584129847543,0.0106710055552253,0.010650583154168135,0.00724186981751204,0.007571673435610572
g18,0.08839352396124192,0.007181361209948246,0.006558677650537779,0.0076685374416044505,0.009221823174050242,0.010229920709266887,0.0192743239654638,0.061601263294407814,0.2731438490910778,0.0,0.04921541897984341,0.026977868960619808,0.019531386336528792,0.014861798247350289,0.012970167553927126,0.009417034361916996,0.008699925150524127,0.007868853685367615
g2,0.078702330084047,0.00895633515521126,0.007644342672760877,0.008534199177035172,0.009108425826710266,0.008946538594987662,0.010024414562903476,0.012330039522900897,0.01623081567363708,0.024010261235051077,0.0,0.08896709259814871,0.025397447547367703,0.014881173383596008,0.013075152627077624,0.01011896894184296,0.008056982675046896,0.007218326518551293
g3,0.06336350769568701,0.007832795231904726,0.006000556876530524,0.008412041901262107,0.008224934677407649,0.012719955177825426,0.010190776845915883,0.01135576150566726,0.017572712725025256,0.02695103430662101,0.1448527852106125,0.0,0.20715757291960482,0.06441950045923919,0.026905689110197504,0.014532989295591185,0.010049800839170986,0.007569773451018179
g4,0.053819808395352026,0.009409170257406443,0.007896106692620824,0.007122029401436647,0.007178509771427875,0.00999318720089953,0.009308988510292117,0.013770659743645273,0.014430981770942847,0.029034182981935452,0.07219074514191316,0.2969955651401641,0.0,0.20848118144492794,0.07764953139673485,0.03005518227806682,0.01578768052486636,0.010106495382501085
g5,0.050195574317387394,0.014434143456254349,0.010674187284531261,0.008224072594632764,0.007324619345165443,0.008058734735162613,0.009740739919299673,0.009957975234239731,0.019629150860439214,0.015014658890101066,0.05646048785175207,0.1299494581514943,0.2859643500305511,0.0,0.20804758339565507,0.079922308128731,0.03588727540416588,0.017837172455086977
g6,0.05064077381962131,0.0239515395195287,0.013333363159339336,0.013286722308124487,0.009251428255507168,0.009802452305381699,0.010012705330900394,0.011398048884520385,0.01619836043956568,0.025886229722171635,0.05320862692723036,0.0747133115323009,0.12506864525193506,0.29469445792070315,0.0,0.21233252122149038,0.08969640230202111,0.044757024148792915
g7,0.0553567442095634,0.04383391752738821,0.027893280189417915,0.01702092039081814,0.013098955662152774,0.011404414410693016,0.011175125373237277,0.010613522932246572,0.013268430124291289,0.02194380242446508,0.05971408645849051,0.04976035801808896,0.07137219410168316,0.1278590651675113,0.30262944694565996,0.0,0.22662492418504593,0.10671827104975737
g8,0.05075118632362118,0.09711225853891083,0.04761208866040946,0.030119498906862486,0.02063299383504491,0.01431649183107973,0.012465162411449253,0.012805257302362321,0.01908508424070157,0.02450469932235266,0.04508979168526634,0.039230161382416105,0.04452029545705957,0.0734142473969531,0.11855927972607089,0.28381339312494325,0.0,0.2220271834976416
g9,0.05598967672416716,0.2197147588807383,0.10818394918789079,0.0699835021041685,0.03864738495692085,0.01922904955559183,0.016490727794192524,0.013926787927605929,0.016799826667412115,0.025344555261844544,0.047174435310441035,0.030716011292649396,0.033834151168277184,0.04056394436729331,0.06912263194025642,0.13609530101898895,0.2919835096764761,0.0
