	dim1	dim2	pt
E531_1384	25.104158	0.95021427	0.925033467202142
E927_616	-6.170691	-3.167826	0.4109772423025435
E577_601	-5.5849476	-3.3778348	0.4009370816599732
E786_750	2.234029	-3.525361	0.500669344042838
E42_507	-13.09281	0.2656359	0.3380187416331994
E696_1261	21.307772	1.3806303	0.8427041499330656
E509_540	-9.898672	-2.5289872	0.360107095046854
E760_795	-1.4412869	-2.5651991	0.5307898259705489
E10_1101	17.098528	-0.28003782	0.7356091030789826
E998_1009	9.164361	-2.8686147	0.6740294511378849
E412_695	-0.33998993	-3.3286107	0.463855421686747
E680_1361	24.188168	1.9607064	0.9096385542168676
E418_1365	23.579266	1.5552354	0.9123159303882196
E622_876	1.8597528	-3.4950979	0.5850066934404283
E164_1179	20.17015	1.4764986	0.7878179384203481
E230_81	-28.205189	5.7358384	0.0528781793842034
E854_387	-14.113334	1.0265297	0.2576974564926372
E198_1290	25.99738	1.8027228	0.8621151271753681
E2_481	-13.436723	-0.7991667	0.3206157965194109
E45_44	-28.700397	7.3974543	0.0281124497991967
E476_1283	15.930164	-1.1764882	0.857429718875502
E818_938	8.943226	-1.3156132	0.6265060240963856
E802_122	-23.707754	6.1305504	0.0803212851405622
E225_571	-5.828338	-2.3888853	0.3808567603748327
E717_353	-17.078722	0.89926463	0.2349397590361445
E467_1069	14.45657	-0.74613655	0.714190093708166
E592_1087	13.68179	-1.1102691	0.7262382864792504
E384_1247	22.845526	0.226509	0.8333333333333334
E966_314	-21.751404	4.343113	0.2088353413654618
E300_1369	22.183022	0.89980865	0.9149933065595716
E131_955	8.413687	-1.8266376	0.6378848728246319
E778_1255	20.52071	0.749535	0.8386880856760375
E623_642	-4.423716	-3.9820373	0.428380187416332
E368_545	-9.986936	-2.0013664	0.3634538152610442
E103_1431	27.942858	2.135406	0.9564926372155288
E825_1035	17.099356	-0.78587884	0.6914323962516734
E943_207	-25.299551	5.5069795	0.1372155287817938
E100_674	-1.0537242	-3.7960916	0.4497991967871486
E710_137	-24.765333	5.216866	0.0903614457831325
E465_796	5.681011	-3.966898	0.5314591700133868
E888_1264	21.315172	0.5860719	0.8447121820615796
E836_980	13.32146	-1.7765162	0.6546184738955824
E671_74	-27.595928	5.4176626	0.0481927710843373
E49_280	-19.148438	2.585815	0.1860776439089692
E603_450	-11.823888	-1.3264335	0.2998661311914324
E960_593	-9.905218	-1.5445734	0.395582329317269
E835_997	9.847812	-2.8391614	0.6659973226238286
E940_384	-15.309341	0.90962136	0.2556894243641232
E913_263	-22.58493	4.12533	0.1746987951807229
E834_498	-13.909943	0.18029733	0.3319946452476573
E803_1482	28.369017	2.552733	0.9906291834002676
E887_1126	15.1998825	-1.0920017	0.7523427041499331
E564_1408	26.93214	2.3569314	0.9410977242302544
E118_174	-24.32675	5.6815066	0.1151271753681392
E860_147	-25.506872	5.282993	0.0970548862115127
E574_1316	22.557583	1.1342114	0.8795180722891566
E626_1293	20.914417	0.0022171491	0.8641231593038822
E184_755	1.5524276	-2.678926	0.5040160642570282
E204_368	-13.454597	0.8792744	0.2449799196787148
E793_1162	13.579337	-2.16179	0.7764390896921017
E527_373	-16.925203	1.7264726	0.2483266398929049
E374_989	10.688721	-3.273733	0.6606425702811245
E606_1399	25.447956	1.4413669	0.9350736278447122
E738_63	-28.503141	6.76774	0.0408299866131191
E602_999	12.738268	-1.6181368	0.6673360107095047
E692_1062	13.709471	-0.78828424	0.7095046854082999
E114_691	1.5530055	-2.64565	0.4611780455153949
E6_1317	14.064502	-1.1451613	0.8801874163319946
E475_857	5.582262	-2.8089685	0.572289156626506
E948_436	-14.167224	-0.74779844	0.2904953145917001
E67_672	-1.7250322	-4.082726	0.4484605087014726
E372_1089	13.269384	-1.3673605	0.7275769745649264
E594_601	-2.6707935	-3.9128861	0.4009370816599732
E657_68	-28.935215	7.1464663	0.0441767068273092
E280_454	-12.723821	0.36009622	0.3025435073627844
E414_729	-2.2423203	-3.1019397	0.4866131191432396
E456_709	-1.438421	-3.7302685	0.4732262382864792
E223_526	-5.79202	-2.9187014	0.3507362784471218
E801_1247	19.841038	1.1646389	0.8333333333333334
E779_48	-27.706434	7.350095	0.0307898259705488
E733_1054	16.984186	-0.101153925	0.7041499330655957
E493_28	-29.390585	7.7448573	0.0174029451137884
E259_1322	19.846424	-0.256506	0.8835341365461847
E421_957	9.286564	-1.780966	0.6392235609103079
E362_977	8.63394	-2.5003686	0.6526104417670683
E928_1100	16.868782	-1.0251069	0.7349397590361446
E7_1307	24.33086	1.3533572	0.8734939759036144
E905_791	-0.03571669	-3.5109904	0.5281124497991968
E279_1330	26.363932	2.8873494	0.8888888888888888
E375_1020	12.447376	-1.5003133	0.6813922356091031
E235_1345	24.742119	1.6301403	0.8989290495314591
E316_16	-29.475815	7.6076436	0.0093708165997322
E504_321	-21.14965	2.643095	0.2135207496653279
E916_1300	26.730886	1.1213764	0.8688085676037484
E70_333	-17.950941	1.4667674	0.2215528781793842
E342_482	-10.251068	-1.1042254	0.321285140562249
E813_583	-4.466709	-1.9755839	0.3888888888888889
E182_542	-8.941068	-2.0507925	0.3614457831325301
E130_671	-4.666554	-3.1888018	0.4477911646586345
E405_277	-19.756748	2.4464257	0.1840696117804551
E734_479	-10.846997	-1.4759973	0.3192771084337349
E396_1429	26.04832	2.421643	0.9551539491298529
E584_1406	23.776058	1.2829429	0.9397590361445785
E112_1050	16.011793	0.02260526	0.7014725568942436
E529_1395	26.995962	2.2553298	0.9323962516733602
E840_73	-28.573597	5.4773197	0.0475234270414993
E228_969	7.7439604	-2.9518275	0.6472556894243642
E745_202	-21.96958	3.866774	0.1338688085676037
E615_191	-22.650623	4.810736	0.1265060240963855
E339_265	-20.893002	2.7067	0.1760374832663989
E428_1405	21.826817	1.2158996	0.9390896921017404
E884_1207	18.114367	-0.16828503	0.8065595716198126
E111_565	-10.037175	-0.9899371	0.3768406961178046
E953_1057	13.672037	-0.77920413	0.7061579651941098
E677_620	-5.6932316	-2.4862413	0.4136546184738955
E265_1162	20.121046	0.6370185	0.7764390896921017
E938_901	10.480575	-3.108529	0.6017402945113789
E109_1261	16.99926	-0.37721005	0.8427041499330656
E978_1227	14.81795	-1.1400702	0.8199464524765729
E901_1013	13.996916	-1.3803041	0.6767068273092369
E573_258	-17.568642	0.9064528	0.1713520749665328
E40_603	-5.0629587	-2.3455515	0.4022757697456492
E624_1018	12.344619	-2.3127809	0.6800535475234271
E641_273	-20.31397	3.6335137	0.1813922356091031
E155_85	-28.066147	5.809242	0.0555555555555555
E756_816	9.209184	-2.2829003	0.5448460508701473
E327_1315	23.139435	1.2818992	0.8788487282463187
E769_1471	26.41662	2.15103	0.9832663989290495
E108_462	-10.140116	-1.8288156	0.3078982597054886
E982_700	-1.469787	-2.738584	0.467202141900937
E936_566	-4.801052	-1.9134018	0.3775100401606425
E16_923	6.5842547	-3.328825	0.6164658634538153
E304_1233	20.289402	0.6541607	0.8239625167336011
E635_229	-21.783258	3.1459682	0.1519410977242302
E252_404	-13.107253	-0.4280898	0.2690763052208835
E236_480	-15.094544	0.19850895	0.3199464524765729
E827_630	-2.83978	-3.1152706	0.4203480589022758
E791_133	-25.968803	5.442522	0.0876840696117804
E699_143	-25.613453	5.562955	0.0943775100401606
E653_111	-26.341259	6.0399284	0.072958500669344
E882_1344	24.645334	0.5332475	0.8982597054886211
E514_36	-29.000807	6.8239255	0.0227576974564926
E987_632	-2.494996	-3.3311846	0.4216867469879518
E444_662	-2.609419	-3.1476285	0.4417670682730923
E611_103	-25.707752	6.1803074	0.0676037483266398
E915_482	-14.268326	-0.1065465	0.321285140562249
E46_994	9.614557	-2.400458	0.6639892904953146
E156_1041	17.271688	-0.5114938	0.6954484605087015
E964_842	1.0467831	-2.6432652	0.5622489959839357
E137_1274	18.17543	-0.8748475	0.8514056224899599
E439_293	-21.752237	3.8558207	0.1947791164658634
E407_1091	9.07232	-1.8599362	0.7289156626506024
E193_696	-4.1298933	-3.1011932	0.464524765729585
E586_925	12.745299	-2.8605409	0.6178045515394913
E614_155	-27.453571	6.2444563	0.1024096385542168
E537_1011	7.180524	-2.7718704	0.6753681392235609
E750_205	-25.82532	5.64355	0.1358768406961178
E664_285	-21.627056	4.1416335	0.1894243641231593
E170_525	-10.119097	-1.8456744	0.3500669344042838
E231_1087	14.911897	-1.3550533	0.7262382864792504
