	dim1	dim2	pt
E548_731	-7.1060205	0.5084298	0.4281490242460082
E987_227	-2.2086875	-20.75567	0.13010053222945
E829_1159	4.8737617	10.457349	0.6812536960378475
E545_1010	-4.4760823	4.5771427	0.5931401537551745
E74_659	-8.4657955	-4.294448	0.3855706682436428
E595_1470	12.951146	12.828218	0.8651685393258427
E94_361	-3.317051	-18.495415	0.2093435836782968
E788_618	-7.365374	-7.9358625	0.361324659964518
E811_1042	-5.689462	3.7836058	0.6120638675340035
E561_858	-2.9518926	6.1621366	0.5032525133057363
E893_1007	-1.0734261	7.6372	0.5913660555884093
E481_894	-5.1429167	3.3554199	0.524541691306919
E927_906	0.44464535	8.504806	0.5316380839739799
E369_1611	11.534439	14.468391	0.9485511531638084
E655_114	-0.35900563	-26.184818	0.0632761679479597
E332_694	-8.50923	-3.805774	0.4062684801892371
E684_141	-1.2857577	-24.24218	0.0792430514488468
E416_1439	13.344963	13.171574	0.846836191602602
E841_1062	14.337362	11.252298	0.6238911886457718
E602_1538	11.105046	10.252926	0.9053814311058546
E582_1459	12.344528	15.2872715	0.8586635127143702
E727_1576	10.297381	14.0324135	0.927853341218214
E583_425	-6.990963	-14.084514	0.247191011235955
E309_731	-8.163685	-3.415383	0.4281490242460082
E589_115	-1.2812216	-25.487877	0.0638675340035482
E269_1226	4.918274	10.209009	0.7208752217622708
E24_1516	12.488719	14.847972	0.8923713778829095
E113_94	-1.0294255	-26.06324	0.0514488468361916
E0_1571	13.622224	12.734386	0.924896510940272
E944_751	-6.8883	-0.5541802	0.4399763453577764
E839_381	-6.3295965	-15.177976	0.221170904790065
E4_1223	8.7438345	13.904563	0.7191011235955056
E328_441	-8.310778	-11.258584	0.2566528681253696
E898_543	-7.903221	-8.260052	0.3169722057953873
E664_1647	-2.5461824	18.745972	0.9698403311649912
E392_844	-5.90859	2.7658672	0.4949733885274985
E303_805	-2.7575111	5.9774566	0.4719101123595505
E558_593	-7.4986444	-8.429894	0.3465405085748078
E316_1404	10.241175	13.28766	0.8261383796570076
E242_1324	-3.7254338	16.537613	0.7788290952099349
E573_1584	-3.273401	18.001034	0.9325842696629212
