,PseudoTime1,PseudoTime2,PseudoTime3
E846_266,NA,0.33249,NA
E121_558,NA,0.70025,NA
E539_30,NA,NA,0.03526
E663_192,NA,0.23929,NA
E148_700,NA,NA,0.87909
E930_598,0.75063,NA,NA
E287_422,0.52897,NA,NA
E936_357,0.4471,NA,NA
E171_629,NA,NA,0.78967
E441_377,0.47229,NA,NA
E4_246,0.3073,NA,NA
E354_142,NA,NA,0.17632
E852_776,NA,0.97481,NA
E405_91,NA,0.11209,NA
E201_583,0.73174,NA,NA
E447_322,NA,0.40302,NA
E558_211,0.26322,NA,NA
E42_257,NA,0.32116,NA
E996_497,NA,0.62343,NA
E460_384,0.48111,NA,NA
E481_136,NA,0.16877,NA
E751_734,NA,NA,0.92191
E776_703,NA,NA,0.88287
E817_524,NA,0.65743,NA
E55_150,NA,NA,0.1864
E211_776,0.97481,NA,NA
E69_27,0.03149,NA,NA
E214_780,0.97985,NA,NA
E487_200,NA,NA,0.24937
E364_648,NA,NA,0.8136
E719_276,NA,NA,0.34509
E815_381,NA,0.47733,NA
E143_228,NA,0.28463,NA
E453_308,NA,0.38539,NA
E467_400,NA,0.50126,NA
E290_290,0.36272,NA,NA
E493_646,NA,NA,0.81108
E708_409,0.51259,NA,NA
E816_688,NA,0.86398,NA
E701_5,NA,NA,0.00378
E768_619,0.77708,NA,NA
E643_298,NA,0.3728,NA
E431_469,NA,NA,0.58816
E923_80,NA,0.09824,NA
E583_313,NA,0.39169,NA
E992_485,0.60831,NA,NA
E723_635,NA,NA,0.79723
E428_354,NA,0.44332,NA
E232_727,NA,NA,0.9131
E707_122,NA,NA,0.15113
E202_176,NA,NA,0.21914
E366_445,0.55793,NA,NA
E516_521,0.65365,NA,NA
E320_213,NA,NA,0.26574
E820_711,NA,NA,0.89295
E312_186,NA,0.23174,NA
E845_459,NA,0.57557,NA
E399_8,0.00756,NA,NA
E697_104,0.12846,NA,NA
E588_777,NA,NA,0.97607
E748_42,NA,NA,0.05038
E656_363,0.45466,NA,NA
E954_787,0.98866,NA,NA
E802_90,NA,0.11083,NA
E932_214,NA,0.267,NA
E193_268,NA,NA,0.33501
E331_274,NA,NA,0.34257
E36_504,0.63224,NA,NA
E343_614,0.77078,NA,NA
E269_682,NA,0.85642,NA
E40_733,0.92065,NA,NA
E910_320,NA,NA,0.4005
E330_325,NA,0.4068,NA
E191_489,NA,0.61335,NA
E900_210,NA,NA,0.26196
E714_320,NA,NA,0.4005
E102_708,0.88917,NA,NA
E553_369,NA,NA,0.46222
E856_130,0.16121,NA,NA
E279_365,0.45718,NA,NA
E408_7,NA,0.0063,NA
E639_796,NA,NA,1.0
E609_241,NA,0.30101,NA
E466_607,NA,0.76196,NA
E54_264,NA,0.32997,NA
E249_543,0.68136,NA,NA
E898_483,NA,NA,0.60579
E750_208,0.25945,NA,NA
E804_694,NA,0.87154,NA
E389_281,0.35139,NA,NA
E378_46,NA,NA,0.05542
E154_370,NA,NA,0.46348
E562_783,NA,0.98363,NA
E989_695,0.8728,NA,NA
E500_544,NA,0.68262,NA
E432_76,NA,0.0932,NA
E497_350,0.43829,NA,NA
E392_256,0.3199,NA,NA
E627_480,NA,NA,0.60202
E591_633,0.79471,NA,NA
E897_264,NA,NA,0.32997
E443_54,0.06549,NA,NA
E101_657,NA,0.82494,NA
E944_329,0.41184,NA,NA
E611_507,NA,0.63602,NA
E835_783,0.98363,NA,NA
E853_150,NA,0.1864,NA
E734_727,NA,0.9131,NA
E32_492,NA,NA,0.61713
E96_603,NA,NA,0.75693
E756_65,0.07935,NA,NA
E412_137,0.17003,NA,NA
E139_279,NA,NA,0.34887
E586_675,NA,0.84761,NA
E695_429,0.53778,NA,NA
E291_225,NA,0.28086,NA
E571_195,NA,NA,0.24307
E698_429,NA,0.53778,NA
E58_756,0.94962,NA,NA
E319_663,0.83249,NA,NA
E945_726,0.91184,NA,NA
E122_331,0.41436,NA,NA
E152_379,NA,NA,0.47481
E812_362,NA,NA,0.4534
E480_18,NA,0.02015,NA
E413_284,0.35516,NA,NA
E755_720,0.90428,NA,NA
E115_636,NA,NA,0.79849
E146_380,NA,NA,0.47607
E169_531,0.66625,NA,NA
E850_587,NA,0.73678,NA
E967_328,NA,NA,0.41058
E256_405,NA,0.50756,NA
E151_582,NA,NA,0.73048
E346_306,0.38287,NA,NA
E411_625,0.78463,NA,NA
E328_277,0.34635,NA,NA
E503_330,NA,0.4131,NA
E175_45,NA,0.05416,NA
E572_38,NA,NA,0.04534
E243_230,0.28715,NA,NA
E779_537,NA,NA,0.6738
E771_557,NA,0.69899,NA
E827_368,NA,0.46096,NA
E807_152,0.18892,NA,NA
E226_450,0.56423,NA,NA
E436_383,0.47985,NA,NA
E293_604,NA,0.75819,NA
E284_712,NA,NA,0.89421
E309_614,0.77078,NA,NA
E726_206,NA,NA,0.25693
E672_105,0.12972,NA,NA
E223_74,NA,NA,0.09068
E978_138,NA,0.17128,NA
E969_296,NA,NA,0.37028
E341_770,0.96725,NA,NA
E878_269,NA,NA,0.33627
E739_612,0.76826,NA,NA
E476_173,NA,0.21537,NA
E977_549,0.68892,NA,NA
E915_314,NA,NA,0.39295
E899_710,NA,0.89169,NA
E488_238,0.29723,NA,NA
E138_130,0.16121,NA,NA
E61_749,NA,0.94081,NA
E336_443,0.55542,NA,NA
E434_40,0.04786,NA,NA
E455_53,NA,NA,0.06423
E370_792,0.99496,NA,NA
E540_557,0.69899,NA,NA
E630_180,NA,0.22418,NA
E832_252,NA,0.31486,NA
E282_93,NA,0.11461,NA
E268_444,0.55668,NA,NA
E874_455,NA,0.57053,NA
E649_309,NA,0.38665,NA
E991_324,NA,NA,0.40554
E864_484,0.60705,NA,NA
E711_282,0.35264,NA,NA
E41_256,NA,NA,0.3199
E966_546,0.68514,NA,NA
E951_362,NA,NA,0.4534
E388_453,NA,0.56801,NA
E289_213,0.26574,NA,NA
E617_655,0.82242,NA,NA
E295_134,NA,0.16625,NA
E109_743,0.93325,NA,NA
E568_727,NA,NA,0.9131
E794_610,0.76574,NA,NA
E199_89,NA,NA,0.10957
E651_290,NA,NA,0.36272
E780_228,NA,0.28463,NA
E886_565,NA,0.70907,NA
E303_317,0.39673,NA,NA
E844_81,NA,0.0995,NA
E125_672,0.84383,NA,NA
E215_445,NA,0.55793,NA
E458_585,0.73426,NA,NA
E288_674,0.84635,NA,NA
E123_120,NA,0.14861,NA
E459_425,NA,0.53275,NA
E351_642,0.80605,NA,NA
E928_496,0.62217,NA,NA
E240_309,NA,NA,0.38665
E831_144,0.17884,NA,NA
E454_439,NA,0.55038,NA
E382_103,NA,0.1272,NA
E272_526,0.65995,NA,NA
E136_18,NA,0.02015,NA
E229_288,NA,NA,0.3602
E952_487,0.61083,NA,NA
E662_651,0.81738,NA,NA
E369_511,NA,NA,0.64106
E407_356,0.44584,NA,NA
E738_185,0.23048,NA,NA
E525_259,0.32368,NA,NA
E470_155,0.1927,NA,NA
E469_202,NA,0.25189,NA
E681_727,NA,NA,0.9131
E705_245,NA,0.30605,NA
E90_4,NA,NA,0.00252
E283_377,NA,0.47229,NA
E228_767,0.96348,NA,NA
E34_539,NA,0.67632,NA
E994_240,NA,0.29975,NA
E325_151,NA,0.18766,NA
E165_338,NA,NA,0.42317
E531_128,0.15869,NA,NA
E749_279,NA,NA,0.34887
E822_233,NA,NA,0.29093
E479_558,NA,NA,0.70025
E959_189,0.23552,NA,NA
E943_371,0.46474,NA,NA
E43_46,0.05542,NA,NA
E730_444,NA,0.55668,NA
E203_628,NA,0.78841,NA
E803_328,0.41058,NA,NA
E565_250,NA,NA,0.31234
E398_425,0.53275,NA,NA
E27_475,0.59572,NA,NA
