	dim1	dim2	pt
E809_415	13.984209	3.2384942	0.51824
E49_13	-20.361273	-5.4479985	0.01258
E438_256	-0.21977432	4.7778816	0.31824
E693_783	3.7505429	-13.981632	0.98113
E51_246	-2.2815402	0.6302061	0.30566
E905_781	15.098837	-0.5750126	0.97862
E365_497	0.43857914	14.632094	0.62138
E752_66	-18.593063	-2.323364	0.07925
E578_247	-2.1468396	-0.46917692	0.30692
E949_404	0.38904148	-1.5301577	0.5044
E456_746	13.154111	2.1053123	0.93459
E972_748	15.337757	3.2055047	0.93711
E661_16	-20.804342	-5.0148606	0.01635
E893_94	-19.10863	-2.6494765	0.11447
E815_775	15.894635	0.98075545	0.97107
E67_341	1.5618608	-5.7662497	0.42516
E211_699	-2.9908469	15.972764	0.87547
E446_544	0.13654366	-14.028814	0.6805
E514_178	-10.019074	-0.6644871	0.22013
E932_357	4.329507	0.5857782	0.44528
E320_728	4.7360597	-14.040101	0.91195
E396_666	0.66787493	14.339743	0.83396
E938_212	-12.8334875	-1.4206076	0.26289
E562_713	14.318781	0.7677223	0.89308
E208_4	-20.319508	-7.0046587	0.00126
E130_201	-2.7232563	-0.3320972	0.24906
E481_26	-19.875385	-4.7038164	0.02893
E52_794	4.9850607	-14.184284	0.99497
E36_318	0.48212314	6.7005515	0.39623
E50_792	-1.3898289	15.388331	0.99245
E47_728	0.17484917	-14.203984	0.91195
E393_439	-0.9974628	11.24901	0.54843
E349_468	12.070004	1.2801672	0.58491
E998_646	14.482365	1.7234921	0.80881
E767_594	1.3613204	-14.155426	0.7434
E412_367	-0.92835766	6.015575	0.45786
E315_336	-0.33074376	7.8410172	0.41887
E367_396	3.789383	0.7381327	0.49434
E556_505	0.38902545	-12.0218525	0.63145
E415_327	-0.13409612	4.495171	0.40755
E343_525	-3.5205076	15.2020235	0.6566
E475_260	-1.886151	0.41690385	0.32327
E689_153	-11.542191	-1.4129227	0.18868
E584_99	-17.385012	-2.9735572	0.12075
E164_178	-12.618203	-0.26971716	0.22013
E363_578	15.551901	2.8578534	0.72327
E600_419	-0.40372193	8.288254	0.52327
E95_499	12.76833	0.3196784	0.6239
E440_591	-0.2932691	8.196723	0.73962
E159_773	14.296251	0.38308525	0.96855
E692_521	-1.3211633	12.647107	0.65157
E30_575	-0.06300635	15.555961	0.7195
E776_473	0.630675	-14.215191	0.59119
E282_294	-0.07928107	0.8257616	0.36604
E249_755	0.035624117	15.651522	0.94591
E250_181	-3.1284559	1.1294471	0.2239
E361_242	3.9578638	0.4488745	0.30063
E181_512	1.5509046	-11.089497	0.64025
E210_3	-20.314259	-7.017995	0.0
E373_142	-12.529688	-1.4575484	0.17484
E371_430	1.922617	-7.8352957	0.53711
E334_428	2.1192226	-8.204707	0.53459
E503_213	-12.424436	-1.8452883	0.26415
E148_385	1.8467325	-7.027698	0.4805
E964_225	-2.5817456	-0.48305064	0.27925
E923_185	-12.904365	-2.0316906	0.22893
E337_405	1.3240294	-11.603704	0.50566
E88_222	-2.1482954	0.15137605	0.27547
E90_598	3.8601863	-14.619086	0.74843
E847_177	-12.053474	-1.1167591	0.21887
E853_674	16.052143	3.6979952	0.84403
E642_549	2.9424422	-14.377928	0.68679
E534_5	-20.312296	-6.9547153	0.00252
E146_576	2.0381126	-14.010009	0.72075
E466_545	15.691223	2.8401406	0.68176
E358_522	7.982977	0.57709134	0.65283
E280_385	12.487044	1.5503561	0.4805
E155_769	-2.2184596	13.528474	0.96352
E281_546	15.246702	-0.59873664	0.68302
E189_162	-12.557196	-2.0131202	0.2
E295_451	15.85891	2.642577	0.56352
E237_518	-0.32105473	8.341289	0.6478
E878_241	1.0862551	-2.9162467	0.29937
E839_537	1.1183047	-13.108773	0.6717
E881_687	-1.6705011	16.767542	0.86038
E31_182	-13.296037	-0.44388235	0.22516
E330_369	-0.15312824	2.7681482	0.46038
E870_270	-3.4743438	-0.7979777	0.33585
E810_791	14.904675	3.1722312	0.99119
E595_540	15.446128	2.1194289	0.67547
E867_333	1.3220327	-5.014212	0.41509
E158_131	-13.166432	-2.4201486	0.16101
E463_651	14.445736	2.89849	0.81509
E632_534	2.198674	-8.381394	0.66792
E921_259	-3.0017376	0.014944132	0.32201
E46_504	0.50265485	-14.419905	0.63019
E927_168	-13.833105	-2.2377548	0.20755
E687_438	7.668811	1.068941	0.54717
E554_741	2.4830618	-14.122611	0.9283
E32_502	4.2944064	-13.909081	0.62767
E324_656	14.913921	2.2257576	0.82138
E667_613	-2.510236	15.222884	0.7673
E558_755	-2.0425696	16.896215	0.94591
E834_137	-16.923618	-2.8044221	0.16855
E702_60	-18.821215	-3.093355	0.0717
E283_297	3.1080854	0.601594	0.36981
E986_482	2.8657372	-9.93957	0.60252
E633_663	15.6919155	1.7497414	0.83019
E655_250	-3.5132103	0.93638736	0.31069
E147_740	14.670586	3.0289402	0.92704
E597_281	3.7586305	0.4771401	0.34969
E908_595	15.112128	1.1885973	0.74465
E239_492	7.42192	0.91327894	0.61509
E579_146	-14.857369	-2.6735346	0.17987
E962_446	7.6023107	1.1364341	0.55723
E304_772	-0.0004260886	-14.241397	0.9673
E601_304	-1.2141424	0.5249201	0.37862
E435_501	13.601021	3.086175	0.62642
E293_31	-19.961494	-2.8108938	0.03522
E789_353	1.9727602	-5.1944833	0.44025
E713_287	-3.773417	0.30476362	0.35723
E545_502	1.8186525	-12.037157	0.62767
E561_544	2.7743945	-13.602637	0.6805
E465_505	2.18845	-13.5257225	0.63145
E942_73	-19.127966	-2.5479012	0.08805
E309_179	-13.726874	-1.6380749	0.22138
E913_769	-1.1191667	15.096644	0.96352
E651_385	2.1119733	-8.340155	0.4805
E149_246	-11.83554	-1.7302201	0.30566
E263_724	-1.8599586	14.528452	0.90692
E19_267	-1.7640967	0.5888311	0.33208
E454_331	4.612799	0.30431974	0.41258
E366_152	-13.088717	-2.069275	0.18742
E162_467	-0.36123505	9.084022	0.58365
E946_510	3.0806446	-14.2033615	0.63774
E639_488	1.8337886	-13.503512	0.61006
E472_405	1.9143423	-8.71127	0.50566
E487_588	3.5504184	-14.332743	0.73585
E401_526	0.7372495	-13.358694	0.65786
E614_681	13.877338	1.3194906	0.85283
E994_348	3.3221064	-0.10501238	0.43396
E934_95	-18.398464	-4.1673365	0.11572
E936_37	-19.504267	-2.6866753	0.04277
E874_353	5.549404	0.7601341	0.44025
E900_534	2.8413947	-14.318401	0.66792
E212_393	1.723976	-4.8893733	0.49057
E566_659	-1.363806	13.224646	0.82516
E299_298	1.4761373	-5.6644263	0.37107
E991_788	3.8712873	-14.528136	0.98742
E542_98	-16.626549	-1.0538665	0.1195
E680_572	-3.1156287	14.900036	0.71572
E827_132	-12.930711	-2.7726004	0.16226
E526_559	7.33301	0.881347	0.69937
E592_709	13.270573	2.6444716	0.88805
E989_425	-0.4553159	8.375076	0.53082
E224_61	-19.778149	-3.7977111	0.07296
E513_283	2.4430916	1.6926025	0.3522
E122_396	-0.60972834	2.7406743	0.49434
E812_398	2.191993	-8.299678	0.49686
E476_686	14.435169	0.03021557	0.85912
E400_415	1.6280138	-5.9923406	0.51824
E746_266	1.6948075	-3.8619354	0.33082
E952_492	-0.5145146	8.884599	0.61509
E78_508	-1.930593	13.687066	0.63522
E355_670	-1.6937722	13.787302	0.83899
E907_696	1.7495627	-13.381707	0.8717
E485_263	1.5646592	-5.171476	0.32704
E399_81	-20.120613	-3.349783	0.09811
E287_217	-2.72063	0.8297867	0.26918
E781_235	-2.387916	-0.75799584	0.29182
E427_330	2.2306862	-8.104159	0.41132
E297_692	0.16722405	16.496511	0.86667
