SourceGENES,TargetGENES,Interaction,Edges
Gene  2 ,Gene  1 ,1,activation/repression
Gene  2 ,Gene  8 ,0.885461379111983,activation/repression
Gene  2 ,Gene  4 ,0.762828500422665,activation/repression
Gene  8 ,Gene  1 ,0.387811591506438,activation/repression
Gene  8 ,Gene  2 ,0.334194814722137,activation/repression
Gene  2 ,Gene  7 ,0.196847000739145,activation/repression
Gene  8 ,Gene  6 ,0.112060639413264,activation/repression
Gene  8 ,Gene  5 ,0.0721069017463852,activation/repression
Gene  8 ,Gene  3 ,0.0619098615107822,activation/repression
Gene  1 ,Gene  8 ,0.0331006462553156,activation/repression
Gene  1 ,Gene  2 ,0.0316722669997512,activation/repression
Gene  3 ,Gene  6 ,2.04048330949538e-36,activation/repression
Gene  3 ,Gene  2 ,1.59399002664872e-36,activation/repression
Gene  3 ,Gene  7 ,1.34637401344254e-36,activation/repression
Gene  3 ,Gene  5 ,1.14013618808117e-36,activation/repression
Gene  3 ,Gene  1 ,1.04845413133143e-36,activation/repression
Gene  4 ,Gene  8 ,6.269336663562e-37,activation/repression
Gene  4 ,Gene  2 ,5.32851336275935e-37,activation/repression
Gene  3 ,Gene  8 ,2.1693084559337e-37,activation/repression
Gene  4 ,Gene  3 ,7.78876660868932e-38,activation/repression
Gene  1 ,Gene  1 ,0,no regulation
Gene  1 ,Gene  3 ,0,no regulation
Gene  1 ,Gene  4 ,0,no regulation
Gene  1 ,Gene  5 ,0,no regulation
Gene  1 ,Gene  6 ,0,no regulation
Gene  1 ,Gene  7 ,0,no regulation
Gene  2 ,Gene  2 ,0,no regulation
Gene  2 ,Gene  3 ,0,no regulation
Gene  2 ,Gene  5 ,0,no regulation
Gene  2 ,Gene  6 ,0,no regulation
Gene  3 ,Gene  3 ,0,no regulation
Gene  3 ,Gene  4 ,0,no regulation
Gene  4 ,Gene  1 ,0,no regulation
Gene  4 ,Gene  4 ,0,no regulation
Gene  4 ,Gene  5 ,0,no regulation
Gene  4 ,Gene  6 ,0,no regulation
Gene  4 ,Gene  7 ,0,no regulation
Gene  5 ,Gene  1 ,0,no regulation
Gene  5 ,Gene  2 ,0,no regulation
Gene  5 ,Gene  3 ,0,no regulation
Gene  5 ,Gene  4 ,0,no regulation
Gene  5 ,Gene  5 ,0,no regulation
Gene  5 ,Gene  6 ,0,no regulation
Gene  5 ,Gene  7 ,0,no regulation
Gene  5 ,Gene  8 ,0,no regulation
Gene  6 ,Gene  1 ,0,no regulation
Gene  6 ,Gene  2 ,0,no regulation
Gene  6 ,Gene  3 ,0,no regulation
Gene  6 ,Gene  4 ,0,no regulation
Gene  6 ,Gene  5 ,0,no regulation
Gene  6 ,Gene  6 ,0,no regulation
Gene  6 ,Gene  7 ,0,no regulation
Gene  6 ,Gene  8 ,0,no regulation
Gene  7 ,Gene  1 ,0,no regulation
Gene  7 ,Gene  2 ,0,no regulation
Gene  7 ,Gene  3 ,0,no regulation
Gene  7 ,Gene  4 ,0,no regulation
Gene  7 ,Gene  5 ,0,no regulation
Gene  7 ,Gene  6 ,0,no regulation
Gene  7 ,Gene  7 ,0,no regulation
Gene  7 ,Gene  8 ,0,no regulation
Gene  8 ,Gene  4 ,0,no regulation
Gene  8 ,Gene  7 ,0,no regulation
Gene  8 ,Gene  8 ,0,no regulation
