,PseudoTime1,PseudoTime2
E605_196,0.19559,NA
E863_560,0.56068,NA
E52_399,NA,0.3992
E13_131,NA,0.13039
E146_164,0.16349,NA
E760_760,0.76128,NA
E353_929,NA,0.93079
E297_665,0.666,NA
E637_805,NA,0.80642
E783_683,NA,0.68405
E420_938,0.93982,NA
E275_332,NA,0.332
E124_882,0.88365,NA
E175_839,NA,0.84052
E694_540,NA,0.54062
E314_749,NA,0.75025
E323_605,NA,0.60582
E443_495,0.49549,NA
E10_104,0.10331,NA
E544_552,0.55266,NA
E903_572,NA,0.57272
E892_825,0.82648,NA
E226_281,NA,0.28084
E998_466,NA,0.4664
E651_718,NA,0.71916
E394_153,0.15246,NA
E276_625,NA,0.62588
E462_483,NA,0.48345
E196_842,NA,0.84353
E671_338,NA,0.33801
E246_962,0.96389,NA
E702_512,0.51254,NA
E155_220,NA,0.21966
E467_455,0.45537,NA
E622_124,NA,0.12337
E322_139,NA,0.13842
E543_251,0.25075,NA
E887_360,0.36008,NA
E148_118,NA,0.11735
E255_976,NA,0.97793
E14_307,NA,0.30692
E82_897,NA,0.8987
E11_364,NA,0.36409
E782_941,0.94283,NA
E710_823,NA,0.82447
E141_834,NA,0.83551
E430_761,NA,0.76229
E726_976,NA,0.97793
E245_582,NA,0.58275
E499_324,NA,0.32397
E604_105,0.10431,NA
E86_258,NA,0.25777
E880_695,0.69609,NA
E952_626,NA,0.62688
E104_906,NA,0.90772
E871_476,NA,0.47643
E84_610,0.61083,NA
E772_998,1.0,NA
E561_957,NA,0.95888
E153_736,0.73721,NA
E774_64,NA,0.06319
E93_761,NA,0.76229
E0_973,NA,0.97492
E269_866,NA,0.8676
E8_142,0.14142,NA
E685_12,NA,0.01103
E283_108,NA,0.10732
E930_169,NA,0.16851
E178_242,NA,0.24173
E775_377,0.37713,NA
E399_947,NA,0.94885
E168_922,0.92377,NA
E67_387,NA,0.38716
E818_47,NA,0.04614
E836_225,0.22467,NA
E384_642,0.64293,NA
E851_52,0.05115,NA
E125_871,0.87262,NA
E331_334,NA,0.334
E655_531,0.53159,NA
E979_34,NA,0.0331
E963_764,NA,0.7653
E553_208,NA,0.20762
E845_133,0.1324,NA
E53_855,NA,0.85657
E828_697,0.69809,NA
E872_323,NA,0.32297
E890_6,NA,0.00502
E110_495,NA,0.49549
E133_715,NA,0.71615
E109_723,NA,0.72417
E303_96,NA,0.09529
E769_971,0.97292,NA
E893_954,0.95587,NA
E366_286,0.28586,NA
E95_504,NA,0.50451
E672_891,0.89268,NA
E446_756,0.75727,NA
E860_371,NA,0.37111
E74_438,NA,0.43831
E185_660,NA,0.66098
E743_832,NA,0.8335
E850_613,0.61384,NA
E855_892,0.89368,NA
E376_148,NA,0.14744
E171_714,NA,0.71515
E129_662,NA,0.66299
E291_616,0.61685,NA
E338_12,NA,0.01103
E461_120,0.11936,NA
E397_18,NA,0.01705
E645_449,NA,0.44935
E816_946,NA,0.94784
E289_859,0.86058,NA
E641_794,0.79539,NA
E597_854,0.85557,NA
E414_759,NA,0.76028
E16_894,NA,0.89569
E150_987,NA,0.98897
E42_10,NA,0.00903
E138_160,NA,0.15948
E598_460,NA,0.46038
E160_233,NA,0.2327
E524_436,NA,0.43631
E915_605,0.60582,NA
E272_502,NA,0.50251
E121_117,0.11635,NA
E722_698,NA,0.6991
E692_134,NA,0.1334
E324_408,0.40822,NA
E117_416,0.41625,NA
E794_383,NA,0.38315
E63_860,NA,0.86158
E594_650,NA,0.65095
E686_747,0.74824,NA
E206_567,0.5677,NA
E169_576,0.57673,NA
E341_529,NA,0.52959
E34_276,NA,0.27583
E156_52,0.05115,NA
E334_947,NA,0.94885
E773_326,0.32598,NA
E638_661,NA,0.66199
E763_492,0.49248,NA
E967_733,0.7342,NA
E390_727,0.72818,NA
E986_655,NA,0.65597
E558_51,0.05015,NA
E277_422,0.42227,NA
E278_391,NA,0.39117
E71_775,0.77633,NA
E804_109,NA,0.10832
E2_891,NA,0.89268
E576_238,0.23771,NA
E300_712,NA,0.71314
E369_800,NA,0.8014
E41_437,0.43731,NA
E784_523,NA,0.52357
E468_230,0.22969,NA
E976_868,0.86961,NA
E370_556,0.55667,NA
E447_276,NA,0.27583
E788_604,NA,0.60481
E284_756,NA,0.75727
E684_44,NA,0.04313
E29_170,0.16951,NA
E737_429,0.42929,NA
E897_525,NA,0.52558
E240_74,NA,0.07322
E510_76,0.07523,NA
E606_932,0.9338,NA
E971_712,NA,0.71314
E670_170,0.16951,NA
E936_698,0.6991,NA
E305_445,NA,0.44534
E714_739,NA,0.74022
E546_864,NA,0.8656
E312_338,NA,0.33801
E85_994,NA,0.99599
E770_789,NA,0.79037
E466_375,NA,0.37513
E410_670,NA,0.67101
E144_805,NA,0.80642
E463_384,0.38415,NA
E172_99,0.09829,NA
E879_180,0.17954,NA
E549_949,NA,0.95085
E116_812,NA,0.81344
E601_536,0.53661,NA
E478_713,0.71414,NA
E512_447,0.44734,NA
E405_713,NA,0.71414
E751_113,NA,0.11234
E690_259,NA,0.25878
E779_657,0.65797,NA
E768_418,0.41825,NA
E218_773,NA,0.77432
E870_549,NA,0.54965
E911_568,NA,0.56871
E199_273,NA,0.27282
E682_680,NA,0.68104
E595_292,0.29188,NA
E583_317,NA,0.31695
E697_520,NA,0.52056
E795_45,NA,0.04413
E313_175,0.17452,NA
E489_416,0.41625,NA
E803_280,0.27984,NA
E242_989,NA,0.99097
E69_318,0.31795,NA
E949_186,0.18556,NA
E873_152,NA,0.15145
E895_837,NA,0.83852
E896_439,0.43932,NA
E854_439,NA,0.43932
E412_167,0.1665,NA
E867_929,0.93079,NA
E140_910,0.91174,NA
