	dim1	dim2	pt
E862_290	-2.772866	-5.46658	0.28873
E653_49	-5.5728645	-18.303396	0.04628
E307_730	-8.67691	11.811559	0.73139
E293_879	-8.831591	18.866207	0.88129
E361_838	-9.754708	17.52627	0.84004
E227_313	-4.313131	-7.6354837	0.31187
E518_22	-3.9658122	-18.878807	0.01911
E598_323	-3.776575	-2.5361807	0.32193
E833_642	13.546677	1.250362	0.64286
E60_961	20.030058	3.528969	0.96378
E922_741	13.955795	1.1614745	0.74245
E474_212	-2.8669338	-7.855034	0.21026
E482_829	18.765615	4.6447825	0.83099
E602_853	-9.3290415	12.416827	0.85513
E43_760	-8.366065	11.771623	0.76157
E877_976	19.425097	5.0012717	0.97887
E248_665	14.06346	0.7449784	0.666
E734_709	-8.643964	12.083874	0.71026
E817_530	8.384653	-1.5313164	0.53018
E929_879	-9.84437	18.369167	0.88129
E998_475	-7.434079	3.1383133	0.47485
E71_618	12.192995	0.26162174	0.61871
E783_840	-10.908597	19.367891	0.84205
E205_639	-8.32225	8.918757	0.63984
E954_457	-6.239759	1.7347323	0.45674
E859_988	18.93596	3.7397814	0.99095
E566_184	-3.0311737	-15.212345	0.18209
E569_388	5.1167216	-3.4037442	0.38732
E332_220	-4.124797	-6.8071537	0.21831
E212_663	-8.043314	8.617637	0.66398
E115_672	-8.194463	12.027312	0.67304
E299_173	-2.775791	-8.871175	0.17103
E806_441	5.4214816	-3.7487264	0.44064
E296_648	-8.661842	11.918739	0.64889
E562_544	-6.0913367	2.5944777	0.54427
E187_20	-5.4253845	-19.337902	0.0171
E836_584	13.096159	0.6937609	0.58451
E444_935	18.910652	5.0359836	0.93763
E761_478	-5.8877664	4.234286	0.47787
E981_246	-2.6380656	-7.688018	0.24447
E957_703	15.043273	2.1577618	0.70423
E15_217	-3.2050893	-7.669664	0.21529
E692_65	-4.4261236	-18.006052	0.06237
E154_289	-2.1316633	-6.8343396	0.28773
E780_420	-6.255878	4.0994577	0.41952
E471_749	-9.007525	15.762574	0.7505
E133_479	-7.8371444	6.221726	0.47887
E30_532	6.466664	-2.2761688	0.53219
E888_216	-3.4023128	-8.214276	0.21429
E454_327	2.8120437	-3.4306679	0.32596
E153_501	3.5232892	-3.658792	0.50101
E645_78	-4.9401803	-18.545235	0.07545
E186_690	12.030278	0.76456577	0.69115
E453_65	-4.0970535	-19.006712	0.06237
E381_155	-3.9060423	-13.676023	0.15292
E872_166	-3.969824	-13.219205	0.16398
E193_3	-3.7642305	-21.597216	0.0
E591_789	-9.607079	19.390234	0.79074
E818_36	-5.636663	-18.997046	0.0332
E254_577	-7.3383017	7.079483	0.57746
E131_991	16.591038	2.8275316	0.99396
E997_547	-7.5033817	5.984124	0.54728
E478_577	7.3762436	-1.7969408	0.57746
E283_983	-9.098077	19.214003	0.98592
E764_930	-9.380159	18.960682	0.9326
E989_204	-4.015821	-7.513398	0.20221
E118_714	-9.150381	13.895816	0.71529
E405_310	-3.3669965	-5.962842	0.30885
E646_375	-1.731574	-1.7473397	0.37425
E240_662	-6.5500064	6.2505717	0.66298
E447_975	-9.40863	18.613832	0.97787
E423_858	-10.135929	18.52641	0.86016
E496_447	6.1095133	-2.4866989	0.44668
E607_897	18.75504	4.002806	0.8994
E768_925	19.583664	4.729227	0.92757
E856_792	-9.779456	18.688782	0.79376
E875_16	-4.4568253	-20.098032	0.01308
E823_374	-3.3033946	-2.8342862	0.37324
E428_646	10.268086	-0.17671233	0.64688
E894_60	-4.1171136	-19.48069	0.05734
E446_639	14.840588	1.990951	0.63984
E445_546	4.206763	-2.8173573	0.54628
E42_323	-2.4411094	-5.4923935	0.32193
E559_939	-8.409248	12.692397	0.94165
E796_555	-7.6852	5.950069	0.55533
E715_217	-3.0716121	-9.00624	0.21529
E613_374	-4.9810905	-1.3020394	0.37324
E536_844	18.342907	4.7907114	0.84608
E917_130	-4.605528	-14.225329	0.12777
E147_400	-6.2947693	2.1540213	0.3994
E526_882	19.44758	5.001484	0.88431
E116_753	-9.28442	13.882549	0.75453
E389_443	7.3419194	-2.1878328	0.44266
E511_542	-6.989652	4.976719	0.54225
E737_664	11.854814	-0.55885226	0.66499
E662_207	-3.6476886	-9.040067	0.20523
E691_513	-8.069718	6.693833	0.51308
E979_284	-4.317343	-1.7241759	0.2827
E364_824	-9.064314	18.298462	0.82596
E515_814	-9.156207	18.38621	0.8159
E338_261	-3.3563075	-5.591622	0.25956
E808_269	-3.814406	-6.902819	0.26761
E190_720	15.822021	2.5613537	0.72133
E315_410	2.355117	-4.6418386	0.40946
E462_36	-4.3173504	-18.15252	0.0332
E714_146	-3.774666	-15.092979	0.14386
E424_641	13.570426	0.5603758	0.64185
E398_584	-7.4806924	6.991513	0.58451
E950_505	-6.4416924	2.648348	0.50503
E666_127	-4.3261194	-15.357796	0.12475
E353_835	-9.868782	17.997826	0.83702
E832_434	5.485155	-3.781142	0.4336
E712_492	7.96194	-1.7483809	0.49195
E455_314	-4.9545183	-1.8424709	0.31288
E436_349	2.8347704	-4.884099	0.34809
E775_278	-1.12229	-4.2679167	0.27666
E604_540	8.346897	-1.7453848	0.54024
E708_410	-4.491433	2.56445	0.40946
E970_290	-0.034840498	-5.5071793	0.28873
E247_52	-4.1998124	-19.412933	0.0493
E837_128	-4.221489	-14.6671295	0.12575
E799_562	-7.172219	5.929937	0.56237
E223_537	9.907572	-0.8495988	0.53722
E376_385	-4.2072406	-1.5986024	0.38431
E959_791	-8.091352	11.806835	0.79276
E237_500	7.068106	-2.2472696	0.5
E623_587	-7.5114617	8.220156	0.58753
E468_387	2.9033165	-4.3377285	0.38632
E249_600	-7.747381	8.497196	0.6006
E355_687	-8.8408375	9.8397045	0.68813
E425_240	-3.4971576	-8.814121	0.23843
E487_771	-9.542396	14.299633	0.77264
E347_342	-3.4231524	-3.1703708	0.34105
E535_735	-7.405536	9.387921	0.73642
E322_978	-10.17677	19.589989	0.98089
E510_313	1.8453546	-3.2083704	0.31187
E961_649	9.179719	-1.4761198	0.6499
E421_736	13.490409	1.1294789	0.73742
E864_489	10.380013	-2.058228	0.48893
E790_915	-9.78423	18.553621	0.91751
E735_974	-11.151783	19.109663	0.97686
E373_374	-6.0668163	2.1310124	0.37324
E757_495	5.2010527	-3.8687272	0.49497
E341_341	-4.6040545	-1.5803748	0.34004
E557_889	19.40865	4.1647906	0.89135
E840_265	-3.0457263	-7.4390326	0.26358
E46_818	-10.189602	17.957401	0.81992
E396_438	4.7384377	-3.3366685	0.43763
E834_710	-7.3986855	9.257397	0.71127
E466_347	-3.697777	-2.6384594	0.34608
E352_156	-4.8092165	-14.924928	0.15392
E100_595	-7.8784995	9.857206	0.59557
E152_96	-4.2786503	-17.914522	0.09356
E461_872	18.493912	3.898493	0.87425
E986_245	-4.3977413	-2.8745847	0.24346
E224_868	-10.108285	19.404896	0.87022
E50_766	17.095688	3.1937363	0.76761
E429_260	-3.6472445	-6.816367	0.25855
E417_961	-9.287307	15.025211	0.96378
E388_14	-4.4955215	-20.723476	0.01107
E885_329	-3.6898074	-2.6569755	0.32797
E940_929	19.445154	4.9473443	0.93159
E87_903	12.4588375	0.22581705	0.90543
E88_372	5.1019287	-3.7499533	0.37123
E391_46	-4.2471333	-19.210503	0.04326
E639_39	-4.661564	-19.558481	0.03622
E475_226	-2.8472722	-7.270459	0.22435
E677_234	-3.1418536	-8.099127	0.23239
E918_102	-4.749204	-19.949366	0.0996
E926_305	2.2242565	-5.136596	0.30382
E229_213	-4.326458	-12.011507	0.21127
E378_744	-8.579554	10.797388	0.74547
E882_476	-6.9769306	4.70509	0.47586
E385_250	-2.7806194	-3.6740153	0.24849
E661_686	15.709731	2.551951	0.68712
E129_447	-6.03246	3.3905776	0.44668
E756_541	-7.2120585	4.997121	0.54125
E688_936	-9.353829	15.57813	0.93863
E570_190	-3.3304458	-10.78468	0.18813
E415_797	-9.244653	14.947669	0.79879
E264_971	-10.167759	18.18334	0.97384
E456_950	-3.4569767	-13.201443	0.95272
E261_884	18.543514	5.3033566	0.88632
E674_739	-8.453569	9.919324	0.74044
E937_248	-2.6875427	-7.4536285	0.24648
E4_856	15.634591	2.6951714	0.85815
E489_686	11.7560005	-0.29003015	0.68712
E79_296	-3.2001417	-5.9795938	0.29477
E643_656	-7.9545174	8.618716	0.65694
E310_600	-7.8926325	7.964292	0.6006
E848_376	-4.421376	-1.0140026	0.37525
E59_609	-7.3764505	6.1029267	0.60966
E370_967	19.43978	5.356334	0.96982
E20_652	13.059612	0.33497816	0.65292
E301_640	-3.3833814	-2.1650205	0.64085
E175_388	-4.0014324	-3.2572412	0.38732
E696_222	-2.4407718	-7.0889735	0.22032
E104_424	-6.229983	2.756988	0.42354
E810_951	-10.962183	18.971088	0.95372
E202_558	8.72373	-1.4574097	0.55835
E784_753	-7.731286	9.115622	0.75453
E377_939	-10.583487	19.111322	0.94165
E382_633	-8.203295	8.9508705	0.6338
E246_393	4.2220597	-2.7485266	0.39235
E304_47	-4.125492	-20.982414	0.04427
E519_682	-7.8374567	7.428198	0.6831
E465_254	-1.1455332	-5.838143	0.25252
E494_872	17.749434	4.7780166	0.87425
E880_432	5.3209257	-3.3627691	0.43159
E610_104	-5.1712036	-19.927126	0.10161
E17_925	-9.6354	18.381836	0.92757
E245_214	-2.5822031	-7.887561	0.21227
E916_284	2.2631798	-4.5942173	0.2827
E250_481	5.2208705	-3.630237	0.48089
E136_951	-9.627896	19.770044	0.95372
E973_79	-5.163551	-17.503777	0.07646
E968_532	10.810675	-0.9964769	0.53219
E432_448	8.317306	-1.4331772	0.44769
E788_795	-10.02124	18.541588	0.79678
E148_709	-7.908846	9.817242	0.71026
E887_504	1.8552691	-5.141051	0.50402
E771_275	-3.889575	-7.1056724	0.27364
E897_655	-9.10234	14.693956	0.65594
E703_543	9.084729	-1.4389354	0.54326
E811_997	18.947412	4.04372	1.0
E685_647	-8.872265	12.093418	0.64789
E776_121	-4.4598994	-16.819046	0.11871
E77_170	-3.9965184	-7.738471	0.16801
E991_124	-3.9765604	-14.384573	0.12173
E782_307	1.5303376	-4.999186	0.30584
E987_116	-5.529067	-18.661095	0.11368
E915_84	-3.290681	-18.403671	0.08149
E95_653	-8.38393	11.32809	0.65392
E291_179	-4.1405206	-13.643182	0.17706
E111_320	2.6418462	-3.223547	0.31891
E794_413	-4.051244	-1.7220838	0.41247
E969_625	11.134271	0.12204778	0.62575
E657_729	15.038592	2.7214093	0.73038
E75_644	9.146644	-1.2238585	0.64487
E219_377	2.3372543	-4.5613313	0.37626
E551_345	4.4008503	-3.7627676	0.34406
E866_803	-9.045235	13.490865	0.80483
E252_804	16.782967	3.4484537	0.80584
E420_488	9.040437	-1.5022613	0.48793
E963_607	-6.821145	6.2166715	0.60765
E501_414	-4.886938	-1.0323368	0.41348
E984_26	-4.433712	-20.382145	0.02314
E671_68	-5.622421	-18.590836	0.06539
E344_314	-4.240271	-2.0937397	0.31288
E327_465	-4.03085	-1.3828601	0.46479
E298_718	15.788044	2.3542707	0.71932
E593_689	-8.631488	12.058284	0.69014
E218_719	-8.514296	11.930304	0.72032
E698_419	4.090625	-3.1273606	0.41851
E996_957	-9.596973	18.175606	0.95976
E393_74	-5.3132334	-17.57157	0.07143
E73_265	-3.747469	-11.5960865	0.26358
E356_784	-10.397874	19.693884	0.78571
E900_368	2.0115929	-3.1593356	0.3672
E914_331	-4.0247836	-7.0741043	0.32998
E992_431	-5.88432	1.0515623	0.43058
E684_872	-9.45474	14.858423	0.87425
E486_787	-9.062609	12.745081	0.78873
E550_389	-4.7584944	-1.6105663	0.38833
E577_700	12.456985	0.88738817	0.70121
E576_772	18.106562	3.4639761	0.77364
E163_974	-9.103327	19.330597	0.97686
E622_230	-3.9841895	-2.6938872	0.22837
E522_495	8.952416	-0.85228753	0.49497
E257_856	-9.6790695	17.620573	0.85815
E802_839	-10.592037	18.823713	0.84105
E188_208	-3.3505895	-7.3867927	0.20624
E178_904	-9.916336	18.96293	0.90644
E180_511	9.022121	-1.2438229	0.51107
E599_833	19.437143	3.674297	0.83501
E835_587	-7.237129	4.7634954	0.58753
E221_985	18.93827	3.4330113	0.98793
E583_996	-10.243519	19.263668	0.99899
E868_151	-3.8341362	-13.046087	0.14889
E112_564	-8.211505	6.666977	0.56439
E74_271	-2.383037	-6.2649255	0.26962
E521_403	2.7257657	-4.491384	0.40241
