	dim1	dim2	pt
E464_253	0.16689868	-21.762451	0.1479952830188679
E194_1539	8.870179	14.760135	0.90625
E228_186	-2.3923097	-25.454683	0.1084905660377358
E274_1105	9.1311	15.149857	0.6503537735849056
E553_860	1.8429705	6.1019397	0.5058962264150944
E741_34	-3.8051043	-28.860706	0.0188679245283018
E116_1365	-6.5834093	24.045025	0.8036556603773585
E557_1621	9.118641	15.997912	0.9545990566037736
E591_1245	-9.806968	21.591211	0.7329009433962265
E568_1422	9.097972	16.131819	0.8372641509433962
E198_1350	8.420388	15.088728	0.7948113207547169
E966_339	0.91876906	-16.641111	0.1987028301886792
E584_1347	7.8306074	15.640711	0.7930424528301887
E143_306	-0.59485304	-19.26999	0.1792452830188679
E680_846	4.297294	0.61865383	0.4976415094339622
E281_541	3.9221845	-9.138298	0.3178066037735849
E951_378	0.05578996	-17.006989	0.2216981132075471
E834_618	3.4760153	-8.360782	0.3632075471698113
E498_1024	-0.83948463	11.878744	0.6025943396226415
E107_294	0.82286865	-17.538004	0.1721698113207547
E856_767	4.096958	1.2644061	0.451061320754717
E870_498	3.474237	-9.66604	0.2924528301886792
E179_783	4.591748	-0.14917386	0.4604952830188679
E847_125	-2.7121851	-26.57643	0.0725235849056603
E219_459	3.8559482	-8.005348	0.2694575471698113
E232_736	4.0224237	-0.60479236	0.4327830188679245
E171_961	-2.6583183	13.688239	0.5654481132075472
E877_837	1.9800695	6.0576205	0.4923349056603773
E398_901	2.0749123	6.0225983	0.5300707547169812
E715_973	3.1749957	4.059886	0.5725235849056604
E104_466	2.7630587	-9.488619	0.2735849056603773
E925_1186	-2.668578	14.253857	0.6981132075471698
E468_419	1.070068	-16.249668	0.2458726415094339
E936_88	-2.4969444	-26.249264	0.0507075471698113
E354_1465	8.988652	17.422178	0.8626179245283019
E571_722	4.96066	-5.547073	0.4245283018867924
E977_1691	-3.4701114	22.468475	0.995872641509434
E675_1479	-5.255011	19.38612	0.870872641509434
E43_915	2.6749296	5.0726876	0.5383254716981132
E120_1096	9.599036	15.352867	0.6450471698113207
E458_622	3.7347186	-6.101386	0.365566037735849
E510_152	-1.830379	-24.844824	0.088443396226415
E339_1675	9.079947	16.520494	0.9864386792452832
E358_1206	9.571428	17.465208	0.7099056603773585
E22_1186	8.990526	15.623589	0.6981132075471698
E433_1427	-9.15127	20.808748	0.8402122641509434
E645_1219	9.717321	16.442554	0.7175707547169812
E333_270	-0.6386375	-18.904245	0.1580188679245283
E211_928	1.8887978	7.3247814	0.5459905660377359
E894_476	2.5071666	-12.472262	0.2794811320754717
E241_1491	-5.9801445	25.251581	0.8779481132075472
E78_750	5.640105	0.24977782	0.4410377358490566
E857_588	3.877285	-9.944475	0.3455188679245283
E285_460	2.8399785	-12.966332	0.2700471698113207
E766_118	-4.750795	-27.19412	0.0683962264150943
E889_1522	-9.210506	21.783943	0.8962264150943396
E162_399	1.190073	-17.745039	0.2340801886792453
E623_846	3.1058955	3.507119	0.4976415094339622
E822_1604	-5.8241215	20.013514	0.9445754716981132
E197_34	-3.5230055	-28.32508	0.0188679245283018
E731_1055	2.6452553	3.8736522	0.620872641509434
E683_1066	-1.8012702	12.881456	0.6273584905660378
E978_728	4.8704433	-3.6751478	0.428066037735849
E799_711	3.587171	-6.597121	0.4180424528301887
E944_138	-3.305344	-25.382889	0.080188679245283
E420_1141	-0.54116887	11.082607	0.6715801886792453
E749_1209	-8.972378	20.903286	0.7116745283018868
E175_234	-0.8086722	-20.567461	0.1367924528301886
E778_919	-2.90901	14.11227	0.5406839622641509
E436_157	-3.0070462	-25.350508	0.0913915094339622
E781_1653	-6.1040063	20.83029	0.9734669811320756
E868_441	3.4949896	-8.663017	0.2588443396226415
E73_1468	-9.128303	21.323408	0.8643867924528302
E268_611	3.5616872	-5.940849	0.3590801886792453
E226_642	-2.936979	13.943911	0.3773584905660377
E466_170	-2.60469	-25.190815	0.0990566037735849
E965_527	3.6154048	-9.541665	0.3095518867924528
E447_850	3.462677	4.22151	0.5
E457_990	-1.6988823	13.260686	0.5825471698113207
E895_1661	-6.8498554	19.371687	0.9781839622641508
E620_952	-0.1569774	10.5417795	0.5601415094339622
E740_1645	9.102662	15.961684	0.96875
E288_1093	-3.411209	14.914237	0.6432783018867925
E562_1570	-5.669337	20.448284	0.9245283018867924
E750_529	3.0666928	-8.98063	0.3107311320754717
E643_328	0.46024132	-18.06986	0.1922169811320754
E625_8	-4.379775	-29.61649	0.0035377358490566
E295_71	-3.2707493	-27.701292	0.0406839622641509
E898_160	-2.7057586	-25.432554	0.0931603773584905
E66_841	3.346329	5.639021	0.4946933962264151
E24_1142	-1.8002925	12.796581	0.6721698113207547
E629_1456	-9.576061	21.246706	0.8573113207547169
E294_253	-0.53929377	-22.138393	0.1479952830188679
E63_315	1.0020908	-17.320185	0.1845518867924528
E595_1051	-0.81505686	11.422312	0.6185141509433962
E787_959	0.47033578	10.103844	0.5642688679245284
E180_1403	8.802524	16.605566	0.8260613207547169
E491_1577	-7.045164	22.297894	0.9286556603773584
E532_1605	-6.80981	19.16636	0.9451650943396226
E441_266	-0.3483004	-20.24434	0.1556603773584905
E814_1693	-5.9531245	21.46567	0.9970518867924528
E708_313	-1.4572499	-22.316935	0.1833726415094339
E450_1627	-9.716784	21.107521	0.9581367924528302
E927_31	-4.3800282	-27.684032	0.0170990566037735
E950_176	-0.07426344	-21.65376	0.1025943396226415
E507_1082	-0.13765536	10.967359	0.6367924528301887
E903_360	0.14552934	-17.210077	0.2110849056603773
E356_148	-3.2531488	-26.349092	0.0860849056603773
E635_863	4.282123	3.563151	0.5076650943396226
E517_1478	-5.9294357	20.032602	0.8702830188679245
E28_1496	-5.670496	25.267275	0.8808962264150944
E904_42	-4.531369	-28.49233	0.0235849056603773
E761_1116	-7.048234	20.711521	0.6568396226415094
E533_73	-4.1449323	-28.776178	0.0418632075471698
E92_1538	-5.781219	22.635675	0.9056603773584906
E169_248	-0.01756811	-20.661535	0.1450471698113207
E685_1373	-4.7917976	19.363932	0.808372641509434
E57_741	5.499488	-0.5613091	0.4357311320754717
E149_955	1.8145847	6.992231	0.5619103773584906
E582_892	-7.572028	23.730867	0.5247641509433962
E914_667	4.820739	-5.2546124	0.3920990566037736
E719_257	0.24628747	-18.681856	0.1503537735849056
E519_175	-2.2918506	-24.698046	0.102004716981132
E477_850	2.8400223	6.1656528	0.5
E563_51	-3.5675445	-28.651264	0.0288915094339622
E654_867	4.4836116	0.3454999	0.5100235849056604
E534_1613	9.03198	17.512505	0.949882075471698
E511_435	2.4370577	-11.822119	0.2553066037735849
E291_1565	8.570402	15.71328	0.9215801886792452
E786_175	-0.07691663	-22.459284	0.102004716981132
E407_851	4.177577	0.44164312	0.5005896226415094
E655_988	3.2906632	4.1806746	0.5813679245283019
E148_1042	-3.5133703	15.514525	0.6132075471698113
E318_1146	-2.7304156	15.141128	0.6745283018867925
E287_1005	-3.3381355	16.000067	0.5913915094339622
E910_1169	9.465959	15.409281	0.6880896226415094
E812_1338	-8.10825	24.633305	0.7877358490566038
E47_1029	-3.669818	14.603987	0.6055424528301887
