	dim1	dim2	pt
E786_1026	5.550392	-5.318959	0.6047197640117994
E999_1276	-0.97277725	-18.285656	0.7522123893805309
E818_833	6.052934	3.5475378	0.4908554572271386
E304_1122	-17.699623	21.024326	0.6613569321533923
E273_1017	2.7220132	-10.508055	0.5994100294985251
E87_28	-15.88775	20.984163	0.015929203539823
E940_952	5.758712	-3.3671067	0.5610619469026549
E534_4	-17.469954	21.053482	0.0017699115044247
E886_10	-16.796976	21.35413	0.0053097345132743
E439_744	5.523189	4.708823	0.4383480825958702
E645_1458	14.846883	-7.887155	0.8595870206489675
E801_1380	-1.2401861	-16.528404	0.8135693215339233
E198_714	6.7875476	3.8942904	0.4206489675516224
E589_581	2.718644	12.467204	0.3421828908554572
E920_984	4.862553	-7.630938	0.5799410029498525
E868_344	-1.196708	14.933718	0.2023598820058997
E420_1691	-4.0928106	-16.878204	0.9970501474926252
E952_266	-6.0587845	17.361816	0.1563421828908554
E613_1559	-3.327738	-18.019823	0.9191740412979352
E177_799	6.477691	1.2440588	0.4707964601769911
E433_255	-8.924998	18.922659	0.1498525073746312
E393_226	-11.903895	21.393326	0.1327433628318584
E443_1467	15.370695	-7.6542387	0.8648967551622418
E150_184	-12.301388	20.053387	0.1079646017699115
E220_1331	-0.1967954	-20.201672	0.7846607669616519
E394_305	-6.467964	17.677029	0.1793510324483775
E435_680	6.009447	7.041869	0.4005899705014749
E863_480	-0.76592386	14.704134	0.2825958702064897
E219_822	5.3202195	-3.9860227	0.4843657817109144
E278_721	5.1025486	6.6453753	0.4247787610619469
E387_1126	6.1423674	-2.3897457	0.6637168141592921
E343_609	2.1403081	11.862293	0.3587020648967551
E747_745	5.376412	5.995167	0.4389380530973451
E819_935	4.734321	-6.4619684	0.5510324483775811
E206_1006	6.1173987	-0.24238536	0.5929203539823009
E342_194	-9.888869	19.898382	0.1138643067846607
E299_1151	-1.8675611	-15.628955	0.6784660766961652
E183_1530	15.738316	-5.3325877	0.9020648967551622
E979_329	-2.2323143	16.387163	0.1935103244837758
E669_1567	-4.0889273	-16.227482	0.9238938053097344
E242_1227	15.7366295	-5.71384	0.7233038348082595
E438_1615	15.706021	-6.283243	0.952212389380531
E789_1015	4.783327	-6.9047675	0.5982300884955752
E107_1428	-2.1063821	-19.193035	0.8418879056047197
E969_566	2.5381918	12.995896	0.3333333333333333
E16_20	-17.051037	20.915209	0.0112094395280235
E605_244	-8.945942	20.103056	0.1433628318584071
E222_325	-5.9481783	18.001995	0.1911504424778761
E989_1218	-1.3223991	-13.680852	0.7179941002949852
E68_1253	-2.4736161	-19.799965	0.7386430678466077
E743_914	5.3441224	-6.4205303	0.5386430678466076
E156_1186	14.895742	-7.208655	0.6991150442477876
E270_1560	14.690682	-7.508635	0.91976401179941
E803_1243	-4.57591	-17.339592	0.7327433628318584
E145_60	-15.204913	21.78182	0.0348082595870206
E995_303	-5.866467	19.146072	0.1781710914454277
E328_1389	15.252661	-5.6865697	0.8188790560471977
E651_622	3.5437665	10.728073	0.3663716814159292
E66_240	-8.58657	20.011446	0.1410029498525074
E814_856	6.252615	-0.3945309	0.504424778761062
E972_675	3.8628485	9.503287	0.3976401179941003
E21_1065	4.976067	-8.531898	0.6277286135693215
E175_1185	14.707022	-7.530758	0.6985250737463127
E78_1067	2.9783704	-9.851237	0.6289085545722713
E84_163	-12.208789	20.194456	0.095575221238938
E465_1562	-2.0578928	-16.105082	0.92094395280236
E37_86	-16.015821	21.21499	0.0501474926253687
E359_111	-12.402134	21.385635	0.0648967551622418
E773_1013	6.0012813	-2.974458	0.5970501474926254
E485_973	5.6975927	-3.532634	0.5734513274336284
E727_1120	-0.7491277	-18.12015	0.6601769911504425
E687_1053	3.7899692	-7.866343	0.6206489675516225
E463_855	6.6296287	1.8948133	0.503834808259587
E862_1534	-1.3190508	-20.585087	0.904424778761062
E366_1565	15.232502	-8.912757	0.9227138643067848
E486_11	-16.983658	20.931242	0.0058997050147492
E326_83	-15.0117035	21.59141	0.0483775811209439
E400_519	1.682788	13.60822	0.3056047197640118
E310_420	-3.2626572	17.265095	0.2471976401179941
E38_1009	2.282957	-10.673759	0.5946902654867257
E142_1007	5.9943748	-4.142133	0.5935103244837758
