TE	Aff3	Arid1b	Bach1	Bach2	Baz2b	Bcl11a	Cebpa	Cebpe	Clock	Creb5	Crebl2	Crebrf	Dach1	Ebf1	Erg	Ets1	Fosb	Foxn3	Foxo1	Foxo3	Gata1	Gata2	Gata3	Gfi1	Gfi1b	Hivep2	Hivep3	Hlf	Hmga2	Hoxa7	Hoxa9	Hoxb3	Ikzf2	Irf7	Irf8	Irf9	Junb	Klf1	Klf12	Klf2	Klf3	Klf4	Klf6	Mecom	Mef2c	Meis1	Mis18bp1	Mycn	Nfat5	Nfe2	Nfia	Nkx2-3	Parp12	Pbx1	Pgr	Plag1	Plek	Plscr1	Pou2f2	Prdm16	Rel	Rfx3	Rora	Runx1	Runx2	Satb1	Smad7	Sox5	Sox6	Sp4	Spi1	Stat1	Stat4	Tal1	Tcf4	Tcf7l2	Tox	Tsc22d1	Tsc22d3	Zbtb20	Zeb2	Zfhx3	Zfp1	Zfp113	Zfp36l1	Zfp385a	Zfp395	Zfp467	Zfp521	Zfp532	Zfp608	Zfp799	Zfp831	Zfpm1
Aff3	0	0.003967285803278625	0.06992195660764919	0.0235526887909869	0.0027958971449352104	0.0	0.020897052742005005	0.017347860760746042	0.029595811537643808	0.004043522370631717	0.05548112397750504	0.05188546306383422	0.008871116787337744	0.011446146038622554	0.05907680780449097	0.038600510351619606	0.05727420543893313	0.0	0.031934840510866355	0.0	0.00863913922157189	0.012298209316806755	0.03250650897454276	0.041480952032955216	0.008357514347131128	0.020866662637817755	0.016673787069351475	0.028607326720751006	0.048415174338168346	0.006208609271523179	0.0024834437086092716	0.020968145360630495	0.026397251082945966	0.06858794926862787	0.028709193545613777	0.06903617656777908	0.0	0.027494296339361266	0.005559626458174231	0.0616562204231534	0.038681482176415614	0.014217625548321636	0.036206634855799946	0.027941474749246936	0.0	0.02126118432079273	0.025227247230467646	0.021647301945912766	0.04150755690667723	0.0	0.03666963891245977	0.021485431889154985	0.05334448317950394	0.04259605658751871	0.029633365031644654	0.015136116083875757	0.04557374717230725	0.03751951079914399	0.021914529765650503	0.03660014847104409	0.038083320001809154	0.04154325735620743	0.02119270854441723	0.0	0.019659888621334737	0.020440446758080183	0.026446737925218327	0.009560512242091136	0.03477230970720937	0.054684762092269724	0.015791058237856974	0.027970284046003654	0.07582861744083197	0.008904340429134835	0.0008278145695364237	0.0509825427405462	0.01932541943723148	0.008495385455240326	0.0008278145695364237	0.020462554723380853	0.018298300567884954	0.046961408496803414	0.04668220019493847	0.05797473272912954	0.020684133062574633	0.034125018829302904	0.04755874616809012	0.04084289864051587	0.032595050259404054	0.008802906977403548	0.013121627166525247	0.04178104259261688	0.0254251839511066	0.010902845325980773
Arid1b	0.017371056346758933	0	0.07905761356064608	0.020008615634459756	0.0021398696198022815	0.0	0.01936797731933735	0.016089855728011606	0.03942729363330897	0.009346810932704043	0.060815315583699285	0.061672884400440595	0.016458893957625446	0.006671786967325405	0.07029280183519496	0.039969509529196284	0.0812823604647098	0.0008278145695364237	0.030994696869920155	0.0041390728476821195	0.011336827700244032	0.01777764946764072	0.04179925523022301	0.054631631275857864	0.009772284282402571	0.01716862092809812	0.01974394953178567	0.03928128394738077	0.058369338698376926	0.007177090232982047	0.0016556291390728475	0.03069250312055302	0.03373312352003426	0.06916906214383085	0.032485160476789426	0.08226584880721852	0.0008278145695364237	0.028273704290453817	0.009937155223723525	0.06399850876252008	0.05049465322461705	0.01861948442840405	0.043675142776333234	0.02913809258922905	0.0016556291390728475	0.02663830191338175	0.01868905780481679	0.014769948484437198	0.056250642732518674	0.0	0.0422295085996388	0.028413265106720178	0.053831326174708864	0.05602690767135706	0.027925775770072186	0.012865493990801403	0.05391636575931651	0.0394262953228516	0.028165349513451045	0.0376105882161223	0.045643783481075284	0.04442105474504159	0.01638581051554086	0.0008278145695364237	0.018166182548367087	0.0322430235149256	0.027117232264432686	0.006809058346404778	0.030793721891695637	0.05652623012555747	0.016752509828508823	0.033859134125066116	0.08355202879699371	0.018288837093063157	0.0008278145695364237	0.055786563058396674	0.027566531621460465	0.011360591504892655	0.0008278145695364237	0.02466458867634702	0.022889269498595734	0.06094130661949722	0.04582272448474156	0.07889510801212953	0.02105574679599439	0.045502228815523335	0.052712623288739935	0.043928082280880666	0.04112418141545969	0.007948937582817056	0.018513160866889904	0.05205517790973332	0.017279652974389614	0.021709807122728048
Bach1	0.01980327353483823	0.0008278145695364237	0	0.016010858347401995	0.001140268005862363	0.0	0.013813228531795362	0.0199755813796669	0.020667565513223487	0.00360543983113935	0.0432226476787929	0.031803246164791694	0.010328587429259527	0.002137316280138856	0.05507956706180627	0.01871145674315756	0.05194145100212255	0.0	0.020322507162861825	0.003311258278145695	0.006177544425650475	0.010898231819933739	0.030116540482687793	0.018131697793335254	0.002541654909736132	0.016911613282840847	0.019425935466063707	0.024395044030045412	0.038942057354591185	0.004795100372815048	0.0024834437086092716	0.015056083641291027	0.01594733061219326	0.038203847018102505	0.018671489816147368	0.04700085819756412	0.0008278145695364237	0.0124939869320283	0.0032165233703221902	0.036287204745953566	0.02694632172314302	0.01213770928504735	0.032158458927666965	0.02229879090609513	0.0008278145695364237	0.016201995402269492	0.01820098329445534	0.016441368061333637	0.033930622881244286	0.0	0.023553445177035108	0.013873549516186292	0.03132168515857266	0.03685650716125773	0.010764150896905557	0.011168374771411919	0.03044452739559446	0.017390253217573013	0.017369776466542943	0.018120995765427843	0.024104664446989766	0.03241166909684988	0.012558300702145612	0.0008278145695364237	0.009177573066436632	0.016809931426494916	0.015677498620239885	0.007129496362295679	0.02677693318473701	0.032133802010374496	0.012738248690781469	0.01443154139154368	0.049131104867274414	0.007729344998053857	0.0008278145695364237	0.038719642133975614	0.012193672316970725	0.007840459194616737	0.0	0.01950129806384428	0.01055532913848088	0.028793142413447086	0.027039763915436783	0.03758618676793511	0.010379215846965544	0.024259727775582177	0.02963100315058119	0.02491521390911704	0.027702412189446354	0.0031828685150084223	0.013674178636992697	0.0358387562285398	0.011493719446390747	0.012319477529554776
Bach2	0.002968395411199856	0.0014838420946693528	0.011872530428629097	0	0.0008278145695364237	0.0	0.007703185645006481	0.004816485765992516	0.009396418083800663	0.0067799170878980524	0.007380758108494117	0.014032605017082696	0.0008182740591643031	0.0033538043997903225	0.016658490540699584	0.013084559601663572	0.009448655985325636	0.0	0.011338539632759458	0.0	0.0012671034714311154	0.005122109112550353	0.005093782745676572	0.012234273179209975	0.00011652385432064931	0.007405745436239897	0.008116687148845714	0.006431948743774225	0.0046776967751185165	0.0	0.0	0.003988476153581027	0.0036830519875548874	0.015405970026697996	0.00711507441275098	0.008798638464241584	0.0	0.0030946303490785735	0.0013453438728666294	0.007413292881198496	0.005299886860737258	0.0033058220450846026	0.00981223841587697	0.004936940748562337	0.0	0.002058883647745485	0.00606738046898144	0.0019464065024610614	0.012502343894775657	0.0	0.008369369934050904	0.007948308459218442	0.010727877494843451	0.0071299573902385725	0.01137281293104369	0.007069115795094721	0.014518194637768085	0.006781937731798923	0.006575147281751646	0.005470103979938741	0.004617846303403671	0.008837254772796064	0.009619341059742537	0.0	0.008124571662771638	0.005345069188725142	0.004476713358176445	0.004922862479561291	0.0055491022673467595	0.009902867453351028	0.003907778466724793	0.007510509028473862	0.013780027510668178	0.0008278145695364237	0.0	0.011364144049667535	0.010535422647323479	0.0007710972317560643	0.0	0.002428868329952274	0.002793622527854939	0.009009637170368965	0.014480701398425718	0.009150025693308684	0.003345118054113599	0.0057524913923994525	0.012736742708684239	0.007283187774248129	0.010720920652007361	0.0032633331167940217	0.001743143153734708	0.009385621720043804	0.0034580759711307085	0.0019480993250121442
Baz2b	0.022189872871865447	0.0031394712337422005	0.08468373919543436	0.01961060327297618	0	0.0	0.02551261176379093	0.023702211527173302	0.03832270038228207	0.008897241077870955	0.052736485029828195	0.053663567150583916	0.015219396711349873	0.008367539670268266	0.06885208568213248	0.04645947969776296	0.07027609202040559	0.0	0.034762744633959175	0.0008278145695364237	0.011972399015346755	0.0181494394341318	0.039120435417726765	0.03731915574602413	0.00864462129676278	0.02023470336008753	0.022815655208513398	0.045435110825736105	0.04024887652796909	0.00555258174639025	0.0016556291390728475	0.02025464904735936	0.02897993618092854	0.06457991230733315	0.026285424222048704	0.0723578375314229	0.0008278145695364237	0.027346932646193388	0.00784714135258913	0.06484415064107518	0.04626300811180031	0.02235426076774127	0.038609450677353954	0.026179567407585706	0.0008278145695364237	0.03145960163792762	0.019564273548494656	0.0179510166097144	0.060389149011083554	0.0	0.04655289277072477	0.02789621591404331	0.050558220160043965	0.05454685642466901	0.02505811426337449	0.01696748383223	0.049356858617111296	0.03934578382374531	0.02619742752252715	0.02987274712136629	0.035424472498083	0.03970503253651854	0.03145677309466574	0.0	0.01756374531484012	0.019425042277016382	0.03233354888337425	0.008137815182905319	0.037333219622422954	0.06451931144953421	0.017718713122874707	0.02728708360912736	0.08406284483476392	0.022181841959642862	0.0	0.05035122924118058	0.01787018319385994	0.01796242923790691	0.0008278145695364237	0.03074038672106738	0.01596539500125006	0.061789489221015244	0.05389270167665178	0.07467684699013534	0.02021434607520033	0.043837308572737474	0.05855220718948209	0.043486610239424434	0.030518726617385306	0.00866955387344003	0.012591408573128796	0.05534737835201284	0.01944881246267992	0.02118581521789687
Bcl11a	0.023502440617469218	0.003967285803278625	0.0987541052612161	0.03182267176459699	0.004451526284008058	0	0.023054764406238822	0.025657308034167898	0.03638748657837863	0.012251780503727298	0.06328225719494683	0.060058115736192144	0.014661630361226816	0.009512281999851845	0.08396494647023346	0.04601397307713685	0.08704105774224828	0.0008278145695364237	0.03459613037988736	0.003311258278145695	0.0118220390716715	0.016499826267003276	0.045445154288886506	0.043394993563186574	0.006852408739526081	0.026229045631170615	0.02368290890970858	0.04007333163985622	0.06422474100972832	0.007520664321789036	0.003311258278145695	0.026374273449477726	0.040207341429200155	0.07523451075024166	0.036120980631578835	0.07210120243461482	0.0	0.024761122297551005	0.008254037544527146	0.07661275151443857	0.04950220320875045	0.02208410575733035	0.0570468646276877	0.03330707901458451	0.0008278145695364237	0.03030790821526395	0.02654588711191423	0.020613763284932408	0.05779477725740787	0.0	0.04595665500191124	0.027734870683572454	0.05828031714388077	0.06834450545016518	0.026325993360734098	0.012841781833750983	0.05555016690384638	0.04906799430169222	0.029683227752940626	0.0403029035094384	0.05145795095162178	0.05380788083108393	0.02947232107857186	0.0008278145695364237	0.017433686474443794	0.027018841409476965	0.03321967262692201	0.00988838912531159	0.04282948172933679	0.08023370268035343	0.02159828186160482	0.03598008348237844	0.1012475665400351	0.015106205575103102	0.0008278145695364237	0.07272864452854053	0.022871289816775924	0.011245891826754261	0.0	0.03191628403715685	0.020848671710145126	0.061296584614362395	0.06195097520087871	0.07875789245377793	0.027432299750331932	0.048248903252827643	0.07852020367919743	0.050149638278816466	0.032560554072148015	0.008234422027823235	0.014250475742928858	0.061474929745560895	0.02134701261423293	0.018916814930837245
Cebpa	0.01839541866655573	0.004795100372815048	0.07598805774921111	0.02409001569689505	0.0	0.0	0	0.025055274649199717	0.03694540370715693	0.007020959551122823	0.05718701253241313	0.055704805553038785	0.01704648133195462	0.00743997398856876	0.06215422634991891	0.04042702223775733	0.06513001594359939	0.0	0.030914933032743497	0.003311258278145695	0.020146509328901052	0.013376959719735947	0.03008372458859787	0.03472659558779931	0.009291509005432972	0.01929721903871353	0.01956332455733695	0.04244310794241183	0.04849324402736542	0.007864238410596028	0.0008278145695364237	0.0207148183062717	0.026243887680434747	0.06276757376263414	0.035821487019568596	0.07153618208543963	0.0008278145695364237	0.022901440810824476	0.007223817261300949	0.06811090727107656	0.0415622762148696	0.015703704550024834	0.0392420412606536	0.020594729123747456	0.0	0.03442300465293373	0.024202571964189033	0.02510962592327187	0.06216647992169531	0.0	0.03671233626295942	0.026185919222735773	0.03708149597894502	0.048103125695609476	0.025060657336703422	0.010366483360231389	0.04478889853678289	0.03823961693698896	0.01685691962393405	0.03815608527856423	0.02416859538245968	0.04191516729901933	0.019834171595897822	0.0008278145695364237	0.018225479397289017	0.014943116063593751	0.034640395707586424	0.006532463475479681	0.030258830645782806	0.06643846014488773	0.015918147088790746	0.025107507136387496	0.07983124490029202	0.013597986953507602	0.0	0.047970990496744845	0.01748487223759961	0.01739420386754626	0.0	0.03007657903054868	0.006831689795892912	0.050375830526489515	0.03800551231627372	0.0674596987376967	0.017963228051830482	0.04256302520295795	0.04904890187420921	0.039712456971242135	0.04151985368156321	0.012043414755924027	0.018004025558237453	0.052528959641526464	0.023428362340409414	0.0231885514136142
Cebpe	0.025964132097633954	0.0031394712337422005	0.04886979146647573	0.020461634995458423	0.0008278145695364237	0.0	0.00038909028584978615	0	0.031874287410337404	0.003646629864407984	0.030823209023537648	0.04548227270635587	0.013830220992107999	0.0033154289189661385	0.057987895062024425	0.024888370736448236	0.051548095341639864	0.0	0.017810684868313775	0.0041390728476821195	0.008982975741786506	0.021711457994115363	0.017569241260396905	0.006981939749098211	0.008639171804178334	0.014205960769306103	0.013424727050589367	0.03986299366864981	0.025506613795073664	0.0016556291390728475	0.0016556291390728475	0.020498925727634565	0.02849763314172909	0.037699096267721124	0.01814941703542231	0.05186952786713964	0.0008278145695364237	0.013845087916666757	0.0024455085251603825	0.04552256840643747	0.02139418638064427	0.015095368856312418	0.02510113022343864	0.011270435618436271	0.0008278145695364237	0.035916287183632954	0.006755936841778526	0.004782902036583515	0.03422853472236639	0.0	0.027267840821441274	0.0066795082643019464	0.03370704975232249	0.031676547314007326	0.011700596776320167	0.009326802419219425	0.03095351877233918	0.022625319728964026	0.0058277777814410925	0.02089790438440496	0.003079134280391121	0.03143365000515405	0.01337672819571115	0.0008278145695364237	0.013323882243921965	0.0068859999237870124	0.02449082140245788	0.003793511095157557	0.020386033901746137	0.0388213417308809	0.03285346969915361	0.01015893655615267	0.055572491579600335	0.023384351270467327	0.0	0.03379440544162795	0.009685314375950436	0.018329746785659125	0.0	0.03688085723338554	0.0009996016139399188	0.03722070709344664	0.016566390345528717	0.04393253424331954	0.011997259429433037	0.03630380432333028	0.032818400150321794	0.03339034953687821	0.024272368835505858	0.0043368881097477765	0.007257112235825716	0.041267025165455454	0.009386583692779338	0.02382687841848983
Clock	0.011770354632074747	0.0008278145695364237	0.01692577661631527	0.004995758979477273	0.0	0.0	0.008245821421639094	0.007052275176887723	0	0.004754380032662997	0.01402215488181771	0.012698895713249558	0.0058776594615818755	0.0004518192531683362	0.018327273949883077	0.005380018115801453	0.020584635498800165	0.0	0.010851267550615771	0.0	0.003727083354319259	0.006024641651453684	0.008014501047228199	0.0071907447901794885	0.002215401202464157	0.004580008819960876	0.014136751277338303	0.011942513484290472	0.009328370342414528	0.0014838420946693528	0.0	0.008966885829155568	0.010996484083656291	0.024848778505775902	0.008471098093390136	0.014239940327500823	0.0	0.011632426626371206	0.004810120410498583	0.02491321676899278	0.013136093329778038	0.005375108315504815	0.010790872947226643	0.008590225190674794	0.0016556291390728475	0.011888970396283218	0.007713436949791215	0.00274783583177996	0.011739549209053386	0.0	0.008153261391405885	0.0038252225333714617	0.01949223813084191	0.007152872868961282	0.006237943275317035	0.0032678364182473067	0.0114440502701285	0.0076114349802535956	0.003500030406092722	0.005644834452866926	0.008211193134135512	0.013272224920557104	0.004276892780070018	0.0	0.003373290503443942	0.00939125625283728	0.005733271229035107	0.004178873257112826	0.011395188815688472	0.023799869682210855	0.006870476122840043	0.0019288700319186156	0.021444476545483624	0.001575755432739505	0.0	0.009661847302526179	0.010684287127778434	0.00464113274004117	0.0	0.009208613005194204	0.004277215865183838	0.017019399666401116	0.007765122990843102	0.01191226905097841	0.008722065193888337	0.008815566185899156	0.010863253165202577	0.013191756278171353	0.0138369183073436	0.004503525107016674	0.00163134497293908	0.006147519811776782	0.008650766377710848	0.006030432217068702
Creb5	0.003922228489573005	0.0	0.008434442457190449	0.0003772671927769806	0.0008278145695364237	0.0	0.0023416305875582867	0.001743674584686488	0.0004186135356651989	0	0.001583652724790249	0.0030598798370241685	0.0008278145695364237	9.005513174123622e-05	0.001719304613066981	0.0059851736159119645	0.0025307330074057395	0.0	0.007182429761617594	0.0	0.001432552392156367	0.0	0.004232150710985232	0.004623652409428354	0.0	0.0006805588833702822	0.006365311628426741	0.0008278145695364237	0.0016419623826282312	0.0	0.0	0.003906704143198323	0.00037802850362911886	0.003944799017918204	0.003165832373838633	0.0024719573453470217	0.0	0.0019712115561126915	0.00019891094088388405	0.0033947259331989985	0.00523530637364069	0.0003916450221114499	0.002763853852391599	0.0013589034723674371	0.0	0.0	0.0027766930285937196	7.3382433700103405e-06	0.005673940491349427	0.0	0.00103449790744004	0.002057012125853908	0.003966827792716266	0.006176516130508065	0.003058315310477232	0.0007429011143248231	0.004660847544113111	0.001424364321782049	0.0	0.005687618661804071	0.0044631510702320895	0.002360611321363255	0.006636821141594437	0.0	0.002381285715508714	0.0014269760940815424	0.0016556291390728475	9.471929687686636e-05	0.0074556022458457495	0.0027517804105470474	0.0	0.0023819898601669985	0.0004559059319188844	0.0	0.0	0.0013803552161690863	0.004171216363722384	0.0	0.0	0.0	0.0007624847877379173	0.0010994239050855857	0.0031933187738301867	0.0018990795718658645	0.0012449909933610135	0.0028500062855046685	0.000493518020230106	1.3431724864446253e-05	0.0038202580450929532	0.0026552752295608078	0.0	0.007388153297543033	0.0004830013091587684	0.0
