Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:1903706,regulation of hemopoiesis,19_GO:0002376 immune system process,-10,19,13,20836,445,25,10,40,9.8,12394|15404|15405|17268|20375|20846|21349|56484|239985|269023,Runx1|Hoxa7|Hoxa9|Meis1|Spi1|Stat1|Tal1|Foxo3|Arid1b|Zfp608,-6.1,MyList
GO Biological Processes,19,GO:0045637,regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-9.7,28,15,20836,234,25,8,32,9.3,12394|15404|15405|17268|20375|20846|21349|56484,Runx1|Hoxa7|Hoxa9|Meis1|Spi1|Stat1|Tal1|Foxo3,-5.7,MyList
GO Biological Processes,19,GO:0060216,definitive hemopoiesis,19_GO:0032502 developmental process,-7.9,1.5e+02,24,20836,22,25,4,16,7.3,12394|15405|17268|21349,Runx1|Hoxa9|Meis1|Tal1,-4.1,MyList
GO Biological Processes,19,GO:0001501,skeletal system development,19_GO:0032502 developmental process,-6.9,12,9.3,20836,535,25,8,32,9.3,12394|15404|15405|17268|18027|18109|21349|71375,Runx1|Hoxa7|Hoxa9|Meis1|Nfia|Mycn|Tal1|Foxn3,-3.2,MyList
KEGG Pathway,24,mmu05202,Transcriptional misregulation in cancer - Mus musculus (house mouse),,-6.7,22,11,20836,224,25,6,24,8.5,12394|13876|15405|17268|18109|20375,Runx1|Erg|Hoxa9|Meis1|Mycn|Spi1,-3.1,MyList
GO Biological Processes,19,GO:0045646,regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-6.4,65,16,20836,51,25,4,16,7.3,20375|20846|21349|56484,Spi1|Stat1|Tal1|Foxo3,-2.9,MyList
GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-5.8,8.9,7.6,20836,748,25,8,32,9.3,12394|14025|15404|15405|17268|18109|56484|269023,Runx1|Bcl11a|Hoxa7|Hoxa9|Meis1|Mycn|Foxo3|Zfp608,-2.5,MyList
GO Biological Processes,19,GO:0030099,myeloid cell differentiation,19_GO:0032502 developmental process,-5.8,16,9.1,20836,321,25,6,24,8.5,12394|16477|17268|18089|20375|21349,Runx1|Junb|Meis1|Nkx2-3|Spi1|Tal1,-2.5,MyList
GO Biological Processes,19,GO:0006351,DNA-templated transcription,19_GO:0008152 metabolic process,-5.7,11,8.2,20836,518,25,7,28,9,14025|15405|16477|18089|20846|21349|56484,Bcl11a|Hoxa9|Junb|Nkx2-3|Stat1|Tal1|Foxo3,-2.5,MyList
GO Biological Processes,19,GO:0097659,nucleic acid-templated transcription,19_GO:0008152 metabolic process,-5.7,11,8.2,20836,519,25,7,28,9,14025|15405|16477|18089|20846|21349|56484,Bcl11a|Hoxa9|Junb|Nkx2-3|Stat1|Tal1|Foxo3,-2.5,MyList
GO Biological Processes,19,GO:0032774,RNA biosynthetic process,19_GO:0008152 metabolic process,-5.7,11,8.1,20836,531,25,7,28,9,14025|15405|16477|18089|20846|21349|56484,Bcl11a|Hoxa9|Junb|Nkx2-3|Stat1|Tal1|Foxo3,-2.4,MyList
GO Biological Processes,19,GO:1902105,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-5.5,14,8.6,20836,359,25,6,24,8.5,12394|15404|20375|21349|239985|269023,Runx1|Hoxa7|Spi1|Tal1|Arid1b|Zfp608,-2.3,MyList
GO Biological Processes,19,GO:0045648,positive regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-5.3,89,16,20836,28,25,3,12,6.5,20846|21349|56484,Stat1|Tal1|Foxo3,-2.2,MyList
GO Biological Processes,19,GO:0045638,negative regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-5.3,34,11,20836,99,25,4,16,7.3,12394|15404|15405|17268,Runx1|Hoxa7|Hoxa9|Meis1,-2.1,MyList
GO Biological Processes,19,GO:0045664,regulation of neuron differentiation,19_GO:0032502 developmental process,-5,17,8.8,20836,244,25,5,20,8,14025|17268|18109|21413|56484,Bcl11a|Meis1|Mycn|Tcf4|Foxo3,-1.9,MyList
GO Biological Processes,19,GO:0045639,positive regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-5,29,10,20836,114,25,4,16,7.3,12394|20846|21349|56484,Runx1|Stat1|Tal1|Foxo3,-1.9,MyList
GO Biological Processes,19,GO:0002335,mature B cell differentiation,19_GO:0002376 immune system process,-4.9,64,14,20836,39,25,3,12,6.5,18089|18987|20375,Nkx2-3|Pou2f2|Spi1,-1.8,MyList
GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0032502 developmental process,-4.7,10,7.2,20836,481,25,6,24,8.5,12394|14025|16477|18089|18987|20375,Runx1|Bcl11a|Junb|Nkx2-3|Pou2f2|Spi1,-1.7,MyList
GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-4.7,7.7,6.5,20836,758,25,7,28,9,14013|16477|17268|18089|18109|20375|21349,Mecom|Junb|Meis1|Nkx2-3|Mycn|Spi1|Tal1,-1.7,MyList
GO Biological Processes,19,GO:0048568,embryonic organ development,19_GO:0032502 developmental process,-4.5,9.4,6.8,20836,532,25,6,24,8.5,12394|15404|15405|16477|18109|21349,Runx1|Hoxa7|Hoxa9|Junb|Mycn|Tal1,-1.5,MyList
GO Biological Processes,19,GO:0010721,negative regulation of cell development,19_GO:0048519 negative regulation of biological process,-4.5,13,7.5,20836,318,25,5,20,8,12394|14025|15404|18109|269023,Runx1|Bcl11a|Hoxa7|Mycn|Zfp608,-1.5,MyList
GO Biological Processes,19,GO:0030183,B cell differentiation,19_GO:0002376 immune system process,-4.5,21,8.8,20836,157,25,4,16,7.3,14025|18089|18987|20375,Bcl11a|Nkx2-3|Pou2f2|Spi1,-1.5,MyList
GO Biological Processes,19,GO:0002573,myeloid leukocyte differentiation,19_GO:0032502 developmental process,-4.4,20,8.6,20836,165,25,4,16,7.3,12394|16477|18089|20375,Runx1|Junb|Nkx2-3|Spi1,-1.5,MyList
GO Biological Processes,19,GO:0035107,appendage morphogenesis,19_GO:0032502 developmental process,-4.2,19,8.2,20836,179,25,4,16,7.3,14013|15405|18027|18109,Mecom|Hoxa9|Nfia|Mycn,-1.4,MyList
GO Biological Processes,19,GO:0035108,limb morphogenesis,19_GO:0032502 developmental process,-4.2,19,8.2,20836,179,25,4,16,7.3,14013|15405|18027|18109,Mecom|Hoxa9|Nfia|Mycn,-1.4,MyList
GO Biological Processes,19,GO:0048736,appendage development,19_GO:0032502 developmental process,-4,16,7.5,20836,209,25,4,16,7.3,14013|15405|18027|18109,Mecom|Hoxa9|Nfia|Mycn,-1.1,MyList
GO Biological Processes,19,GO:0060173,limb development,19_GO:0032502 developmental process,-4,16,7.5,20836,209,25,4,16,7.3,14013|15405|18027|18109,Mecom|Hoxa9|Nfia|Mycn,-1.1,MyList
GO Biological Processes,19,GO:0045619,regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-3.9,15,7.3,20836,222,25,4,16,7.3,12394|20375|239985|269023,Runx1|Spi1|Arid1b|Zfp608,-1.1,MyList
GO Biological Processes,19,GO:0042113,B cell activation,19_GO:0002376 immune system process,-3.8,15,7.2,20836,229,25,4,16,7.3,14025|18089|18987|20375,Bcl11a|Nkx2-3|Pou2f2|Spi1,-1,MyList
GO Biological Processes,19,GO:0048705,skeletal system morphogenesis,19_GO:0032502 developmental process,-3.6,13,6.7,20836,259,25,4,16,7.3,15404|15405|18109|71375,Hoxa7|Hoxa9|Mycn|Foxn3,-0.83,MyList
GO Biological Processes,19,GO:0001775,cell activation,19_GO:0032501 multicellular organismal process,-3.6,6.4,5.3,20836,781,25,6,24,8.5,14025|15405|18089|18987|20375|21413,Bcl11a|Hoxa9|Nkx2-3|Pou2f2|Spi1|Tcf4,-0.81,MyList
