Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0045637,regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-13,45,20,20836,234,18,9,50,12,12394|14460|14461|14582|17260|17268|20375|21349|22761,Runx1|Gata1|Gata2|Gfi1b|Mef2c|Meis1|Spi1|Tal1|Zfpm1,-9
MyList,GO Biological Processes,19,GO:0035162,embryonic hemopoiesis,19_GO:0032502 developmental process,-13,2.2e+02,37,20836,31,18,6,33,11,12394|14460|16596|18514|21349|22761,Runx1|Gata1|Klf1|Pbx1|Tal1|Zfpm1,-9
MyList,GO Biological Processes,19,GO:1903706,regulation of hemopoiesis,19_GO:0002376 immune system process,-12,26,16,20836,445,18,10,56,12,12394|14460|14461|14582|17260|17268|20375|21349|22761|239985,Runx1|Gata1|Gata2|Gfi1b|Mef2c|Meis1|Spi1|Tal1|Zfpm1|Arid1b,-8.4
MyList,GO Biological Processes,19,GO:0030099,myeloid cell differentiation,19_GO:0032502 developmental process,-12,32,17,20836,321,18,9,50,12,12394|14460|14461|16596|17260|17268|20375|21349|22761,Runx1|Gata1|Gata2|Klf1|Mef2c|Meis1|Spi1|Tal1|Zfpm1,-8.2
MyList,GO Biological Processes,19,GO:0045646,regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-12,1.4e+02,28,20836,51,18,6,33,11,14460|14461|14582|20375|21349|22761,Gata1|Gata2|Gfi1b|Spi1|Tal1|Zfpm1,-8.1
MyList,GO Biological Processes,19,GO:0060216,definitive hemopoiesis,19_GO:0032502 developmental process,-11,2.6e+02,36,20836,22,18,5,28,11,12394|14461|17268|21349|22761,Runx1|Gata2|Meis1|Tal1|Zfpm1,-7.8
MyList,GO Biological Processes,19,GO:0030220,platelet formation,19_GO:0032502 developmental process,-8.7,2.3e+02,30,20836,20,18,4,22,9.8,14460|17260|21349|22761,Gata1|Mef2c|Tal1|Zfpm1,-5.7
MyList,GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0032502 developmental process,-8.6,19,12,20836,481,18,8,44,12,12394|14025|14460|14461|17260|18514|20375|22761,Runx1|Bcl11a|Gata1|Gata2|Mef2c|Pbx1|Spi1|Zfpm1,-5.6
MyList,GO Biological Processes,19,GO:0036344,platelet morphogenesis,19_GO:0032502 developmental process,-8.5,2.1e+02,29,20836,22,18,4,22,9.8,14460|17260|21349|22761,Gata1|Mef2c|Tal1|Zfpm1,-5.6
MyList,GO Biological Processes,19,GO:0002573,myeloid leukocyte differentiation,19_GO:0032502 developmental process,-8.4,42,16,20836,165,18,6,33,11,12394|14460|14461|17260|20375|22761,Runx1|Gata1|Gata2|Mef2c|Spi1|Zfpm1,-5.5
MyList,GO Biological Processes,19,GO:0048568,embryonic organ development,19_GO:0032502 developmental process,-8.2,17,11,20836,532,18,8,44,12,12394|14460|14461|16596|17260|18514|21349|22761,Runx1|Gata1|Gata2|Klf1|Mef2c|Pbx1|Tal1|Zfpm1,-5.3
MyList,GO Biological Processes,19,GO:0030851,granulocyte differentiation,19_GO:0032502 developmental process,-8.1,1.7e+02,26,20836,28,18,4,22,9.8,14460|14461|20375|22761,Gata1|Gata2|Spi1|Zfpm1,-5.3
