_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-8.59471842152817,GO:0032502,developmental process,M1,1,GO:0002521 leukocyte differentiation
1,-7.495247015660996,GO:0002376,immune system process,M1,1,GO:1903706 regulation of hemopoiesis
1,-5.637161041331258,GO:0032501,multicellular organismal process,M1,1,GO:0001775 cell activation
1,-4.691962443433097,GO:0050896,response to stimulus,M1,1,GO:0071560 cellular response to transforming growth factor beta stimulus
1,-4.56603651090189,GO:0008152,metabolic process,M1,1,GO:0006351 DNA-templated transcription
1,-4.479213582069159,GO:0048519,negative regulation of biological process,M1,1,GO:0010721 negative regulation of cell development
1,-3.8596005772432687,GO:0048518,positive regulation of biological process,M1,1,GO:0050867 positive regulation of cell activation
1,-2.803619293157422,GO:0009987,cellular process,M1,1,GO:0070661 leukocyte proliferation
1,-2.647873547592852,GO:0040007,growth,M1,1,GO:0048639 positive regulation of developmental growth
1,-2.5470071770638993,GO:0050789,regulation of biological process,M1,1,GO:0022407 regulation of cell-cell adhesion
1,-2.3188583475148956,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0071222 cellular response to lipopolysaccharide
1,-2.119701955269298,GO:0042592,homeostatic process,M1,1,GO:0048872 homeostasis of number of cells
