Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0045646,regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-13,1.1e+02,28,20836,51,25,7,28,9,12192|14460|14582|20375|21349|22761|23871,Zfp36l1|Gata1|Gfi1b|Spi1|Tal1|Zfpm1|Ets1,-8.5,MyList
GO Biological Processes,19,GO:1903706,regulation of hemopoiesis,19_GO:0002376 immune system process,-12,21,14,20836,445,25,11,44,9.9,12192|12394|12606|14460|14582|17260|20375|21349|22761|23871|239985,Zfp36l1|Runx1|Cebpa|Gata1|Gfi1b|Mef2c|Spi1|Tal1|Zfpm1|Ets1|Arid1b,-7.9,MyList
GO Biological Processes,19,GO:0045637,regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-11,32,17,20836,234,25,9,36,9.6,12192|12394|14460|14582|17260|20375|21349|22761|23871,Zfp36l1|Runx1|Gata1|Gfi1b|Mef2c|Spi1|Tal1|Zfpm1|Ets1,-7.6,MyList
GO Biological Processes,19,GO:0030099,myeloid cell differentiation,19_GO:0032502 developmental process,-10,23,14,20836,321,25,9,36,9.6,12394|12606|14460|16477|17260|20375|21349|22038|22761,Runx1|Cebpa|Gata1|Junb|Mef2c|Spi1|Tal1|Plscr1|Zfpm1,-6.5,MyList
GO Biological Processes,19,GO:0002573,myeloid leukocyte differentiation,19_GO:0032502 developmental process,-9.1,35,15,20836,165,25,7,28,9,12394|12606|14460|16477|17260|20375|22761,Runx1|Cebpa|Gata1|Junb|Mef2c|Spi1|Zfpm1,-5.6,MyList
GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0032502 developmental process,-8.6,16,11,20836,481,25,9,36,9.6,12192|12394|12606|14025|14460|16477|17260|20375|22761,Zfp36l1|Runx1|Cebpa|Bcl11a|Gata1|Junb|Mef2c|Spi1|Zfpm1,-5.1,MyList
GO Biological Processes,19,GO:0045639,positive regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-8.4,44,16,20836,114,25,6,24,8.5,12192|12394|14460|14582|21349|23871,Zfp36l1|Runx1|Gata1|Gfi1b|Tal1|Ets1,-5,MyList
GO Biological Processes,19,GO:0048568,embryonic organ development,19_GO:0032502 developmental process,-8.2,14,11,20836,532,25,9,36,9.6,12192|12394|12606|14460|16477|17260|18022|21349|22761,Zfp36l1|Runx1|Cebpa|Gata1|Junb|Mef2c|Nfe2|Tal1|Zfpm1,-4.8,MyList
GO Biological Processes,19,GO:0030220,platelet formation,19_GO:0032502 developmental process,-8.1,1.7e+02,26,20836,20,25,4,16,7.3,14460|17260|21349|22761,Gata1|Mef2c|Tal1|Zfpm1,-4.8,MyList
GO Biological Processes,19,GO:0036344,platelet morphogenesis,19_GO:0032502 developmental process,-7.9,1.5e+02,24,20836,22,25,4,16,7.3,14460|17260|21349|22761,Gata1|Mef2c|Tal1|Zfpm1,-4.7,MyList
GO Biological Processes,19,GO:0030851,granulocyte differentiation,19_GO:0032502 developmental process,-7.5,1.2e+02,22,20836,28,25,4,16,7.3,12606|14460|20375|22761,Cebpa|Gata1|Spi1|Zfpm1,-4.3,MyList
GO Biological Processes,19,GO:0035162,embryonic hemopoiesis,19_GO:0032502 developmental process,-7.3,1.1e+02,21,20836,31,25,4,16,7.3,12394|14460|21349|22761,Runx1|Gata1|Tal1|Zfpm1,-4.1,MyList
GO Biological Processes,19,GO:1902105,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-6.8,16,10,20836,359,25,7,28,9,12192|12394|14582|20375|21349|22761|239985,Zfp36l1|Runx1|Gfi1b|Spi1|Tal1|Zfpm1|Arid1b,-3.7,MyList
GO Biological Processes,19,GO:0060215,primitive hemopoiesis,19_GO:0032502 developmental process,-6.7,2.5e+02,27,20836,10,25,3,12,6.5,14460|21349|22761,Gata1|Tal1|Zfpm1,-3.6,MyList
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-6.3,10,8.4,20836,643,25,8,32,9.3,12192|12394|12606|14460|17260|20375|22038|239985,Zfp36l1|Runx1|Cebpa|Gata1|Mef2c|Spi1|Plscr1|Arid1b,-3.2,MyList
GO Biological Processes,19,GO:0002761,regulation of myeloid leukocyte differentiation,19_GO:0002376 immune system process,-6,27,11,20836,152,25,5,20,8,12192|12394|14582|21349|22761,Zfp36l1|Runx1|Gfi1b|Tal1|Zfpm1,-3,MyList
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0032501 multicellular organismal process,-6,9.5,8,20836,699,25,8,32,9.3,12192|12394|12606|14460|17260|20375|22038|239985,Zfp36l1|Runx1|Cebpa|Gata1|Mef2c|Spi1|Plscr1|Arid1b,-3,MyList
GO Biological Processes,19,GO:0006351,DNA-templated transcription,19_GO:0008152 metabolic process,-5.7,11,8.2,20836,518,25,7,28,9,12606|14025|14460|16477|17260|21349|23871,Cebpa|Bcl11a|Gata1|Junb|Mef2c|Tal1|Ets1,-2.7,MyList
GO Biological Processes,19,GO:0097659,nucleic acid-templated transcription,19_GO:0008152 metabolic process,-5.7,11,8.2,20836,519,25,7,28,9,12606|14025|14460|16477|17260|21349|23871,Cebpa|Bcl11a|Gata1|Junb|Mef2c|Tal1|Ets1,-2.7,MyList
GO Biological Processes,19,GO:0032774,RNA biosynthetic process,19_GO:0008152 metabolic process,-5.7,11,8.1,20836,531,25,7,28,9,12606|14025|14460|16477|17260|21349|23871,Cebpa|Bcl11a|Gata1|Junb|Mef2c|Tal1|Ets1,-2.7,MyList
