_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-12.797807232209276,GO:0042592,homeostatic process,M1,1,GO:0045646 regulation of erythrocyte differentiation
1,-11.896077945618009,GO:0002376,immune system process,M1,1,GO:1903706 regulation of hemopoiesis
1,-10.143166898984957,GO:0032502,developmental process,M1,1,GO:0030099 myeloid cell differentiation
1,-5.99789572122812,GO:0032501,multicellular organismal process,M1,1,GO:0050865 regulation of cell activation
1,-5.735941575788313,GO:0008152,metabolic process,M1,1,GO:0006351 DNA-templated transcription
1,-5.0235558602652155,GO:0048518,positive regulation of biological process,M1,1,GO:0050867 positive regulation of cell activation
1,-4.691962443433097,GO:0050896,response to stimulus,M1,1,GO:0071560 cellular response to transforming growth factor beta stimulus
1,-4.650021523525407,GO:0048519,negative regulation of biological process,M1,1,GO:0030279 negative regulation of ossification
1,-3.4441409336010365,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0071222 cellular response to lipopolysaccharide
1,-2.8969307046965005,GO:0065007,biological regulation,M1,1,GO:0051100 negative regulation of binding
1,-2.5470071770638993,GO:0050789,regulation of biological process,M1,1,GO:0022407 regulation of cell-cell adhesion
1,-2.184627452537349,GO:0023052,signaling,M1,1,GO:0019221 cytokine-mediated signaling pathway
1,-2.03844953015033,GO:0051179,localization,M1,1,GO:1903530 regulation of secretion by cell
