Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:1903706,regulation of hemopoiesis,19_GO:0002376 immune system process,-12,25,15,20836,445,19,10,53,11,12394|12606|14460|14582|17260|20375|21349|22761|23871|239985,Runx1|Cebpa|Gata1|Gfi1b|Mef2c|Spi1|Tal1|Zfpm1|Ets1|Arid1b,-7.6
MyList,GO Biological Processes,19,GO:0045646,regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-11,1.3e+02,28,20836,51,19,6,32,11,14460|14582|20375|21349|22761|23871,Gata1|Gfi1b|Spi1|Tal1|Zfpm1|Ets1,-7.4
MyList,GO Biological Processes,19,GO:0045637,regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-11,37,17,20836,234,19,8,42,11,12394|14460|14582|17260|20375|21349|22761|23871,Runx1|Gata1|Gfi1b|Mef2c|Spi1|Tal1|Zfpm1|Ets1,-7
MyList,GO Biological Processes,19,GO:0002573,myeloid leukocyte differentiation,19_GO:0032502 developmental process,-10,47,18,20836,165,19,7,37,11,12394|12606|14460|16477|17260|20375|22761,Runx1|Cebpa|Gata1|Junb|Mef2c|Spi1|Zfpm1,-6.4
MyList,GO Biological Processes,19,GO:0030099,myeloid cell differentiation,19_GO:0032502 developmental process,-9.7,27,14,20836,321,19,8,42,11,12394|12606|14460|16477|17260|20375|21349|22761,Runx1|Cebpa|Gata1|Junb|Mef2c|Spi1|Tal1|Zfpm1,-6.2
MyList,GO Biological Processes,19,GO:0030220,platelet formation,19_GO:0032502 developmental process,-8.6,2.2e+02,30,20836,20,19,4,21,9.4,14460|17260|21349|22761,Gata1|Mef2c|Tal1|Zfpm1,-5.1
MyList,GO Biological Processes,19,GO:0036344,platelet morphogenesis,19_GO:0032502 developmental process,-8.4,2e+02,28,20836,22,19,4,21,9.4,14460|17260|21349|22761,Gata1|Mef2c|Tal1|Zfpm1,-5
MyList,GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0032502 developmental process,-8.3,18,12,20836,481,19,8,42,11,12394|12606|14025|14460|16477|17260|20375|22761,Runx1|Cebpa|Bcl11a|Gata1|Junb|Mef2c|Spi1|Zfpm1,-5
MyList,GO Biological Processes,19,GO:0030851,granulocyte differentiation,19_GO:0032502 developmental process,-8,1.6e+02,25,20836,28,19,4,21,9.4,12606|14460|20375|22761,Cebpa|Gata1|Spi1|Zfpm1,-4.7
MyList,GO Biological Processes,19,GO:0048568,embryonic organ development,19_GO:0032502 developmental process,-8,16,11,20836,532,19,8,42,11,12394|12606|14460|16477|17260|18022|21349|22761,Runx1|Cebpa|Gata1|Junb|Mef2c|Nfe2|Tal1|Zfpm1,-4.7
