Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0045646,regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-15,1.3e+02,32,20836,51,25,8,32,9.3,12192|14461|14582|20375|20846|21349|22761|56484,Zfp36l1|Gata2|Gfi1b|Spi1|Stat1|Tal1|Zfpm1|Foxo3,-11,MyList
GO Biological Processes,19,GO:0045637,regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-11,32,17,20836,234,25,9,36,9.6,12192|14461|14582|17260|20375|20846|21349|22761|56484,Zfp36l1|Gata2|Gfi1b|Mef2c|Spi1|Stat1|Tal1|Zfpm1|Foxo3,-7.4,MyList
GO Biological Processes,19,GO:1903706,regulation of hemopoiesis,19_GO:0002376 immune system process,-8.9,17,12,20836,445,25,9,36,9.6,12192|14461|14582|17260|20375|20846|21349|22761|56484,Zfp36l1|Gata2|Gfi1b|Mef2c|Spi1|Stat1|Tal1|Zfpm1|Foxo3,-5.1,MyList
GO Biological Processes,19,GO:0045639,positive regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-8.4,44,16,20836,114,25,6,24,8.5,12192|14461|14582|20846|21349|56484,Zfp36l1|Gata2|Gfi1b|Stat1|Tal1|Foxo3,-4.8,MyList
GO Biological Processes,19,GO:0045648,positive regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-7.5,1.2e+02,22,20836,28,25,4,16,7.3,14461|20846|21349|56484,Gata2|Stat1|Tal1|Foxo3,-3.9,MyList
GO Biological Processes,19,GO:0030099,myeloid cell differentiation,19_GO:0032502 developmental process,-7.1,18,11,20836,321,25,7,28,9,14461|16477|17260|20375|21349|22038|22761,Gata2|Junb|Mef2c|Spi1|Tal1|Plscr1|Zfpm1,-3.6,MyList
GO Biological Processes,19,GO:0002761,regulation of myeloid leukocyte differentiation,19_GO:0002376 immune system process,-6,27,11,20836,152,25,5,20,8,12192|14461|14582|21349|22761,Zfp36l1|Gata2|Gfi1b|Tal1|Zfpm1,-2.6,MyList
GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0032502 developmental process,-6,12,8.6,20836,481,25,7,28,9,12192|14025|14461|16477|17260|20375|22761,Zfp36l1|Bcl11a|Gata2|Junb|Mef2c|Spi1|Zfpm1,-2.6,MyList
GO Biological Processes,19,GO:0002573,myeloid leukocyte differentiation,19_GO:0032502 developmental process,-5.9,25,11,20836,165,25,5,20,8,14461|16477|17260|20375|22761,Gata2|Junb|Mef2c|Spi1|Zfpm1,-2.6,MyList
GO Biological Processes,19,GO:0030220,platelet formation,19_GO:0032502 developmental process,-5.8,1.3e+02,19,20836,20,25,3,12,6.5,17260|21349|22761,Mef2c|Tal1|Zfpm1,-2.6,MyList
