_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-15.119939547401772,GO:0045646,M1,1,0,GO Biological Processes,19,regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-15.119939547401772,130.73568627450982,32.150653821947145,20836,51,25,8,32.0,9.32952303175248,12192|14461|14582|20375|20846|21349|22761|56484,Zfp36l1|Gata2|Gfi1b|Spi1|Stat1|Tal1|Zfpm1|Foxo3,-10.851759549090284,0,1,1,1,-15.119939547401772,130.73568627450982,
1,-11.370875197421949,GO:0045637,M1,1,0,GO Biological Processes,19,regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-11.370875197421949,32.05538461538462,16.558097352802314,20836,234,25,9,36.0,9.6,12192|14461|14582|17260|20375|20846|21349|22761|56484,Zfp36l1|Gata2|Gfi1b|Mef2c|Spi1|Stat1|Tal1|Zfpm1|Foxo3,-7.4037251947744425,0,1,0,0,-15.119939547401772,130.73568627450982,
1,-8.89045120234865,GO:1903706,M1,1,0,GO Biological Processes,19,regulation of hemopoiesis,19_GO:0002376 immune system process,-8.89045120234865,16.85608988764045,11.718637615509346,20836,445,25,9,36.0,9.6,12192|14461|14582|17260|20375|20846|21349|22761|56484,Zfp36l1|Gata2|Gfi1b|Mef2c|Spi1|Stat1|Tal1|Zfpm1|Foxo3,-5.099392458756825,0,1,0,0,-15.119939547401772,130.73568627450982,
1,-8.41774724976587,GO:0045639,M1,1,0,GO Biological Processes,19,positive regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-8.41774724976587,43.86526315789473,15.906050882251694,20836,114,25,6,24.0,8.541662601625049,12192|14461|14582|20846|21349|56484,Zfp36l1|Gata2|Gfi1b|Stat1|Tal1|Foxo3,-4.751627242782345,0,1,0,0,-15.119939547401772,130.73568627450982,
1,-6.039330110537209,GO:0002761,M1,1,0,GO Biological Processes,19,regulation of myeloid leukocyte differentiation,19_GO:0002376 immune system process,-6.039330110537209,27.41578947368421,11.328917294113909,20836,152,25,5,20.0,8.0,12192|14461|14582|21349|22761,Zfp36l1|Gata2|Gfi1b|Tal1|Zfpm1,-2.616248152239978,0,1,0,0,-15.119939547401772,130.73568627450982,
1,-5.635517807363937,GO:0060216,M1,1,0,GO Biological Processes,19,definitive hemopoiesis,19_GO:0032502 developmental process,-5.635517807363937,113.65090909090908,18.322661073654643,20836,22,25,3,12.0,6.499230723708768,14461|21349|22761,Gata2|Tal1|Zfpm1,-2.5714577917083736,0,1,0,0,-15.119939547401772,130.73568627450982,
1,-5.47247131419289,GO:1902105,M1,1,0,GO Biological Processes,19,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-5.47247131419289,13.929359331476322,8.564684054447728,20836,359,25,6,24.0,8.541662601625049,12192|14461|14582|20375|21349|22761,Zfp36l1|Gata2|Gfi1b|Spi1|Tal1|Zfpm1,-2.4595638209847084,0,1,0,0,-15.119939547401772,130.73568627450982,
1,-3.654030068170173,GO:0045638,M1,1,0,GO Biological Processes,19,negative regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-3.654030068170173,25.255757575757574,8.384550001583554,20836,99,25,3,12.0,6.499230723708768,12192|14461|22761,Zfp36l1|Gata2|Zfpm1,-0.9421525706259726,0,1,0,0,-15.119939547401772,130.73568627450982,
1,-3.440505323209809,GO:1904035,M1,1,0,GO Biological Processes,19,regulation of epithelial cell apoptotic process,19_GO:0050789 regulation of biological process,-3.440505323209809,21.370256410256406,7.658175478572313,20836,117,25,3,12.0,6.499230723708768,12192|14461|56484,Zfp36l1|Gata2|Foxo3,-0.7955746152962216,0,1,0,0,-15.119939547401772,130.73568627450982,
1,-3.3872380072782438,R-MMU-983231,M1,1,0,Reactome Gene Sets,6,Factors involved in megakaryocyte development and platelet production,,-3.3872380072782438,20.494426229508193,7.484773608995291,20836,122,25,3,12.0,6.499230723708768,14461|18022|22761,Gata2|Nfe2|Zfpm1,-0.7776952857156605,0,1,0,0,-15.119939547401772,130.73568627450982,
1,-3.1089543066211456,GO:0045598,M1,1,0,GO Biological Processes,19,regulation of fat cell differentiation,19_GO:0032502 developmental process,-3.1089543066211456,16.449473684210524,6.625802714712487,20836,152,25,3,12.0,6.499230723708768,12192|14461|22761,Zfp36l1|Gata2|Zfpm1,-0.6261041433204247,0,1,0,0,-15.119939547401772,130.73568627450982,
1,-2.81004460102703,R-MMU-8878171,M1,1,0,Reactome Gene Sets,6,Transcriptional regulation by RUNX1,,-2.81004460102703,12.95502590673575,5.783131290658807,20836,193,25,3,12.0,6.499230723708768,14461|21349|22761,Gata2|Tal1|Zfpm1,-0.3931229514346173,0,1,0,0,-15.119939547401772,130.73568627450982,
1,-2.764727440024956,GO:0045596,M1,1,0,GO Biological Processes,19,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-2.764727440024956,5.571122994652407,4.4129157707871896,20836,748,25,5,20.0,8.0,12192|14025|14461|22761|56484,Zfp36l1|Bcl11a|Gata2|Zfpm1|Foxo3,-0.3716087051051684,0,1,0,0,-15.119939547401772,130.73568627450982,
1,-2.1995959151695255,GO:0010721,M1,1,0,GO Biological Processes,19,negative regulation of cell development,19_GO:0048519 negative regulation of biological process,-2.1995959151695255,7.862641509433962,4.274227578653108,20836,318,25,3,12.0,6.499230723708768,14025|14461|22761,Bcl11a|Gata2|Zfpm1,0.0,0,1,0,0,-15.119939547401772,130.73568627450982,
