Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0045646,regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-14,1.7e+02,34,20836,51,17,7,41,12,14461|14582|20375|20846|21349|22761|56484,Gata2|Gfi1b|Spi1|Stat1|Tal1|Zfpm1|Foxo3,-9.9
MyList,GO Biological Processes,19,GO:0045637,regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-11,42,18,20836,234,17,8,47,12,14461|14582|17260|20375|20846|21349|22761|56484,Gata2|Gfi1b|Mef2c|Spi1|Stat1|Tal1|Zfpm1|Foxo3,-7.3
MyList,GO Biological Processes,19,GO:1903706,regulation of hemopoiesis,19_GO:0002376 immune system process,-9.1,22,13,20836,445,17,8,47,12,14461|14582|17260|20375|20846|21349|22761|56484,Gata2|Gfi1b|Mef2c|Spi1|Stat1|Tal1|Zfpm1|Foxo3,-5.3
MyList,GO Biological Processes,19,GO:0045648,positive regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-8.2,1.8e+02,26,20836,28,17,4,24,10,14461|20846|21349|56484,Gata2|Stat1|Tal1|Foxo3,-4.5
MyList,GO Biological Processes,19,GO:0045639,positive regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-7.6,54,16,20836,114,17,5,29,11,14461|14582|20846|21349|56484,Gata2|Gfi1b|Stat1|Tal1|Foxo3,-4.2
MyList,GO Biological Processes,19,GO:0006351,DNA-templated transcription,19_GO:0008152 metabolic process,-7.1,17,10,20836,518,17,7,41,12,14025|14461|16477|17260|20846|21349|56484,Bcl11a|Gata2|Junb|Mef2c|Stat1|Tal1|Foxo3,-3.7
MyList,GO Biological Processes,19,GO:0097659,nucleic acid-templated transcription,19_GO:0008152 metabolic process,-7,17,10,20836,519,17,7,41,12,14025|14461|16477|17260|20846|21349|56484,Bcl11a|Gata2|Junb|Mef2c|Stat1|Tal1|Foxo3,-3.7
MyList,GO Biological Processes,19,GO:0032774,RNA biosynthetic process,19_GO:0008152 metabolic process,-7,16,10,20836,531,17,7,41,12,14025|14461|16477|17260|20846|21349|56484,Bcl11a|Gata2|Junb|Mef2c|Stat1|Tal1|Foxo3,-3.7
MyList,GO Biological Processes,19,GO:0030099,myeloid cell differentiation,19_GO:0032502 developmental process,-6.9,23,11,20836,321,17,6,35,12,14461|16477|17260|20375|21349|22761,Gata2|Junb|Mef2c|Spi1|Tal1|Zfpm1,-3.6
MyList,GO Biological Processes,19,GO:0002573,myeloid leukocyte differentiation,19_GO:0032502 developmental process,-6.8,37,13,20836,165,17,5,29,11,14461|16477|17260|20375|22761,Gata2|Junb|Mef2c|Spi1|Zfpm1,-3.6
