_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.1,GO:0098727,maintenance of cell number,M1,1,0
1,-2.2,GO:0006366,transcription by RNA polymerase II,M1,1,0
1,-4.7,GO:0002521,leukocyte differentiation,M1,1,0
1,-5.7,GO:0006351,DNA-templated transcription,M1,1,0
1,-2.4,GO:0001568,blood vessel development,M1,1,0
1,-2.4,mmu05200,Pathways in cancer - Mus musculus (house mouse),M1,1,0
1,-3.1,GO:0002244,hematopoietic progenitor cell differentiation,M1,1,0
1,-7.9,GO:0060216,definitive hemopoiesis,M1,1,0
1,-3.6,GO:0001775,cell activation,M1,1,0
1,-3.5,GO:0048704,embryonic skeletal system morphogenesis,M1,1,0
1,-3.1,GO:0048598,embryonic morphogenesis,M1,1,0
1,-2.3,GO:0042063,gliogenesis,M1,1,0
1,-3.3,GO:0021700,developmental maturation,M1,1,0
1,-5.7,GO:0032774,RNA biosynthetic process,M1,1,0
1,-4.5,GO:0030183,B cell differentiation,M1,1,0
1,-3.2,GO:0030098,lymphocyte differentiation,M1,1,0
1,-2.1,GO:0048871,multicellular organismal homeostasis,M1,1,0
1,-3.9,GO:0045619,regulation of lymphocyte differentiation,M1,1,0
1,-2.4,GO:0046649,lymphocyte activation,M1,1,0
1,-3.2,GO:0030326,embryonic limb morphogenesis,M1,1,0
1,-3.1,GO:0002761,regulation of myeloid leukocyte differentiation,M1,1,0
1,-2.2,GO:1901342,regulation of vasculature development,M1,1,0
1,-3.5,GO:0002683,negative regulation of immune system process,M1,1,0
1,-9.7,GO:0045637,regulation of myeloid cell differentiation,M1,1,0
1,-5.7,GO:0097659,nucleic acid-templated transcription,M1,1,0
1,-5.5,GO:1902105,regulation of leukocyte differentiation,M1,1,0
1,-3.2,GO:0045621,positive regulation of lymphocyte differentiation,M1,1,0
1,-2,GO:0050865,regulation of cell activation,M1,1,0
1,-3.4,GO:1902106,negative regulation of leukocyte differentiation,M1,1,0
1,-2.2,GO:0002694,regulation of leukocyte activation,M1,1,0
1,-4,GO:0060173,limb development,M1,1,0
1,-4.2,GO:0035107,appendage morphogenesis,M1,1,0
1,-5.8,GO:0030099,myeloid cell differentiation,M1,1,0
1,-2.4,GO:0045165,cell fate commitment,M1,1,0
1,-3.3,mmu04380,Osteoclast differentiation - Mus musculus (house mouse),M1,1,0
1,-2.2,GO:0045765,regulation of angiogenesis,M1,1,0
1,-4.7,GO:0035239,tube morphogenesis,M1,1,0
1,-4.2,GO:0035108,limb morphogenesis,M1,1,0
1,-5,GO:0045639,positive regulation of myeloid cell differentiation,M1,1,0
1,-3.6,GO:0048705,skeletal system morphogenesis,M1,1,0
1,-2.6,GO:0050866,negative regulation of cell activation,M1,1,0
1,-2.5,GO:0022407,regulation of cell-cell adhesion,M1,1,0
1,-2.7,GO:0048514,blood vessel morphogenesis,M1,1,0
1,-3.2,GO:0048872,homeostasis of number of cells,M1,1,0
1,-5.3,GO:0045638,negative regulation of myeloid cell differentiation,M1,1,0
1,-2.8,GO:0045580,regulation of T cell differentiation,M1,1,0
1,-2.4,GO:0071695,anatomical structure maturation,M1,1,0
1,-6.9,GO:0001501,skeletal system development,M1,1,0
1,-2.1,GO:0045321,leukocyte activation,M1,1,0
1,-2.7,GO:0002695,negative regulation of leukocyte activation,M1,1,0
1,-3.1,GO:0048706,embryonic skeletal system development,M1,1,0
1,-2.5,GO:0051249,regulation of lymphocyte activation,M1,1,0
1,-2.1,GO:0048562,embryonic organ morphogenesis,M1,1,0
1,-4.5,GO:0010721,negative regulation of cell development,M1,1,0
1,-3.2,GO:0035113,embryonic appendage morphogenesis,M1,1,0
1,-4.9,GO:0002335,mature B cell differentiation,M1,1,0
1,-5.3,GO:0045648,positive regulation of erythrocyte differentiation,M1,1,0
1,-2.3,GO:0001944,vasculature development,M1,1,0
1,-6.7,mmu05202,Transcriptional misregulation in cancer - Mus musculus (house mouse),M1,1,0
1,-3,GO:1903131,mononuclear cell differentiation,M1,1,0
1,-2.4,GO:0010720,positive regulation of cell development,M1,1,0
1,-3.4,GO:1903707,negative regulation of hemopoiesis,M1,1,0
1,-3,GO:0002262,myeloid cell homeostasis,M1,1,0
1,-2.7,GO:1903708,positive regulation of hemopoiesis,M1,1,0
1,-3.3,GO:0007162,negative regulation of cell adhesion,M1,1,0
1,-5,GO:0045664,regulation of neuron differentiation,M1,1,0
1,-2.6,GO:0010001,glial cell differentiation,M1,1,0
1,-3.8,GO:0042113,B cell activation,M1,1,0
1,-2.1,GO:0051251,positive regulation of lymphocyte activation,M1,1,0
1,-4.5,GO:0048568,embryonic organ development,M1,1,0
1,-4.4,GO:0002573,myeloid leukocyte differentiation,M1,1,0
1,-6.4,GO:0045646,regulation of erythrocyte differentiation,M1,1,0
1,-2.1,GO:0072001,renal system development,M1,1,0
1,-2.1,GO:0006338,chromatin remodeling,M1,1,0
1,-2.5,GO:0001819,positive regulation of cytokine production,M1,1,0
1,-5.8,GO:0045596,negative regulation of cell differentiation,M1,1,0
1,-2.7,GO:0030217,T cell differentiation,M1,1,0
1,-10,GO:1903706,regulation of hemopoiesis,M1,1,0
1,-2.7,GO:0022408,negative regulation of cell-cell adhesion,M1,1,0
1,-2.8,GO:0048469,cell maturation,M1,1,0
1,-2.7,GO:1902107,positive regulation of leukocyte differentiation,M1,1,0
1,-4,GO:0048736,appendage development,M1,1,0
1,-2,GO:0042110,T cell activation,M1,1,0
1,-2.5,GO:0060348,bone development,M1,1,0
