Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0045637,regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-11,36,17,20836,234,20,8,40,11,12394|15404|15405|17268|20375|20846|21349|56484,Runx1|Hoxa7|Hoxa9|Meis1|Spi1|Stat1|Tal1|Foxo3,-6.3
MyList,GO Biological Processes,19,GO:1903706,regulation of hemopoiesis,19_GO:0002376 immune system process,-9.9,21,13,20836,445,20,9,45,11,12394|15404|15405|17268|20375|20846|21349|56484|239985,Runx1|Hoxa7|Hoxa9|Meis1|Spi1|Stat1|Tal1|Foxo3|Arid1b,-6
MyList,GO Biological Processes,19,GO:0060216,definitive hemopoiesis,19_GO:0032502 developmental process,-8.4,1.9e+02,27,20836,22,20,4,20,8.9,12394|15405|17268|21349,Runx1|Hoxa9|Meis1|Tal1,-4.6
MyList,GO Biological Processes,19,GO:0045646,regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-6.8,82,18,20836,51,20,4,20,8.9,20375|20846|21349|56484,Spi1|Stat1|Tal1|Foxo3,-3.2
MyList,GO Biological Processes,19,GO:0006351,DNA-templated transcription,19_GO:0008152 metabolic process,-6.5,14,9.3,20836,518,20,7,35,11,14025|15405|16477|18089|20846|21349|56484,Bcl11a|Hoxa9|Junb|Nkx2-3|Stat1|Tal1|Foxo3,-3
MyList,GO Biological Processes,19,GO:0097659,nucleic acid-templated transcription,19_GO:0008152 metabolic process,-6.5,14,9.3,20836,519,20,7,35,11,14025|15405|16477|18089|20846|21349|56484,Bcl11a|Hoxa9|Junb|Nkx2-3|Stat1|Tal1|Foxo3,-3
MyList,GO Biological Processes,19,GO:0032774,RNA biosynthetic process,19_GO:0008152 metabolic process,-6.4,14,9.2,20836,531,20,7,35,11,14025|15405|16477|18089|20846|21349|56484,Bcl11a|Hoxa9|Junb|Nkx2-3|Stat1|Tal1|Foxo3,-3
MyList,GO Biological Processes,19,GO:0030099,myeloid cell differentiation,19_GO:0032502 developmental process,-6.4,19,10,20836,321,20,6,30,10,12394|16477|17268|18089|20375|21349,Runx1|Junb|Meis1|Nkx2-3|Spi1|Tal1,-3
MyList,GO Biological Processes,19,GO:0045638,negative regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-5.7,42,13,20836,99,20,4,20,8.9,12394|15404|15405|17268,Runx1|Hoxa7|Hoxa9|Meis1,-2.3
MyList,GO Biological Processes,19,GO:0045648,positive regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-5.6,1.1e+02,18,20836,28,20,3,15,8,20846|21349|56484,Stat1|Tal1|Foxo3,-2.3
MyList,GO Biological Processes,19,GO:0045639,positive regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-5.4,37,12,20836,114,20,4,20,8.9,12394|20846|21349|56484,Runx1|Stat1|Tal1|Foxo3,-2.2
MyList,GO Biological Processes,19,GO:0001501,skeletal system development,19_GO:0032502 developmental process,-5.1,12,7.8,20836,535,20,6,30,10,12394|15404|15405|17268|21349|71375,Runx1|Hoxa7|Hoxa9|Meis1|Tal1|Foxn3,-1.9
MyList,GO Biological Processes,19,GO:0002573,myeloid leukocyte differentiation,19_GO:0032502 developmental process,-4.8,25,9.7,20836,165,20,4,20,8.9,12394|16477|18089|20375,Runx1|Junb|Nkx2-3|Spi1,-1.6
MyList,GO Biological Processes,19,GO:1902105,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-4.7,15,8,20836,359,20,5,25,9.7,12394|15404|20375|21349|239985,Runx1|Hoxa7|Spi1|Tal1|Arid1b,-1.6
MyList,GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-4.3,8.4,6.4,20836,748,20,6,30,10,12394|14025|15404|15405|17268|56484,Runx1|Bcl11a|Hoxa7|Hoxa9|Meis1|Foxo3,-1.2
MyList,KEGG Pathway,24,mmu05202,Transcriptional misregulation in cancer - Mus musculus (house mouse),,-4.3,19,8.2,20836,224,20,4,20,8.9,12394|15405|17268|20375,Runx1|Hoxa9|Meis1|Spi1,-1.2
MyList,GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-4.2,8.2,6.3,20836,758,20,6,30,10,14013|16477|17268|18089|20375|21349,Mecom|Junb|Meis1|Nkx2-3|Spi1|Tal1,-1.2
MyList,GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0032502 developmental process,-4.1,11,6.8,20836,481,20,5,25,9.7,12394|14025|16477|18089|20375,Runx1|Bcl11a|Junb|Nkx2-3|Spi1,-1.1
MyList,GO Biological Processes,19,GO:0045664,regulation of neuron differentiation,19_GO:0032502 developmental process,-4.1,17,7.8,20836,244,20,4,20,8.9,14025|17268|21413|56484,Bcl11a|Meis1|Tcf4|Foxo3,-1.1
MyList,GO Biological Processes,19,GO:0048568,embryonic organ development,19_GO:0032502 developmental process,-3.9,9.8,6.4,20836,532,20,5,25,9.7,12394|15404|15405|16477|21349,Runx1|Hoxa7|Hoxa9|Junb|Tal1,-0.95
MyList,KEGG Pathway,24,mmu04380,Osteoclast differentiation - Mus musculus (house mouse),,-3.6,24,8.2,20836,128,20,3,15,8,16477|20375|20846,Junb|Spi1|Stat1,-0.67
MyList,GO Biological Processes,19,GO:0048872,homeostasis of number of cells,19_GO:0042592 homeostatic process,-3.6,12,6.5,20836,340,20,4,20,8.9,14013|18089|20375|21349,Mecom|Nkx2-3|Spi1|Tal1,-0.63
MyList,GO Biological Processes,19,GO:0045621,positive regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-3.5,22,7.8,20836,140,20,3,15,8,12394|20375|239985,Runx1|Spi1|Arid1b,-0.6
MyList,GO Biological Processes,19,GO:0002244,hematopoietic progenitor cell differentiation,19_GO:0032502 developmental process,-3.4,21,7.5,20836,151,20,3,15,8,12394|20375|21349,Runx1|Spi1|Tal1,-0.55
MyList,GO Biological Processes,19,GO:0098727,maintenance of cell number,19_GO:0032502 developmental process,-3.4,21,7.5,20836,152,20,3,15,8,14013|20375|56484,Mecom|Spi1|Foxo3,-0.55
MyList,GO Biological Processes,19,GO:0002761,regulation of myeloid leukocyte differentiation,19_GO:0002376 immune system process,-3.4,21,7.5,20836,152,20,3,15,8,12394|15404|21349,Runx1|Hoxa7|Tal1,-0.55
MyList,GO Biological Processes,19,GO:0030183,B cell differentiation,19_GO:0002376 immune system process,-3.4,20,7.4,20836,157,20,3,15,8,14025|18089|20375,Bcl11a|Nkx2-3|Spi1,-0.52
MyList,GO Biological Processes,19,GO:0002262,myeloid cell homeostasis,19_GO:0042592 homeostatic process,-3.3,19,7.1,20836,167,20,3,15,8,14013|20375|21349,Mecom|Spi1|Tal1,-0.46
MyList,GO Biological Processes,19,GO:0001775,cell activation,19_GO:0032501 multicellular organismal process,-3.1,6.7,5,20836,781,20,5,25,9.7,14025|15405|18089|20375|21413,Bcl11a|Hoxa9|Nkx2-3|Spi1|Tcf4,-0.34
MyList,GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-3.1,9.1,5.4,20836,457,20,4,20,8.9,16477|17268|20375|21349,Junb|Meis1|Spi1|Tal1,-0.29
MyList,GO Biological Processes,19,GO:0030217,T cell differentiation,19_GO:0002376 immune system process,-3,15,6.3,20836,207,20,3,15,8,14025|18089|20375,Bcl11a|Nkx2-3|Spi1,-0.24
MyList,GO Biological Processes,19,GO:1903708,positive regulation of hemopoiesis,19_GO:0002376 immune system process,-3,15,6.3,20836,211,20,3,15,8,12394|20375|239985,Runx1|Spi1|Arid1b,-0.24
MyList,GO Biological Processes,19,GO:1902107,positive regulation of leukocyte differentiation,19_GO:0002376 immune system process,-3,15,6.3,20836,211,20,3,15,8,12394|20375|239985,Runx1|Spi1|Arid1b,-0.24
MyList,GO Biological Processes,19,GO:0045619,regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-2.9,14,6.1,20836,222,20,3,15,8,12394|20375|239985,Runx1|Spi1|Arid1b,-0.19
MyList,GO Biological Processes,19,GO:0042113,B cell activation,19_GO:0002376 immune system process,-2.9,14,6,20836,229,20,3,15,8,14025|18089|20375,Bcl11a|Nkx2-3|Spi1,-0.16
MyList,GO Biological Processes,19,GO:0002683,negative regulation of immune system process,19_GO:0002376 immune system process,-2.9,8,5,20836,521,20,4,20,8.9,12394|14605|15404|20375,Runx1|Tsc22d3|Hoxa7|Spi1,-0.15
MyList,GO Biological Processes,19,GO:0060348,bone development,19_GO:0032502 developmental process,-2.8,13,5.8,20836,243,20,3,15,8,17268|21349|71375,Meis1|Tal1|Foxn3,-0.12
MyList,KEGG Pathway,24,mmu05200,Pathways in cancer - Mus musculus (house mouse),,-2.8,7.7,4.9,20836,543,20,4,20,8.9,12394|14013|20375|20846,Runx1|Mecom|Spi1|Stat1,-0.12
MyList,GO Biological Processes,19,GO:0010720,positive regulation of cell development,19_GO:0032502 developmental process,-2.8,7.6,4.9,20836,545,20,4,20,8.9,12394|14025|20375|239985,Runx1|Bcl11a|Spi1|Arid1b,-0.12
MyList,GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-2.7,7.4,4.8,20836,566,20,4,20,8.9,16477|17268|20375|21349,Junb|Meis1|Spi1|Tal1,-0.076
MyList,GO Biological Processes,19,GO:0048705,skeletal system morphogenesis,19_GO:0032502 developmental process,-2.7,12,5.6,20836,259,20,3,15,8,15404|15405|71375,Hoxa7|Hoxa9|Foxn3,-0.076
MyList,GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-2.6,6.9,4.6,20836,603,20,4,20,8.9,16477|17268|20375|21349,Junb|Meis1|Spi1|Tal1,0
MyList,GO Biological Processes,19,GO:0048598,embryonic morphogenesis,19_GO:0032502 developmental process,-2.5,6.5,4.4,20836,643,20,4,20,8.9,14013|15404|15405|21349,Mecom|Hoxa7|Hoxa9|Tal1,0
MyList,GO Biological Processes,19,GO:0045765,regulation of angiogenesis,19_GO:0032502 developmental process,-2.5,10,5,20836,305,20,3,15,8,12394|20846|21413,Runx1|Stat1|Tcf4,0
MyList,GO Biological Processes,19,GO:1901342,regulation of vasculature development,19_GO:0032502 developmental process,-2.5,10,5,20836,309,20,3,15,8,12394|20846|21413,Runx1|Stat1|Tcf4,0
MyList,GO Biological Processes,19,GO:0007162,negative regulation of cell adhesion,19_GO:0048519 negative regulation of biological process,-2.5,9.8,4.9,20836,318,20,3,15,8,12394|15404|20375,Runx1|Hoxa7|Spi1,0
MyList,GO Biological Processes,19,GO:0010721,negative regulation of cell development,19_GO:0048519 negative regulation of biological process,-2.5,9.8,4.9,20836,318,20,3,15,8,12394|14025|15404,Runx1|Bcl11a|Hoxa7,0
MyList,GO Biological Processes,19,GO:0048871,multicellular organismal homeostasis,19_GO:0042592 homeostatic process,-2.5,6.2,4.2,20836,673,20,4,20,8.9,14013|18089|20375|21349,Mecom|Nkx2-3|Spi1|Tal1,0
MyList,GO Biological Processes,19,GO:0006366,transcription by RNA polymerase II,19_GO:0008152 metabolic process,-2.4,9.5,4.8,20836,329,20,3,15,8,16477|18089|21349,Junb|Nkx2-3|Tal1,0
MyList,GO Biological Processes,19,GO:0006338,chromatin remodeling,19_GO:0009987 cellular process,-2.4,9.4,4.8,20836,332,20,3,15,8,14013|20375|239985,Mecom|Spi1|Arid1b,0
