_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.3,WP447,Adipogenesis genes,M1,1,0
1,-4.5,GO:0032774,RNA biosynthetic process,M1,1,0
1,-4.4,GO:0001568,blood vessel development,M1,1,0
1,-2.6,GO:0017157,regulation of exocytosis,M1,1,0
1,-4.5,GO:0002244,hematopoietic progenitor cell differentiation,M1,1,0
1,-6.3,GO:0050867,positive regulation of cell activation,M1,1,0
1,-10,GO:0060216,definitive hemopoiesis,M1,1,0
1,-5.6,GO:0001775,cell activation,M1,1,0
1,-2.6,GO:0051046,regulation of secretion,M1,1,0
1,-2.8,GO:0010564,regulation of cell cycle process,M1,1,0
1,-2.2,GO:0006366,transcription by RNA polymerase II,M1,1,0
1,-3.2,GO:1901990,regulation of mitotic cell cycle phase transition,M1,1,0
1,-5.1,GO:0048598,embryonic morphogenesis,M1,1,0
1,-2.2,GO:0021700,developmental maturation,M1,1,0
1,-2.7,GO:0071363,cellular response to growth factor stimulus,M1,1,0
1,-3.5,GO:0007346,regulation of mitotic cell cycle,M1,1,0
1,-2.2,GO:0050778,positive regulation of immune response,M1,1,0
1,-3.4,GO:1903707,negative regulation of hemopoiesis,M1,1,0
1,-4.2,GO:0002762,negative regulation of myeloid leukocyte differentiation,M1,1,0
1,-7.5,GO:0030851,granulocyte differentiation,M1,1,0
1,-3.2,GO:0030098,lymphocyte differentiation,M1,1,0
1,-3.9,GO:0045619,regulation of lymphocyte differentiation,M1,1,0
1,-5,GO:0048871,multicellular organismal homeostasis,M1,1,0
1,-3.4,R-MMU-983231,Factors involved in megakaryocyte development and platelet production,M1,1,0
1,-6.7,GO:0060215,primitive hemopoiesis,M1,1,0
1,-3.3,GO:0046649,lymphocyte activation,M1,1,0
1,-3.7,GO:0048514,blood vessel morphogenesis,M1,1,0
1,-3.6,GO:0000902,cell morphogenesis,M1,1,0
1,-2.7,GO:0007389,pattern specification process,M1,1,0
1,-2.9,GO:1903530,regulation of secretion by cell,M1,1,0
1,-4,GO:0048729,tissue morphogenesis,M1,1,0
1,-4.6,GO:0048821,erythrocyte development,M1,1,0
1,-4.6,GO:0006351,DNA-templated transcription,M1,1,0
1,-2.7,GO:0048732,gland development,M1,1,0
1,-8.6,GO:0002521,leukocyte differentiation,M1,1,0
1,-3.1,GO:0045598,regulation of fat cell differentiation,M1,1,0
1,-5,GO:0060348,bone development,M1,1,0
1,-4.6,GO:0097659,nucleic acid-templated transcription,M1,1,0
1,-2.5,GO:0002009,morphogenesis of an epithelium,M1,1,0
1,-2,GO:0060562,epithelial tube morphogenesis,M1,1,0
1,-8.2,GO:1902105,regulation of leukocyte differentiation,M1,1,0
1,-3.2,GO:0045621,positive regulation of lymphocyte differentiation,M1,1,0
1,-2.3,GO:0007507,heart development,M1,1,0
1,-6,GO:0050865,regulation of cell activation,M1,1,0
1,-3.4,GO:1902106,negative regulation of leukocyte differentiation,M1,1,0
1,-5.1,GO:0002694,regulation of leukocyte activation,M1,1,0
1,-2.8,GO:1901987,regulation of cell cycle phase transition,M1,1,0
1,-12,GO:0035162,embryonic hemopoiesis,M1,1,0
1,-2.7,GO:0021953,central nervous system neuron differentiation,M1,1,0
1,-10,GO:0030099,myeloid cell differentiation,M1,1,0
1,-4.8,GO:0045165,cell fate commitment,M1,1,0
1,-4.4,GO:0043300,regulation of leukocyte degranulation,M1,1,0
1,-2.2,GO:0045765,regulation of angiogenesis,M1,1,0
1,-4,GO:0002886,regulation of myeloid leukocyte mediated immunity,M1,1,0
1,-5.7,GO:0035239,tube morphogenesis,M1,1,0
1,-4.6,GO:0071559,response to transforming growth factor beta,M1,1,0
1,-8.4,GO:0045639,positive regulation of myeloid cell differentiation,M1,1,0
1,-4,GO:0002763,positive regulation of myeloid leukocyte differentiation,M1,1,0
1,-13,GO:0045637,regulation of myeloid cell differentiation,M1,1,0
1,-3.5,GO:0002683,negative regulation of immune system process,M1,1,0
1,-2.3,GO:0071222,cellular response to lipopolysaccharide,M1,1,0
1,-2.2,GO:0002703,regulation of leukocyte mediated immunity,M1,1,0
1,-2.2,GO:1901342,regulation of vasculature development,M1,1,0
1,-2.9,GO:0009611,response to wounding,M1,1,0
1,-7.7,GO:0002761,regulation of myeloid leukocyte differentiation,M1,1,0
1,-7,GO:0048872,homeostasis of number of cells,M1,1,0
1,-2.2,GO:0007517,muscle organ development,M1,1,0
1,-2.3,GO:0071219,cellular response to molecule of bacterial origin,M1,1,0
1,-6.4,GO:0045664,regulation of neuron differentiation,M1,1,0
1,-5.3,GO:1903708,positive regulation of hemopoiesis,M1,1,0
1,-7,GO:0045638,negative regulation of myeloid cell differentiation,M1,1,0
1,-5.8,GO:0002262,myeloid cell homeostasis,M1,1,0
1,-2.4,GO:0071695,anatomical structure maturation,M1,1,0
1,-5.6,GO:0001501,skeletal system development,M1,1,0
1,-2.9,GO:0045321,leukocyte activation,M1,1,0
1,-3.4,GO:0045666,positive regulation of neuron differentiation,M1,1,0
1,-6.6,GO:0030218,erythrocyte differentiation,M1,1,0
1,-2.7,GO:0048738,cardiac muscle tissue development,M1,1,0
1,-3.8,GO:0045661,regulation of myoblast differentiation,M1,1,0
1,-3.4,GO:0051249,regulation of lymphocyte activation,M1,1,0
1,-3.3,GO:0001701,in utero embryonic development,M1,1,0
1,-7.9,GO:0036344,platelet morphogenesis,M1,1,0
1,-3.3,GO:0010721,negative regulation of cell development,M1,1,0
1,-2.6,GO:0070848,response to growth factor,M1,1,0
1,-2,GO:0007420,brain development,M1,1,0
1,-5.3,GO:0045648,positive regulation of erythrocyte differentiation,M1,1,0
1,-8.1,GO:0030220,platelet formation,M1,1,0
1,-7.3,GO:0061515,myeloid cell development,M1,1,0
1,-4.2,GO:0001944,vasculature development,M1,1,0
1,-5.2,mmu05202,Transcriptional misregulation in cancer - Mus musculus (house mouse),M1,1,0
1,-2.2,GO:0007548,sex differentiation,M1,1,0
1,-4.3,GO:0000904,cell morphogenesis involved in differentiation,M1,1,0
1,-5.3,GO:1903131,mononuclear cell differentiation,M1,1,0
1,-3.7,WP373,IL-3 signaling pathway,M1,1,0
1,-4.2,R-MMU-8939236,RUNX1 regulates transcription of genes involved in differentiation of HSCs,M1,1,0
1,-5.6,GO:0010720,positive regulation of cell development,M1,1,0
1,-3.2,GO:0030278,regulation of ossification,M1,1,0
1,-4.7,GO:0071560,cellular response to transforming growth factor beta stimulus,M1,1,0
1,-2.1,GO:0001525,angiogenesis,M1,1,0
1,-7.3,GO:0030219,megakaryocyte differentiation,M1,1,0
1,-2.7,GO:0014706,striated muscle tissue development,M1,1,0
1,-3,GO:1903305,regulation of regulated secretory pathway,M1,1,0
1,-3,GO:0060537,muscle tissue development,M1,1,0
1,-2.6,GO:0042113,B cell activation,M1,1,0
1,-2.8,GO:0007610,behavior,M1,1,0
1,-3.1,GO:0050864,regulation of B cell activation,M1,1,0
1,-2.4,GO:0061061,muscle structure development,M1,1,0
1,-2.5,GO:0060485,mesenchyme development,M1,1,0
1,-3.2,GO:0051251,positive regulation of lymphocyte activation,M1,1,0
1,-8.2,GO:0048568,embryonic organ development,M1,1,0
