_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-13.129329479042859,GO:0045637,M1,1,0,GO Biological Processes,19,regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-13.129329479042859,35.61709401709402,18.457128124640825,20836,234,25,10,40.0,9.797958971132712,12192|12394|14460|14461|14582|17260|17268|20375|21349|22761,Zfp36l1|Runx1|Gata1|Gata2|Gfi1b|Mef2c|Meis1|Spi1|Tal1|Zfpm1,-8.86114948073137,0,1,1,1,-13.129329479042859,114.39372549019609,
1,-12.797807232209276,GO:0045646,M1,1,0,GO Biological Processes,19,regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-12.797807232209276,114.39372549019609,28.100845021949013,20836,51,25,7,28.0,8.97997772825746,12192|14460|14461|14582|20375|21349|22761,Zfp36l1|Gata1|Gata2|Gfi1b|Spi1|Tal1|Zfpm1,-8.83065722956177,0,1,0,0,-13.129329479042859,114.39372549019609,
1,-11.896077945618009,GO:1903706,M1,1,0,GO Biological Processes,19,regulation of hemopoiesis,19_GO:0002376 immune system process,-11.896077945618009,20.601887640449437,14.487015365459774,20836,445,25,11,44.0,9.927738916792686,12192|12394|14460|14461|14582|17260|17268|20375|21349|22761|239985,Zfp36l1|Runx1|Gata1|Gata2|Gfi1b|Mef2c|Meis1|Spi1|Tal1|Zfpm1|Arid1b,-8.229957938634483,0,1,0,0,-13.129329479042859,114.39372549019609,
1,-8.41774724976587,GO:0045639,M1,1,0,GO Biological Processes,19,positive regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-8.41774724976587,43.86526315789473,15.906050882251694,20836,114,25,6,24.0,8.541662601625049,12192|12394|14460|14461|14582|21349,Zfp36l1|Runx1|Gata1|Gata2|Gfi1b|Tal1,-5.052657238446327,0,1,0,0,-13.129329479042859,114.39372549019609,
1,-8.220528450497593,GO:1902105,M1,1,0,GO Biological Processes,19,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-8.220528450497593,18.5724791086351,11.640385866022479,20836,359,25,8,32.0,9.32952303175248,12192|12394|14461|14582|20375|21349|22761|239985,Zfp36l1|Runx1|Gata2|Gfi1b|Spi1|Tal1|Zfpm1|Arid1b,-4.94508920599426,0,1,0,0,-13.129329479042859,114.39372549019609,
1,-7.666363232932876,GO:0002761,M1,1,0,GO Biological Processes,19,regulation of myeloid leukocyte differentiation,19_GO:0002376 immune system process,-7.666363232932876,32.89894736842105,13.680474583814622,20836,152,25,6,24.0,8.541662601625049,12192|12394|14461|14582|21349|22761,Zfp36l1|Runx1|Gata2|Gfi1b|Tal1|Zfpm1,-4.512126586928225,0,1,0,0,-13.129329479042859,114.39372549019609,
1,-5.734052269642146,GO:0035239,M1,1,0,GO Biological Processes,19,tube morphogenesis,19_GO:0032502 developmental process,-5.734052269642146,8.796200527704485,7.578402388236224,20836,758,25,8,32.0,9.32952303175248,12192|14461|17260|17268|18514|20375|21349|24136,Zfp36l1|Gata2|Mef2c|Meis1|Pbx1|Spi1|Tal1|Zeb2,-2.8972360354896454,0,1,0,0,-13.129329479042859,114.39372549019609,
1,-4.526053501183702,GO:0002244,M1,1,0,GO Biological Processes,19,hematopoietic progenitor cell differentiation,19_GO:0032502 developmental process,-4.526053501183702,22.07788079470199,9.009650353318072,20836,151,25,4,16.0,7.332121111929343,12394|14461|20375|21349,Runx1|Gata2|Spi1|Tal1,-1.9654436789701504,0,1,0,0,-13.129329479042859,114.39372549019609,
1,-4.350565479564976,GO:0001568,M1,1,0,GO Biological Processes,19,blood vessel development,19_GO:0032502 developmental process,-4.350565479564976,8.835053003533568,6.550034117868812,20836,566,25,6,24.0,8.541662601625049,12192|14461|17260|17268|20375|21349,Zfp36l1|Gata2|Mef2c|Meis1|Spi1|Tal1,-1.8147792410764565,0,1,0,0,-13.129329479042859,114.39372549019609,
1,-4.197598699294424,GO:0001944,M1,1,0,GO Biological Processes,19,vasculature development,19_GO:0032502 developmental process,-4.197598699294424,8.292935323383084,6.298703417422522,20836,603,25,6,24.0,8.541662601625049,12192|14461|17260|17268|20375|21349,Zfp36l1|Gata2|Mef2c|Meis1|Spi1|Tal1,-1.685293556655428,0,1,0,0,-13.129329479042859,114.39372549019609,
1,-3.7362167835051188,GO:0048514,M1,1,0,GO Biological Processes,19,blood vessel morphogenesis,19_GO:0032502 developmental process,-3.7362167835051188,9.118599562363238,6.082303239098098,20836,457,25,5,20.0,8.0,12192|14461|17268|20375|21349,Zfp36l1|Gata2|Meis1|Spi1|Tal1,-1.274216759177518,0,1,0,0,-13.129329479042859,114.39372549019609,
1,-11.948473413536409,GO:0035162,M1,1,0,GO Biological Processes,19,embryonic hemopoiesis,19_GO:0032502 developmental process,-11.948473413536409,161.31096774193546,30.958542391772124,20836,31,25,6,24.0,8.541662601625049,12394|14460|16596|18514|21349|22761,Runx1|Gata1|Klf1|Pbx1|Tal1|Zfpm1,-8.229957938634483,0,2,1,1,-11.948473413536409,161.31096774193546,
1,-8.213269204305748,GO:0048568,M1,1,0,GO Biological Processes,19,embryonic organ development,19_GO:0032502 developmental process,-8.213269204305748,14.099548872180451,10.608198445307982,20836,532,25,9,36.0,9.6,12192|12394|14460|14461|16596|17260|18514|21349|22761,Zfp36l1|Runx1|Gata1|Gata2|Klf1|Mef2c|Pbx1|Tal1|Zfpm1,-4.94508920599426,0,2,0,0,-11.948473413536409,161.31096774193546,
1,-6.967598832274113,GO:0045638,M1,1,0,GO Biological Processes,19,negative regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-6.967598832274113,42.09292929292929,14.204698381074664,20836,99,25,5,20.0,8.0,12192|12394|14461|17268|22761,Zfp36l1|Runx1|Gata2|Meis1|Zfpm1,-3.976558836703295,0,2,0,0,-11.948473413536409,161.31096774193546,
1,-4.690482345286048,GO:0045596,M1,1,0,GO Biological Processes,19,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-4.690482345286048,7.79957219251337,6.564238021608947,20836,748,25,7,28.0,8.97997772825746,12192|12394|14025|14461|17268|18514|22761,Zfp36l1|Runx1|Bcl11a|Gata2|Meis1|Pbx1|Zfpm1,-2.0850601786561342,0,2,0,0,-11.948473413536409,161.31096774193546,
1,-4.217721441543082,GO:0002762,M1,1,0,GO Biological Processes,19,negative regulation of myeloid leukocyte differentiation,19_GO:0002376 immune system process,-4.217721441543082,39.067499999999995,10.571228700558041,20836,64,25,3,12.0,6.499230723708768,12394|14461|22761,Runx1|Gata2|Zfpm1,-1.6977294702377947,0,2,0,0,-11.948473413536409,161.31096774193546,
1,-3.4728638753979384,GO:0002683,M1,1,0,GO Biological Processes,19,negative regulation of immune system process,19_GO:0002376 immune system process,-3.4728638753979384,7.998464491362763,5.607037928544676,20836,521,25,5,20.0,8.0,12394|14461|14605|20375|22761,Runx1|Gata2|Tsc22d3|Spi1|Zfpm1,-1.037192789792687,0,2,0,0,-11.948473413536409,161.31096774193546,
1,-3.3977073999105016,GO:1902106,M1,1,0,GO Biological Processes,19,negative regulation of leukocyte differentiation,19_GO:0002376 immune system process,-3.3977073999105016,20.66380165289256,7.518617363625985,20836,121,25,3,12.0,6.499230723708768,12394|14461|22761,Runx1|Gata2|Zfpm1,-0.9807857503180891,0,2,0,0,-11.948473413536409,161.31096774193546,
1,-3.356358040855757,GO:1903707,M1,1,0,GO Biological Processes,19,negative regulation of hemopoiesis,19_GO:0002376 immune system process,-3.356358040855757,20.00256,7.3856184339604045,20836,125,25,3,12.0,6.499230723708768,12394|14461|22761,Runx1|Gata2|Zfpm1,-0.9515009026647252,0,2,0,0,-11.948473413536409,161.31096774193546,
1,-3.33630257636436,GO:0001701,M1,1,0,GO Biological Processes,19,in utero embryonic development,19_GO:0032502 developmental process,-3.33630257636436,7.468100358422939,5.367864839969226,20836,558,25,5,20.0,8.0,12192|12394|14460|14461|16596,Zfp36l1|Runx1|Gata1|Gata2|Klf1,-0.9431838414445723,0,2,0,0,-11.948473413536409,161.31096774193546,
1,-3.2816689551738687,GO:0010721,M1,1,0,GO Biological Processes,19,negative regulation of cell development,19_GO:0048519 negative regulation of biological process,-3.2816689551738687,10.483522012578616,5.906578578118194,20836,318,25,4,16.0,7.332121111929343,12394|14025|14461|22761,Runx1|Bcl11a|Gata2|Zfpm1,-0.8943025491431722,0,2,0,0,-11.948473413536409,161.31096774193546,
1,-3.1089543066211456,GO:0045598,M1,1,0,GO Biological Processes,19,regulation of fat cell differentiation,19_GO:0032502 developmental process,-3.1089543066211456,16.449473684210524,6.625802714712487,20836,152,25,3,12.0,6.499230723708768,12192|14461|22761,Zfp36l1|Gata2|Zfpm1,-0.7650535943715394,0,2,0,0,-11.948473413536409,161.31096774193546,
1,-2.7119088394969584,GO:0048732,M1,1,0,GO Biological Processes,19,gland development,19_GO:0032502 developmental process,-2.7119088394969584,7.359293598233996,4.742902609960438,20836,453,25,4,16.0,7.332121111929343,12394|14461|16596|18514,Runx1|Gata2|Klf1|Pbx1,-0.42600007422503894,0,2,0,0,-11.948473413536409,161.31096774193546,
1,-10.374735694418547,GO:0060216,M1,1,0,GO Biological Processes,19,definitive hemopoiesis,19_GO:0032502 developmental process,-10.374735694418547,189.4181818181818,30.646201734446414,20836,22,25,5,20.0,8.0,12394|14461|17268|21349|22761,Runx1|Gata2|Meis1|Tal1|Zfpm1,-6.805525700443078,0,3,1,1,-10.374735694418547,189.4181818181818,
1,-7.304463824790439,GO:0030219,M1,1,0,GO Biological Processes,19,megakaryocyte differentiation,19_GO:0032502 developmental process,-7.304463824790439,107.54064516129033,20.574656407677274,20836,31,25,4,16.0,7.332121111929343,14460|17268|21349|22761,Gata1|Meis1|Tal1|Zfpm1,-4.240403809134876,0,3,0,0,-10.374735694418547,189.4181818181818,
1,-7.250254717566813,GO:0061515,M1,1,0,GO Biological Processes,19,myeloid cell development,19_GO:0032502 developmental process,-7.250254717566813,47.89885057471264,15.19299944527553,20836,87,25,5,20.0,8.0,14460|16596|17268|21349|22761,Gata1|Klf1|Meis1|Tal1|Zfpm1,-4.212523640633599,0,3,0,0,-10.374735694418547,189.4181818181818,
1,-5.642882422561298,GO:0001501,M1,1,0,GO Biological Processes,19,skeletal system development,19_GO:0032502 developmental process,-5.642882422561298,10.904822429906543,8.04424245057022,20836,535,25,7,28.0,8.97997772825746,12394|17260|17268|18514|21349|22761|71375,Runx1|Mef2c|Meis1|Pbx1|Tal1|Zfpm1|Foxn3,-2.8313790409187263,0,3,0,0,-10.374735694418547,189.4181818181818,
1,-5.462342699535679,GO:0035855,M1,1,0,GO Biological Processes,19,megakaryocyte development,19_GO:0032502 developmental process,-5.462342699535679,100.01279999999998,17.168610737758183,20836,25,25,3,12.0,6.499230723708768,17268|21349|22761,Meis1|Tal1|Zfpm1,-2.699312679544097,0,3,0,0,-10.374735694418547,189.4181818181818,
1,-5.050174697185619,GO:0098751,M1,1,0,GO Biological Processes,19,bone cell development,19_GO:0032502 developmental process,-5.050174697185619,73.53882352941176,14.67160757566745,20836,34,25,3,12.0,6.499230723708768,17268|21349|22761,Meis1|Tal1|Zfpm1,-2.3964520229086372,0,3,0,0,-10.374735694418547,189.4181818181818,
1,-5.0413827308222245,GO:0060348,M1,1,0,GO Biological Processes,19,bone development,19_GO:0032502 developmental process,-5.0413827308222245,17.148971193415637,8.776239551875356,20836,243,25,5,20.0,8.0,17260|17268|21349|22761|71375,Mef2c|Meis1|Tal1|Zfpm1|Foxn3,-2.3964520229086372,0,3,0,0,-10.374735694418547,189.4181818181818,
1,-2.979993607337785,GO:0060537,M1,1,0,GO Biological Processes,19,muscle tissue development,19_GO:0032502 developmental process,-2.979993607337785,8.704334203655353,5.274438994899701,20836,383,25,4,16.0,7.332121111929343,17260|17268|22761|217082,Mef2c|Meis1|Zfpm1|Hlf,-0.6463120602698648,0,3,0,0,-10.374735694418547,189.4181818181818,
1,-2.772422241449505,GO:0007610,M1,1,0,GO Biological Processes,19,behavior,19_GO:0032501 multicellular organismal process,-2.772422241449505,5.593557046979866,4.4253411474392275,20836,745,25,5,20.0,8.0,12394|13134|17260|17268|21349,Runx1|Dach1|Mef2c|Meis1|Tal1,-0.4701563336601284,0,3,0,0,-10.374735694418547,189.4181818181818,
1,-2.6936158923096145,GO:0048738,M1,1,0,GO Biological Processes,19,cardiac muscle tissue development,19_GO:0032502 developmental process,-2.6936158923096145,11.793962264150942,5.4749815250140434,20836,212,25,3,12.0,6.499230723708768,17260|17268|22761,Mef2c|Meis1|Zfpm1,-0.41666196969062147,0,3,0,0,-10.374735694418547,189.4181818181818,
1,-2.6591410620983136,GO:0014706,M1,1,0,GO Biological Processes,19,striated muscle tissue development,19_GO:0032502 developmental process,-2.6591410620983136,11.469357798165136,5.385739007145391,20836,218,25,3,12.0,6.499230723708768,17260|17268|22761,Mef2c|Meis1|Zfpm1,-0.3931709353006189,0,3,0,0,-10.374735694418547,189.4181818181818,
1,-2.4248848339656703,GO:0061061,M1,1,0,GO Biological Processes,19,muscle structure development,19_GO:0032502 developmental process,-2.4248848339656703,6.128235294117648,4.200734643759937,20836,544,25,4,16.0,7.332121111929343,17260|17268|22761|217082,Mef2c|Meis1|Zfpm1|Hlf,-0.19809752081240758,0,3,0,0,-10.374735694418547,189.4181818181818,
1,-2.2611894301171693,GO:0007507,M1,1,0,GO Biological Processes,19,heart development,19_GO:0032502 developmental process,-2.2611894301171693,5.510347107438017,3.902107772463947,20836,605,25,4,16.0,7.332121111929343,12192|17260|17268|22761,Zfp36l1|Mef2c|Meis1|Zfpm1,-0.057467421032599934,0,3,0,0,-10.374735694418547,189.4181818181818,
1,-2.2262928840451757,GO:0007517,M1,1,0,GO Biological Processes,19,muscle organ development,19_GO:0032502 developmental process,-2.2262928840451757,8.039614147909967,4.335186136605736,20836,311,25,3,12.0,6.499230723708768,17260|22761|217082,Mef2c|Zfpm1|Hlf,-0.040898256050137916,0,3,0,0,-10.374735694418547,189.4181818181818,
1,-2.1232088671679445,GO:0001525,M1,1,0,GO Biological Processes,19,angiogenesis,19_GO:0032502 developmental process,-2.1232088671679445,7.375575221238937,4.1019877090118815,20836,339,25,3,12.0,6.499230723708768,14461|17268|21349,Gata2|Meis1|Tal1,0.0,0,3,0,0,-10.374735694418547,189.4181818181818,
1,-10.143166898984957,GO:0030099,M1,1,0,GO Biological Processes,19,myeloid cell differentiation,19_GO:0032502 developmental process,-10.143166898984957,23.36747663551402,13.997614543239022,20836,321,25,9,36.0,9.6,12394|14460|14461|16596|17260|17268|20375|21349|22761,Runx1|Gata1|Gata2|Klf1|Mef2c|Meis1|Spi1|Tal1|Zfpm1,-6.653138151057112,0,4,1,1,-10.143166898984957,250.03199999999998,
1,-8.59471842152817,GO:0002521,M1,1,0,GO Biological Processes,19,leukocyte differentiation,19_GO:0032502 developmental process,-8.59471842152817,15.594511434511434,11.223978551091372,20836,481,25,9,36.0,9.6,12192|12394|14025|14460|14461|17260|18514|20375|22761,Zfp36l1|Runx1|Bcl11a|Gata1|Gata2|Mef2c|Pbx1|Spi1|Zfpm1,-5.171636463230938,0,4,0,0,-10.143166898984957,250.03199999999998,
1,-8.113143105151016,GO:0030220,M1,1,0,GO Biological Processes,19,platelet formation,19_GO:0032502 developmental process,-8.113143105151016,166.68800000000002,25.69376194364797,20836,20,25,4,16.0,7.332121111929343,14460|17260|21349|22761,Gata1|Mef2c|Tal1|Zfpm1,-4.886355791997753,0,4,0,0,-10.143166898984957,250.03199999999998,
1,-7.934923386437596,GO:0036344,M1,1,0,GO Biological Processes,19,platelet morphogenesis,19_GO:0032502 developmental process,-7.934923386437596,151.53454545454545,24.48443140405053,20836,22,25,4,16.0,7.332121111929343,14460|17260|21349|22761,Gata1|Mef2c|Tal1|Zfpm1,-4.745924634173733,0,4,0,0,-10.143166898984957,250.03199999999998,
1,-7.490016349691773,GO:0030851,M1,1,0,GO Biological Processes,19,granulocyte differentiation,19_GO:0032502 developmental process,-7.490016349691773,119.06285714285715,21.66693184490667,20836,28,25,4,16.0,7.332121111929343,14460|14461|20375|22761,Gata1|Gata2|Spi1|Zfpm1,-4.367964387058524,0,4,0,0,-10.143166898984957,250.03199999999998,
1,-7.453497063999792,GO:0002573,M1,1,0,GO Biological Processes,19,myeloid leukocyte differentiation,19_GO:0032502 developmental process,-7.453497063999792,30.306909090909087,13.09940374159153,20836,165,25,6,24.0,8.541662601625049,12394|14460|14461|17260|20375|22761,Runx1|Gata1|Gata2|Mef2c|Spi1|Zfpm1,-4.361408324743985,0,4,0,0,-10.143166898984957,250.03199999999998,
1,-6.965985234061954,GO:0048872,M1,1,0,GO Biological Processes,19,homeostasis of number of cells,19_GO:0042592 homeostatic process,-6.965985234061954,17.159058823529413,10.412169906680832,20836,340,25,7,28.0,8.97997772825746,14460|14461|16596|17260|20375|21349|22761,Gata1|Gata2|Klf1|Mef2c|Spi1|Tal1|Zfpm1,-3.976558836703295,0,4,0,0,-10.143166898984957,250.03199999999998,
1,-6.739728797378564,GO:0060215,M1,1,0,GO Biological Processes,19,primitive hemopoiesis,19_GO:0032502 developmental process,-6.739728797378564,250.03199999999998,27.300619781478748,20836,10,25,3,12.0,6.499230723708768,14460|21349|22761,Gata1|Tal1|Zfpm1,-3.7725787947310567,0,4,0,0,-10.143166898984957,250.03199999999998,
1,-6.622789812922299,GO:0030218,M1,1,0,GO Biological Processes,19,erythrocyte differentiation,19_GO:0042592 homeostatic process,-6.622789812922299,35.92413793103448,13.073145536320649,20836,116,25,5,20.0,8.0,14460|16596|20375|21349|22761,Gata1|Klf1|Spi1|Tal1|Zfpm1,-3.6768291093447307,0,4,0,0,-10.143166898984957,250.03199999999998,
1,-6.409611121155803,GO:0034101,M1,1,0,GO Biological Processes,19,erythrocyte homeostasis,19_GO:0042592 homeostatic process,-6.409611121155803,32.55625,12.41199456756096,20836,128,25,5,20.0,8.0,14460|16596|20375|21349|22761,Gata1|Klf1|Spi1|Tal1|Zfpm1,-3.5031589588619076,0,4,0,0,-10.143166898984957,250.03199999999998,
