_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.2,GO:1902105,regulation of leukocyte differentiation,M1,1,0
1,-2.8,GO:0070661,leukocyte proliferation,M1,1,0
1,-4.1,mmu05221,Acute myeloid leukemia - Mus musculus (house mouse),M1,1,0
1,-4.5,GO:0010721,negative regulation of cell development,M1,1,0
1,-4.6,GO:0006351,DNA-templated transcription,M1,1,0
1,-2.7,GO:0030217,T cell differentiation,M1,1,0
1,-4.9,GO:0002335,mature B cell differentiation,M1,1,0
1,-7.5,GO:1903706,regulation of hemopoiesis,M1,1,0
1,-2.3,GO:0001818,negative regulation of cytokine production,M1,1,0
1,-3.4,GO:1902106,negative regulation of leukocyte differentiation,M1,1,0
1,-2.6,GO:0070848,response to growth factor,M1,1,0
1,-3.9,GO:0050867,positive regulation of cell activation,M1,1,0
1,-4.6,GO:0097659,nucleic acid-templated transcription,M1,1,0
1,-3.9,GO:0045619,regulation of lymphocyte differentiation,M1,1,0
1,-4.7,WP1763,Mechanisms associated with pluripotency,M1,1,0
1,-2.3,GO:0071219,cellular response to molecule of bacterial origin,M1,1,0
1,-3.4,GO:0051249,regulation of lymphocyte activation,M1,1,0
1,-2.5,GO:0071241,cellular response to inorganic substance,M1,1,0
1,-3,GO:0032675,regulation of interleukin-6 production,M1,1,0
1,-4.4,GO:0046649,lymphocyte activation,M1,1,0
1,-2.9,GO:0071248,cellular response to metal ion,M1,1,0
1,-2.5,GO:0022407,regulation of cell-cell adhesion,M1,1,0
1,-3.7,GO:0045638,negative regulation of myeloid cell differentiation,M1,1,0
1,-3.2,GO:0045621,positive regulation of lymphocyte differentiation,M1,1,0
1,-2.1,GO:0006338,chromatin remodeling,M1,1,0
1,-2.7,GO:0035239,tube morphogenesis,M1,1,0
1,-2.8,GO:0048469,cell maturation,M1,1,0
1,-2.7,GO:1903708,positive regulation of hemopoiesis,M1,1,0
1,-3.1,GO:0048706,embryonic skeletal system development,M1,1,0
1,-3.3,GO:0007162,negative regulation of cell adhesion,M1,1,0
1,-7.1,GO:0030099,myeloid cell differentiation,M1,1,0
1,-2.6,GO:0048639,positive regulation of developmental growth,M1,1,0
1,-2.6,GO:0009952,anterior/posterior pattern specification,M1,1,0
1,-4.4,GO:0010720,positive regulation of cell development,M1,1,0
1,-2.2,GO:0090287,regulation of cellular response to growth factor stimulus,M1,1,0
1,-2.7,GO:0007389,pattern specification process,M1,1,0
1,-2.6,GO:0050866,negative regulation of cell activation,M1,1,0
1,-2.7,GO:1902107,positive regulation of leukocyte differentiation,M1,1,0
1,-3.8,GO:0050865,regulation of cell activation,M1,1,0
1,-2.2,GO:1901342,regulation of vasculature development,M1,1,0
1,-5.1,GO:0045637,regulation of myeloid cell differentiation,M1,1,0
1,-8.6,GO:0002521,leukocyte differentiation,M1,1,0
1,-2.6,GO:0048863,stem cell differentiation,M1,1,0
1,-2.7,GO:0071363,cellular response to growth factor stimulus,M1,1,0
1,-2.2,GO:0010038,response to metal ion,M1,1,0
1,-3.1,GO:0048598,embryonic morphogenesis,M1,1,0
1,-2.3,GO:0071222,cellular response to lipopolysaccharide,M1,1,0
1,-6.7,mmu05202,Transcriptional misregulation in cancer - Mus musculus (house mouse),M1,1,0
1,-3.5,GO:0032479,regulation of type I interferon production,M1,1,0
1,-2.2,GO:0021700,developmental maturation,M1,1,0
1,-2.7,GO:0022408,negative regulation of cell-cell adhesion,M1,1,0
1,-3.5,GO:0001819,positive regulation of cytokine production,M1,1,0
1,-2.2,GO:0007517,muscle organ development,M1,1,0
1,-2.8,GO:0045580,regulation of T cell differentiation,M1,1,0
1,-2.8,GO:0003002,regionalization,M1,1,0
1,-2.2,GO:0048729,tissue morphogenesis,M1,1,0
1,-3.6,GO:0048705,skeletal system morphogenesis,M1,1,0
1,-4.3,GO:0030098,lymphocyte differentiation,M1,1,0
1,-4.6,GO:0002683,negative regulation of immune system process,M1,1,0
1,-3.4,GO:0001501,skeletal system development,M1,1,0
1,-4.6,GO:0071559,response to transforming growth factor beta,M1,1,0
1,-2.2,GO:0045765,regulation of angiogenesis,M1,1,0
1,-2.3,GO:0001944,vasculature development,M1,1,0
1,-2.7,GO:0002695,negative regulation of leukocyte activation,M1,1,0
1,-4,GO:0002694,regulation of leukocyte activation,M1,1,0
1,-2,GO:0032496,response to lipopolysaccharide,M1,1,0
1,-4.8,GO:1903707,negative regulation of hemopoiesis,M1,1,0
1,-2.1,GO:0048562,embryonic organ morphogenesis,M1,1,0
1,-2.1,GO:0048872,homeostasis of number of cells,M1,1,0
1,-2.5,GO:0045664,regulation of neuron differentiation,M1,1,0
1,-2.4,GO:0001701,in utero embryonic development,M1,1,0
1,-3.9,GO:0045321,leukocyte activation,M1,1,0
1,-2.4,GO:0001568,blood vessel development,M1,1,0
1,-4,GO:0002696,positive regulation of leukocyte activation,M1,1,0
1,-4.5,GO:0032774,RNA biosynthetic process,M1,1,0
1,-2.2,GO:0071216,cellular response to biotic stimulus,M1,1,0
1,-4.5,GO:0030183,B cell differentiation,M1,1,0
1,-5.2,GO:0042113,B cell activation,M1,1,0
1,-4.5,GO:0048568,embryonic organ development,M1,1,0
1,-2,GO:0042110,T cell activation,M1,1,0
1,-3.2,GO:0051251,positive regulation of lymphocyte activation,M1,1,0
1,-2.2,GO:0045927,positive regulation of growth,M1,1,0
1,-4.7,GO:0071560,cellular response to transforming growth factor beta stimulus,M1,1,0
1,-2.2,GO:0022409,positive regulation of cell-cell adhesion,M1,1,0
1,-2.4,GO:0071695,anatomical structure maturation,M1,1,0
1,-2.3,GO:0006325,chromatin organization,M1,1,0
1,-5.9,GO:0002573,myeloid leukocyte differentiation,M1,1,0
1,-3.7,GO:0045596,negative regulation of cell differentiation,M1,1,0
1,-5.3,GO:1903131,mononuclear cell differentiation,M1,1,0
1,-3.5,GO:0048704,embryonic skeletal system morphogenesis,M1,1,0
1,-5.6,GO:0001775,cell activation,M1,1,0
