SourceGENES,TargetGENES,Interaction,Edges
POU4F2,ZFP462,1,activation/repression
FOXQ1,ZFP462,0.989781448313027,activation/repression
SOX17,DNMT3B,0.89029436998211,activation/repression
NANOG,ZFP462,0.840830225482338,activation/repression
XBP1,ZFP462,0.798321092054378,activation/repression
SOX17,SOX7,0.705107248338337,activation/repression
SOX17,MYCN,0.652505075446957,activation/repression
GATA6,SOX7,0.650682400304675,activation/repression
ZFP532,ZFP462,0.649556800742438,activation/repression
XBP1,SOX7,0.645130675306265,activation/repression
GATA6,DNMT3B,0.642873089169231,activation/repression
CREB3L2,ZFP462,0.614801092090027,activation/repression
NANOG,ZFP428,0.607081756137325,activation/repression
SOX17,ZFP462,0.59484672803744,activation/repression
SOX17,FOXQ1,0.588659272486592,activation/repression
XBP1,DNMT3B,0.58255299140932,activation/repression
SOX17,KLF10,0.580868491114329,activation/repression
SOX7,ZFP428,0.572479892793252,activation/repression
XBP1,ZFP428,0.567962678160517,activation/repression
FOXQ1,KLF4,0.561757658325129,activation/repression
GATA6,FOXQ1,0.539624543180067,activation/repression
ZFP532,HNRNPK,0.538989815240066,activation/repression
POU4F2,ZFP428,0.532479852688754,activation/repression
GATA6,ZFP462,0.523388125979218,activation/repression
NFXL1,HNRNPK,0.522343329552618,activation/repression
SOX17,TCF7L2,0.512104317145178,activation/repression
SOX7,DNMT3B,0.509785088910185,activation/repression
GATA6,ZFP428,0.501985469694962,activation/repression
FOXA2,ZFP428,0.499459109157312,activation/repression
GATA6,ZFP532,0.486377987562259,activation/repression
SIX1,ZFP462,0.485775825959552,activation/repression
PHB,ID2,0.484241383325916,activation/repression
DNMT3B,ZFP462,0.481324783747638,activation/repression
SIX1,JARID2,0.459489407362473,activation/repression
SOX17,FOXA2,0.454346748238224,activation/repression
FOXA2,ZFP462,0.452101601922164,activation/repression
SIX1,TGIF1,0.451574710519796,activation/repression
SOX17,SIX1,0.44805914284509,activation/repression
DNMT3B,ZFP428,0.445745447545397,activation/repression
XBP1,FOXA2,0.442796950038114,activation/repression
ZFP532,ZC3H7A,0.436731924605921,activation/repression
DNMT3B,TGIF1,0.432754226865498,activation/repression
POU4F2,SOX7,0.432322843581171,activation/repression
PHB,RHOX6,0.431964205399194,activation/repression
SOX17,ZFP428,0.429430418102754,activation/repression
SOX7,JUN,0.428189183906154,activation/repression
