Regulator	Target	SINGE_Score
FOXD3	UTF1	86.29948
GLI2	SALL4	46.03573
FOXD3	NFIL3	42.18689
FOXD3	SOX7	39.36356
FOXD3	ID1	31.78639
FOXD3	HMGA1	29.76374
FOXD3	TBX3	22.18807
FOXD3	DNMT3B	21.50031
FOXD3	SOX17	21.34089
FOXD3	DNMT3L	21.15697
FOXD3	FOXQ1	20.75678
GLI2	PEG3	18.62493
FOXD3	PEG3	17.67847
GLI2	JUN	15.93286
FOXD3	HNRNPK	15.22937
GLI2	KDM5B	14.89492
FOXD3	ELF3	14.41742
FOXD3	EPAS1	14.3692
FOXD3	GATA6	12.49796
FOXD3	MYCN	11.44596
GLI2	DDIT3	11.39592
FOXD3	KLF4	10.36405
FOXD3	ID3	10.3015
FOXD3	GATA4	10.02745
GLI2	ID1	9.9695
FOXD3	TFCP2L1	9.78198
FOXD3	SIX1	9.71845
FOXD3	KLF6	9.35091
FOXD3	ID2	9.20284
FOXD3	JARID2	8.76008
GLI2	SOX7	8.67896
FOXD3	DDIT3	7.8839
FOXD3	PARP1	7.53228
FOXD3	TEAD4	7.47825
GLI2	SOX17	7.45399
GLI2	ELF3	7.33649
FOXD3	EGR1	7.17256
FOXD3	ESRRB	7.00971
FOXD3	CREB3	6.93549
GLI2	GATA4	6.86115
GLI2	NFXL1	6.78846
FOXD3	SALL4	6.7489
FOXD3	TCF15	6.67406
FOXD3	RHOX6	6.64295
FOXD3	PHB	6.42314
FOXD3	TFEB	5.93179
FOXD3	HOPX	5.85597
FOXD3	RBPJ	5.85129
GLI2	HOPX	5.77161
POU4F2	TFEB	5.58529
FOXD3	KDM5B	5.50345
GLI2	RHOX6	5.40222
GLI2	DNMT3A	5.29571
GLI2	UTF1	5.18282
FOXD3	DNMT3A	5.13166
NANOG	SOX7	5.02604
FOXD3	L3MBTL3	4.81904
GLI2	TFEB	4.74008
FOXD3	WHSC1	4.73204
FOXD3	TAX1BP3	4.6579
GLI2	TGIF1	4.61243
FOXD3	BMP2	4.59891
GLI2	ZFP296	4.52859
FOXD3	ZC3H7A	4.3565
FOXD3	ZFP42	4.32359
FOXD3	BHLHE40	4.31375
GLI2	NFIL3	4.15064
FOXD3	SATB2	4.14294
GLI2	JARID2	4.11904
FOXD3	HNF1B	4.08459
GLI2	EGR1	4.01111
FOXD3	ZFP428	4.00303
FOXD3	ZFP296	3.95927
FOXD3	ERF	3.92823
FOXD3	KLF10	3.92224
GLI2	PARP1	3.80533
FOXD3	SMAD7	3.61447
GLI2	XBP1	3.5667
GLI2	CREB3	3.52052
NANOG	POU5F1	3.50583
FOXD3	TRP53	3.44082
FOXD3	NFXL1	3.36416
GLI2	ID2	3.36354
GLI2	TFCP2L1	3.33473
NANOG	EPAS1	3.30371
GLI2	TBX3	3.23415
GLI2	NR0B1	3.22238
GLI2	TCF7L2	3.18114
FOXD3	JUN	3.15525
FOXD3	TET2	3.12612
GLI2	CARHSP1	3.05408
FOXD3	FOXA2	3.03541
GLI2	GATA6	2.97602
FOXD3	BCL3	2.93321
GLI2	BHLHE40	2.93233
FOXD3	CREB3L2	2.91467
FOXD3	XBP1	2.88698
FOXD3	RERE	2.83641
GLI2	HMGA1	2.82241
GLI2	SNAI1	2.7484
FOXD3	ELF2	2.74254
FOXD3	SNAI1	2.66146
FOXD3	POU5F1	2.64552
GLI2	DNMT3B	2.62559
GLI2	ZFP462	2.59535
GLI2	HNRNPK	2.55536
FOXD3	RUNX1	2.46745
GLI2	MYBL2	2.46055
NANOG	TCF7L2	2.24565
FOXD3	TCF7L2	2.23364
FOXD3	REST	2.22711
GLI2	KLF6	2.20816
POU4F2	EPAS1	2.14842
GLI2	KLF4	2.14808
NANOG	DNMT3L	2.08509
FOXD3	NR0B1	2.06404
GLI2	REST	2.02458
FOXD3	BMYC	1.88515
GLI2	DNMT3L	1.87545
FOXD3	TET1	1.84598
FOXD3	ETV5	1.79969
GLI2	MYCN	1.78038
FOXD3	FOXH1	1.75549
NANOG	SNAI1	1.71873
GLI2	FOXQ1	1.71771
FOXD3	TGIF1	1.69911
GLI2	ID3	1.6469
NANOG	KLF10	1.64423
POU4F2	EGR1	1.64302
NANOG	BCL3	1.61908
FOXD3	MTF2	1.55347
NANOG	HMGA1	1.55067
FOXD3	ETS1	1.54568
FOXD3	ZFP462	1.53396
GLI2	HMGA2	1.52748
NANOG	MTF2	1.51406
GLI2	ZFHX3	1.51237
FOXD3	ZFP57	1.50571
GLI2	PHB	1.48272
GLI2	PURB	1.40855
GLI2	EPAS1	1.40012
GLI2	AFF1	1.39324
GLI2	KLF2	1.38497
NANOG	XBP1	1.36435
JUN	EPAS1	1.3336
HOPX	POU5F1	1.32583
POU4F2	ID2	1.29833
POU4F2	TCF7L2	1.28462
GLI2	TEAD4	1.28107
POU4F2	RHOX6	1.27116
FOXD3	CARHSP1	1.25277
GLI2	ERF	1.2101
JUN	TAX1BP3	1.19368
GLI2	ZFP57	1.19234
JUN	ESRRB	1.15302
GLI2	ZFP532	1.11703
GLI2	FOXA2	1.10425
NANOG	KLF4	1.07799
GLI2	WHSC1	1.04865
GLI2	ETV4	1.04148
FOXD3	MSX2	1.02339
POU4F2	SOX17	1.01873
POU4F2	NFIL3	1.01325
POU4F2	SOX7	1.01147
POU4F2	RERE	1.00937
POU4F2	BMYC	1.00888
BMP2	POU5F1	1.00347
FOXD3	KLF3	0.98463
GLI2	ZC3H7A	0.95917
GLI2	RERE	0.93892
FOXD3	HMGA2	0.933
GLI2	KLF10	0.9209
GLI2	RUNX1	0.84561
FOXD3	ZBTB10	0.82904
HNF1B	TAX1BP3	0.82064
GLI2	ELF2	0.82048
NANOG	KLF3	0.81694
JUN	SOX7	0.81243
POU4F2	KLF10	0.78718
FOXD3	SOX2	0.73631
GLI1	ID3	0.73303
GLI2	MTF2	0.72123
GLI2	POU5F1	0.72054
GLI2	BMP2	0.71227
GLI2	ZFP42	0.68495
GLI2	ETS1	0.67362
GLI2	ZFP428	0.66318
NANOG	JARID2	0.64981
NANOG	DNMT3B	0.63631
FOXD3	KLF2	0.63067
FOXD3	MSC	0.57138
POU4F2	JUN	0.54551
GLI2	SMAD7	0.54338
RARG	DNMT3L	0.53766
FOXD3	ZBTB44	0.51507
GLI2	TAX1BP3	0.50442
GLI2	TET1	0.49247
GLI2	ZBTB10	0.48366
NANOG	ID1	0.46974
GLI2	TRP53	0.4655
POU4F2	ID1	0.46126
FOXD3	ZFHX3	0.45708
BMP2	EPAS1	0.45053
JUN	SALL4	0.44829
POU4F2	KDM5B	0.42493
FOXD3	AFF1	0.41492
NANOG	ID3	0.40483
FOXD3	PURB	0.40408
GLI1	DNMT3L	0.39651
FOXD3	MYBL2	0.38391
POU4F2	ERF	0.38273
NANOG	HNRNPK	0.38252
HNF1B	GATA6	0.38101
NANOG	ZFHX3	0.37913
GLI2	TCF15	0.37449
POU4F2	ZFP710	0.371
GLI2	CREB3L2	0.37033
GLI2	L3MBTL3	0.36495
GLI2	BMYC	0.36376
FOXD3	ZFP710	0.35745
GLI2	HNF1B	0.35527
GLI2	ZFP710	0.3391
POU4F2	SATB2	0.31539
GLI2	KLF3	0.29126
HOPX	BHLHE40	0.2875
