gene,gene,gene,gene,gene
Dnmt3l,Epas1,Epas1,Klf2,Foxq1
Zbtb10,Foxh1,Dnmt3l,Foxq1,Klf2
Foxd3,Pou5f1,Foxh1,Sox2,Gata4
Bhlhe40,Rhox6,Pou5f1,Six1,Elf3
Etv4,Klf2,Id2,Sox17,Sall4
Zfp42,Tbx3,Purb,Gli1,Bmp2
Egr1,Parp1,Klf4,Nanog,Nfil3
Tfeb,Nfil3,Creb3l2,Rere,Rhox6
Nanog,Phb,Tbx3,Gli2,Rere
Pou5f1,Bhlhe40,Tead4,Msc,Gata6
Zfp296,Rest,Gata6,Elf3,Six1
Mycn,Utf1,Xbp1,Rbpj,Id3
Satb2,Dnmt3a,Bhlhe40,Hnrnpk,Rest
Hnrnpk,Dnmt3l,Rest,Rest,Tfcp2l1
Zfp462,Id3,Jun,Gata4,Hmga1
Pou4f2,Runx1,Id3,Nfil3,Hnf1b
Dnmt3a,Klf6,Hnf1b,Zfp42,Purb
Zfp428,Jun,Sox7,Bmp2,Gli1
Zbtb44,Ddit3,Creb3,Rarg,Hopx
Tcf15,Dnmt3b,Parp1,Erf,Egr1
Snai1,Whsc1,Gata4,Zfp57,Sox17
Klf2,Hmga1,Snai1,Id3,Zfp532
Msc,Hnrnpk,Rhox6,Aff1,Whsc1
Tbx3,Etv5,Nfil3,Foxa2,Id1
Sox2,Id1,Elf3,Sall4,Creb3l2
