TE	Klf7	Fev	Nr5a2	Pbx1	Atf3	Creb1	Foxo3	Arid5b	Tcf3	Nfic	Nfyb	Hmga2	Hsf2	Ddit3	Meis1	Stat3	Patz1	Xbp1	Trp53	Hnf1b	Sox9	Hbp1	Etv1	Yy1	Isl1	Irx2	Vdr	Srebf2	Sp1	Bbx	Hes1	Zfp148	Ets2	Satb1	Pknox1	Crem	Nr3c1	Zeb1	Gata6	Tcf4	Rfx3	Mxi1	Tcf7l2	Lmx1b	Pbx3	Nr6a1	Nr4a2	Neurod1	Ehf	Meis2	Gabpb1	Ovol2	Nkx2-2	E2f1	Nfatc2	Pax6	Gabpb2	Foxo1	Plag1	Nfib	Bach2	Nfia	Mnx1	Nkx6-1	Pdx1	Pax4	Foxp1	Sox5	Nrf1	Foxa3	Fosb	Usf2	Mef2a	Zfp143	Nr2f6	Nfix	Cbfb	Zfhx3	Tcf12	Arx
Klf7	0	0.005598195928441826	0.029268290895644096	0.052924247159685515	0.02887288786960988	0.08383894408710663	0.05086526931888931	0.053996427816356385	0.009370267183441063	0.0640067419773123	0.029585540616459842	0.05728186764726979	0.060400418224245016	0.05961822461685836	0.04317179491777098	0.023540316017112338	0.07283896468599563	0.0031783869686134287	0.004767580452920143	0.05161887881797034	0.051969889414086035	0.0018005836216287172	0.012351828928899775	0.0	0.007554874696480726	0.021202554278210557	0.05558779700447151	0.05283201758605287	0.051246686937900354	0.013748316451877234	0.03741596494976859	0.03528472325216291	0.06928595083402846	0.042902105554779	0.06386353951626664	0.05044309109730881	0.053751324742573325	0.008246274121496174	0.04700338774464216	0.08109239229889259	0.07618597804245016	0.062351937576402984	0.05582308853619774	0.03986187412151757	0.06356124327934531	0.03530798887462879	0.03668128900490287	0.06469151516168806	0.006417990487989237	0.003673068135811097	0.0679618933553249	0.041112920181708076	0.0728010058685552	0.018713860301003638	0.03854586852519984	0.0057709265291641795	0.06068671190942425	0.03507890281746436	0.015201346868191797	0.035996577172609456	0.016635790051204656	0.03875757996660151	0.02934625774957138	0.0	0.006232188461757031	0.027216853318195178	0.027256114912154353	0.026928463784988883	0.05608457447962233	0.02903936523697634	0.036337800163678734	0.0	0.06638136090396692	0.040247574470119694	0.036770733377346314	0.010494833227496987	0.005262261620117811	0.05569878658428964	0.07479497597116468	0.017346224534770905
Fev	0.019310493646950738	0	0.043004703291849515	0.06415460212157698	0.031881094937478836	0.10719043322778665	0.07017222326287108	0.07036291286748399	0.010959460667747774	0.08762711304266929	0.03278637193490368	0.10570462585900024	0.07628986075951448	0.0942927082971535	0.05127694880340265	0.027195806961582886	0.09335901868144957	0.0007945967421533572	0.003972983710766786	0.07312640590079372	0.08175251961933272	0.0033995816246941346	0.019833293765740116	0.0	0.0017346442174420735	0.029192421129841474	0.05367184878933982	0.08287303404017836	0.055527754985030264	0.018380875052240904	0.05420163140082788	0.0348918793630134	0.0913316384331335	0.06474207904695241	0.08660542847459497	0.07903667283358067	0.06042053859539666	0.01076541919816664	0.05892545397542621	0.10128432560891898	0.0990727683680805	0.09598297300102603	0.07304565142174263	0.05502250786071316	0.07275589072066871	0.04783949686499964	0.06316734688232686	0.08819705950745417	0.004277566610968043	0.0003966515293378576	0.08144278535092254	0.059019200577204146	0.09323653165580496	0.027948498547123484	0.046635929624930794	0.0036779331872182344	0.07654934665490792	0.033286021625035855	0.02043286685251951	0.05803298499308736	0.028885935863953847	0.05119077266038755	0.04742545015047115	0.0	0.0014242997619074917	0.040664165148135735	0.026353604386170362	0.029792813339542708	0.06156109900728362	0.045331185818075485	0.04244000595842261	0.0	0.09721274833345872	0.06606677398912186	0.061379274356067604	0.013314205432061816	0.005427155342517034	0.07795848002942103	0.09652776960717184	0.019953619790991358
Nr5a2	0.00374057906208933	0.002193777704823561	0	0.02296857642078579	0.009785718715451325	0.020101375832314833	0.018076186903641992	0.009918469550743223	0.0023837902264600714	0.00844646043659629	0.010171531951685662	0.014447331629517939	0.018568536025564304	0.018804339422022365	0.01297238850821436	0.007456159912677556	0.014862894841103542	0.0007945967421533572	0.0015891934843067143	0.016977857285063493	0.016383504469915253	0.0	0.0018530960425502242	0.0	0.0006015583846196146	0.0063988420931054835	0.005324857540825589	0.022796946012008847	0.017911720738530472	0.0028187276539722267	0.011955345847707983	0.00940685290783272	0.017817625998339134	0.011788165628522642	0.012050978747959566	0.014191914353706992	0.010447709642034092	0.0028082748765973107	0.008579821154182312	0.0191309550899146	0.020074740020063483	0.015510815925945099	0.009192347448094015	0.006530931604615985	0.015611576540976255	0.01269346422623848	0.013217225582416905	0.014281330940337032	0.003116747208199872	0.0012892779093510254	0.032590896223616335	0.015162782851403251	0.02257361830970742	0.0027197791708778295	0.009491771156883792	0.004999068185995588	0.01728269849407143	0.013014874036450344	0.006038123459660972	0.004857383198594212	0.007987159591719072	0.013752779456767188	0.007574362190782955	0.0	0.0035243406449252486	0.008111380490691829	0.005692968378128027	0.008170552139292528	0.01016890074962931	0.005990510091834917	0.009105880244440057	0.0	0.02574038649497973	0.019337628872747512	0.008076893712259706	0.0045149753623685935	0.0015891934843067143	0.010766787056416047	0.023014141615584512	0.002041104988397735
Pbx1	0.008873548684077413	0.0030833514256087746	0.005217250296130483	0	0.009024124067852593	0.03257842478575977	0.016383262635976132	0.015550201933505915	0.0014242997619074917	0.025807006227756273	0.012243553416155522	0.020598583623977408	0.025160491011450917	0.02535144470127595	0.01281641148909765	0.010259429519579531	0.022947578652638072	0.0	0.0015891934843067143	0.022980565442941588	0.01649766130403474	0.0	0.008158789405268365	0.0	0.0021978752969668636	0.00438484233903986	0.012979705411659574	0.023994938795473677	0.01387751556637619	0.004902602305476609	0.012933307141609568	0.009638900240676596	0.02460771704145847	0.023488840003008313	0.029265523022380273	0.02745244038464528	0.017360775113205818	0.003370638596777069	0.009899093394663038	0.022676479365338474	0.03196406534863372	0.01913712843646415	0.025354631079696186	0.011184942505858553	0.021090407697318077	0.012015223690521243	0.010235525632824318	0.015092631145203875	0.0009879714220030434	0.0013944278920647347	0.01776474183813532	0.010587818356273027	0.024185721705338746	0.0038004851781513077	0.011747118010449179	0.0011624930565554065	0.02182435599289725	0.0145297468079291	0.003608857713157506	0.02074493612550021	0.00792903984405215	0.014132844990732635	0.008187974017102998	0.0	0.006967041464224875	0.008541057244448917	0.008029933167592374	0.013452998572197845	0.02471371002059276	0.009925854746166226	0.006994917069004779	0.0	0.023269224053810805	0.013739929912157042	0.007645343552951977	0.006567913624057853	0.0015891934843067143	0.0250002171043535	0.02739742238644234	0.005024130668049698
Atf3	0.003158319617529375	0.0004780463758427872	0.01099780627108856	0.016188107409719835	0	0.02761618141777949	0.01632617704664092	0.01637688692180192	0.0	0.009646930086211194	0.015348086054580955	0.015935312988107842	0.028049633926811056	0.01745297915455721	0.0180884416622563	0.008651023677719244	0.019203638724763997	0.0031783869686134287	0.0	0.021458596134825158	0.013726555418404368	0.0	0.011921569560985546	0.0	0.004172058136424449	0.0069249653172062066	0.012733315747558576	0.016821518143423864	0.02343120841556516	0.005202517880432298	0.006345609571517812	0.010138526460294239	0.013146382478797075	0.016367643730911586	0.015028580749126176	0.01568948998544418	0.01198441758430884	0.0018260926320053637	0.008809807128566391	0.018921124539948007	0.020663598554414273	0.012739895533801924	0.014542657788631423	0.015201988684314825	0.017258922225216366	0.006972686780913286	0.013235149804793024	0.011788420885757628	0.00045465700170330603	0.001889109059262403	0.02848458668538793	0.00922870614771811	0.016522820934372035	0.0075233868949228806	0.008746546201451951	0.003292010074466874	0.021208800925622037	0.010875506028355235	0.006592886662083136	0.01503758705315588	0.0037474365821437913	0.009084851417981968	0.012793670386068967	0.0	0.0030134932462142056	0.0038612043198842437	0.006968612606506427	0.007944757891866664	0.02394379813749828	0.00223517452593463	0.006960219724820471	0.0	0.02148897417207602	0.017544123651942172	0.009587835264338828	0.007652126794873944	0.0028784713936577393	0.019232400296895203	0.019443818321988715	0.00622676595773003
Creb1	0.004542942990835408	0.002906645811975505	0.02093050513323266	0.023567484285412093	0.008579918315080476	0	0.031808564485750895	0.03361497921097055	0.0030134932462142056	0.040787286399965074	0.020601252469220857	0.03456659270482721	0.031666436561953615	0.04378711532487087	0.026063336014184046	0.015246327944801652	0.04020869644710158	0.0007945967421533572	0.0023837902264600714	0.03186441840865138	0.03512652170332573	9.597732228294287e-05	0.008292360872667402	0.0	0.0016409784014703016	0.011211555591601292	0.02285766903450317	0.03759388242138883	0.026901962834849334	0.004272899285722475	0.028401499944786936	0.019369694005950067	0.03194297648917768	0.026117146172166764	0.04204820606426695	0.0384612777947249	0.026112834292059697	0.009173171534001611	0.026557045996559014	0.03781747133275639	0.04559221227586358	0.03552474708666563	0.029321018547563894	0.02139209099959779	0.0318496917366781	0.026939766609916753	0.022086067860578294	0.032936669284891425	0.0074201398610459325	0.003867833728053077	0.038217030871689456	0.028616767888389488	0.042982124222025644	0.01496255769340848	0.023798527016164864	0.005586503054955201	0.03758235255810021	0.017126369570273477	0.00827141051142708	0.02407550256670294	0.013302926146907618	0.020852262252830163	0.014820912977963766	0.0	0.005866167434361155	0.021661991201168813	0.018912218700916344	0.01734414321378158	0.032822772307389614	0.016317714593559404	0.019936117478952586	0.0	0.025969125427641526	0.032055047463675664	0.02376557271922507	0.0069941020998931245	0.0015891934843067143	0.035687689614857125	0.04218368269622115	0.010678989937993202
Foxo3	0.003817894507126266	0.003433356267869895	0.007801046041046732	0.025839558316684063	0.016467310036455983	0.03583645947770654	0	0.02298316071737649	0.004602686730520921	0.02740903869237067	0.009059867010853267	0.030104655907626152	0.03713884574696121	0.031162600232655276	0.018962071109478812	0.01161249600030282	0.03318915656835746	0.0015891934843067143	0.0015891934843067143	0.023959021265105636	0.01941276767001845	0.0007945967421533572	0.006702606645384004	0.0	0.002648033414177094	0.007688354398836285	0.018353970530568642	0.025237333995170506	0.026798796990993842	0.005832220900186432	0.01582736895091616	0.01800214006342911	0.031503745316396846	0.025173192580761096	0.03200834984999215	0.03488066030698741	0.015566806482490765	0.005511443948901507	0.01504051861232905	0.029624733522721686	0.033247449999742	0.030909003944753058	0.027685823965903977	0.01797996456798047	0.016411779789433707	0.013587842230288423	0.019699688818392964	0.021313641396455273	0.002562336210231243	0.0012892779093510254	0.024693287169554448	0.015669313701715756	0.034025285508982386	0.016860077580081827	0.014081797819650134	0.004556739134085066	0.02561777088997146	0.013736053600167868	0.006115952798754591	0.01689300798669975	0.013358330003123428	0.0101572426270596	0.016733955726250978	0.0	0.0055621771950735005	0.011760614467099466	0.011026935928185724	0.00930182084447112	0.02637272079416067	0.010081132477978916	0.010071694632401318	0.0	0.03535683475240481	0.02127433031191424	0.024944121157498386	0.0017417372569666066	0.0025785558187020508	0.022223590417205185	0.0330221390005214	0.009789733051338631
Arid5b	0.011956590188735834	0.0014130323845611345	0.013119554119380055	0.026354763941674707	0.008200451272610229	0.039284552348035656	0.032592921114362766	0	0.0031783869686134287	0.035099064450414025	0.009597957498109043	0.04416088145598416	0.024335182317017413	0.02883355452483398	0.02027269175724447	0.013992388441333608	0.02919027090774306	0.0	0.0015891934843067143	0.027876270872626077	0.03126624386545889	0.001945409992943886	0.0067463178079974	0.0	0.004206933444996597	0.007729068171864337	0.021339672196739476	0.03192851999303342	0.023432103660562968	0.006132136475142121	0.017521072696459115	0.016471626080763378	0.03171580609903461	0.018880916162347217	0.030101139936682716	0.030132133544664867	0.011804417238512442	0.005987703236779213	0.018950725684843375	0.03159942041862028	0.04075835553629238	0.03888139431716479	0.02862643659607051	0.019398482493795523	0.024092058044499993	0.016080136767336925	0.01879439045513614	0.024305510425721637	0.003049704488466828	0.0012892779093510254	0.030250917369518147	0.015256789487200426	0.03998414858167185	0.01045413028496269	0.013231929706254725	0.002152192781941446	0.02699539682741659	0.014053362722124508	0.007765504892231756	0.014835298443294604	0.01349672254005334	0.01558689954706122	0.010446767579422925	0.0	0.00287847139365774	0.018022432607432814	0.011888510790380984	0.013159505617311055	0.02669799187629189	0.016297890060471415	0.018295306882255894	0.0	0.02391489331801311	0.023301453791252588	0.019643772519537667	0.007954150148309972	0.003972983710766786	0.024988771315920415	0.03811571506675186	0.0036124271583121655
Tcf3	0.02087961978017339	0.007489349054456319	0.03414804947780687	0.05933720581046826	0.02894661986512105	0.09269931949710089	0.06582697758541882	0.05415560410557081	0	0.06908297283677572	0.04335155675193287	0.07979899137811013	0.07657193867969217	0.0715338707298783	0.0428421246693214	0.035700003151786674	0.06614578056384472	0.0023837902264600714	0.0031783869686134287	0.0627541229293728	0.05796819564152365	0.002440091160141554	0.017259492787453787	0.0	0.008316749222254852	0.019274831943335225	0.04821706600727347	0.06999957267506109	0.05273288415487303	0.015172616213784724	0.046742085926949936	0.04649279683515112	0.07875343959320409	0.0519867706610003	0.06747076614592241	0.06631119546390493	0.05173600966843694	0.01404638450709706	0.06073033495901083	0.08596965992403725	0.08779556082040191	0.08342928703606507	0.05499500346664013	0.04229613855757896	0.05717536120166333	0.03802012218314158	0.04497608947537885	0.061704576132770673	0.009088310845476339	0.009235245330884595	0.06736037596576956	0.048942053250778154	0.07291939653201088	0.020076538012508187	0.04339897715323401	0.006020636904945193	0.051011063469018514	0.04718492140472499	0.011990256690347733	0.04293966213493038	0.017541180927031698	0.041142834156481525	0.0265106858957118	0.0	0.015591560954544793	0.036312405345263435	0.03780087658012027	0.025789358095138947	0.053661508373268496	0.03409456110036083	0.03332485651064038	0.0	0.0800047758728541	0.04890643738513739	0.045122779024561965	0.010032689469688367	0.004467664877964454	0.06387137712477603	0.0792517969959281	0.014800981655944028
Nfic	0.019145599924551514	0.004375216927658706	0.02340536451256399	0.04069256485990998	0.021763524648972313	0.06870852675554995	0.05350457167831109	0.0384887808316761	0.006356773937226857	0	0.028233508347842554	0.05361256807781627	0.042995838474445124	0.05004617966955228	0.03186863281827082	0.025411700498855546	0.05689403600553478	0.0023837902264600714	0.0	0.04549513672256105	0.054228994751524345	0.0016454944179881972	0.013535283314093677	0.0	0.003731312084143548	0.01492655092916784	0.03254503883433562	0.044984428198841506	0.04131037169327702	0.01248891041236897	0.029465879920262193	0.03512157813563356	0.055720614868621746	0.03668465823820032	0.044686109384721576	0.04000035825228612	0.04026738307247645	0.014199881854829188	0.0457106929620841	0.05183773116970383	0.04645716821921222	0.05217231872348412	0.048965405826567464	0.035713397733221165	0.037202782178846636	0.027475923783826763	0.02912923195544547	0.05231521050875234	0.004275647321429597	0.00748115812417866	0.041931883602132916	0.036231019755511504	0.05846648143286788	0.015723929415304625	0.03167477691565002	0.005586180770018346	0.04951499278767413	0.03847880454990271	0.010883503149999248	0.026753707979999614	0.017802197355444162	0.028159935397410026	0.019562231004199546	0.0	0.007860426476337268	0.027049370925831297	0.019468804691493084	0.01668838105477746	0.03318949948331861	0.02050797664613609	0.030205340012396113	0.0	0.04903922861755338	0.04080666680742327	0.03315536547602932	0.0075767688333979975	0.006551539529468838	0.04874880345756358	0.050818010659448146	0.01682265518147592
