index,Accession,Chromosome,End,Start,Strand,MURK_gene,Δm,scaled Δm,gene_count_corr,means,dispersions,dispersions_norm,highly_variable,velocity_gamma,velocity_r2,scaling,velocity_genes,fit_vars,fit_varu,fit_gamma,fit_beta,fit_offset,fit_a,fit_t,fit_h,fit_intercept,fit_loss,fit_llf,fit_sr2,fit_ur2
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,False,,,0.005,0.108762674,0.20942155,-0.008485535049177,True,0.36629057,-0.36561596393585205,0.5225953,False,0.005015433,0.013534839,0.36629054,1.9135267,0.0,1.0,0.5,0.59319097,0.0,0.05002306,7141.6216,-36.69877,-7.745327
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,False,,,-0.018,0.60553414,0.3144801,0.5130834431467758,True,0.03526949,-0.011692166328430176,0.088921145,False,0.08520627,0.006636882,0.035269488,11.245919,0.0,1.0,0.5,2.4358413,0.0,1.1965821,8596.303,-22.14157,-10.71926
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,False,,,0.0284,0.77828467,0.26298594,0.022525673143986846,True,0.0082605835,-0.010100960731506348,0.06953237,False,0.05433464,0.0041378248,0.008260585,14.38179,0.0,1.0,0.5,2.3432386,0.0,1.0511574,11883.541,-19.07561,-16.733812
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,False,,,0.0229,0.12798518,0.28709695,0.3044951157473823,True,0.18954986,-0.3794679641723633,0.34755424,False,0.0069833994,0.009090476,0.18954986,2.8772488,0.0,1.0,0.5,0.68244773,0.0,0.08061562,8791.459,-33.793476,-9.073027
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,False,,,-0.0201,0.14249313,0.2948725,0.3358254353108129,True,1.4126933,-1.3745872974395752,1.2386675,False,0.0050673485,0.1501922,1.4126933,0.80731916,0.0,1.0,0.5,0.73848754,0.0,0.5667164,-28126.66,-52.98248,-94.598434
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,False,,,0.0193,0.023418523,0.24415062,0.13144975025461025,True,5.9481745,0.24775809049606323,7.052496,False,0.0011217184,0.60526276,5.948175,0.14179377,0.0,1.0,0.5,0.24365516,0.0,1.7511249,-712741.44,-36.41377,-1366.3826
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,False,,,0.0083,0.21426749,0.23679987,0.10183104381285417,True,0.14622155,-0.32035112380981445,0.2666592,False,0.012622803,0.0075924383,0.14622155,3.750105,0.0,1.0,0.5,0.79388493,0.0,0.13224408,8854.068,-17.750807,-7.487747
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,False,,,0.0186,1.01351,0.3401564,0.1203716074902216,True,0.0035996423,0.04081714153289795,0.022532223,False,0.2317822,0.0010400091,0.0035996425,44.380886,0.0,1.0,0.5,3.8461897,0.0,2.6484792,18342.963,-11.712501,-7.469961
Kdelc1,ENSMUSG00000026047,1,44118808,44106546,-,False,,,-0.0256,0.015901921,0.2936007,0.3307009831864689,True,1.254755,-1.4118974208831787,1.8956562,False,0.00055670366,0.035330728,1.254755,0.5275218,0.0,1.0,0.5,0.2387829,0.0,0.05846157,-21794.408,-87.27547,-107.88249
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,False,,,0.019,0.17241909,0.29346597,0.33015808474586905,True,0.07159861,-0.263293981552124,0.15176286,False,0.017730832,0.0035948858,0.071598604,6.5892277,0.0,1.0,0.5,1.0025421,0.0,0.19562906,12450.307,-29.641434,-8.6165905
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,False,,,-0.0014,0.040124636,0.21683641,0.021391471446932184,True,0.46429306,-0.5702674388885498,0.8684699,False,0.0012612715,0.013825546,0.46429303,1.1514504,0.0,1.0,0.5,0.33382824,0.0,0.022255346,6032.4946,-59.484035,-15.569704
